analysis_set,initial_factors,module_label,mofa_shared_subspace_capture,n_module_genes,pca_components,stacked_pca_subspace_capture,mofa_minus_pca_capture
four_cohort_core_plus_frozen,8,M11,0.01238087030784814,7,8,0.04561436749460221,-0.03323349718675407
four_cohort_core_plus_frozen,8,M24,0.032146413735404555,7,8,0.06370809718235915,-0.03156168344695459
four_cohort_core_plus_frozen,8,M34,0.6124609383399372,130,8,0.604252465369761,0.00820847297017624
four_cohort_core_plus_frozen,8,M40,0.624596310639023,78,8,0.5796015805076652,0.044994730131357796
four_cohort_core_plus_frozen,12,M11,0.043121080531784844,7,12,0.11758808116870419,-0.07446700063691934
four_cohort_core_plus_frozen,12,M24,0.05795283332768692,7,12,0.06881567761309541,-0.010862844285408492
four_cohort_core_plus_frozen,12,M34,0.6201956809010909,130,12,0.6356471996209205,-0.015451518719829638
four_cohort_core_plus_frozen,12,M40,0.6206324542389882,78,12,0.6261271295922839,-0.00549467535329573
four_cohort_core_plus_frozen,16,M11,0.11346979267986256,7,16,0.1316024093006863,-0.018132616620823758
four_cohort_core_plus_frozen,16,M24,0.05484537277384542,7,16,0.08174879729751439,-0.026903424523668965
four_cohort_core_plus_frozen,16,M34,0.6461472143241483,130,16,0.6402040542908073,0.005943160033341055
four_cohort_core_plus_frozen,16,M40,0.627911291140015,78,16,0.6405492508761145,-0.012637959736099491
four_cohort_detection_aware,8,M11,0.020584671005751985,5,8,0.07113074514392471,-0.050546074138172734
four_cohort_detection_aware,8,M34,0.5001704320701909,50,8,0.509134418200985,-0.008963986130794188
four_cohort_detection_aware,8,M40,0.4859523385887246,32,8,0.44190208632063954,0.044050252268085066
four_cohort_detection_aware,12,M11,0.11514547680084947,5,12,0.13815680757936274,-0.023011330778513278
four_cohort_detection_aware,12,M34,0.5114450619819702,50,12,0.5309568694349065,-0.019511807452936347
four_cohort_detection_aware,12,M40,0.4782613869213124,32,12,0.47072679951009727,0.0075345874112151545
four_cohort_detection_aware,16,M11,0.11751218033817026,5,16,0.15450611330557115,-0.03699393296740089
four_cohort_detection_aware,16,M34,0.5053071959380304,50,16,0.5329927388427659,-0.02768554290473546
four_cohort_detection_aware,16,M40,0.48288868297178644,32,16,0.5372062440533445,-0.05431756108155805
three_cohort_no_ffpe,8,M11,0.012729312529965705,7,8,0.05868434320594732,-0.04595503067598162
three_cohort_no_ffpe,8,M24,0.031523764918417324,7,8,0.058458288470421324,-0.026934523552004
three_cohort_no_ffpe,8,M34,0.5920613932700726,131,8,0.5875396019779477,0.0045217912921248216
three_cohort_no_ffpe,8,M40,0.6587492570943695,78,8,0.6146388354944484,0.04411042159992107
three_cohort_no_ffpe,12,M11,0.0804820191585559,7,12,0.127084943470974,-0.04660292431241808
three_cohort_no_ffpe,12,M24,0.05323791505749296,7,12,0.06765555024255125,-0.014417635185058293
three_cohort_no_ffpe,12,M34,0.6198683645218509,131,12,0.6145045010525275,0.005363863469323382
three_cohort_no_ffpe,12,M40,0.6709598513864173,78,12,0.6725355912255071,-0.0015757398390897626
three_cohort_no_ffpe,16,M11,0.08393439040631842,7,16,0.14353727017139617,-0.05960287976507775
three_cohort_no_ffpe,16,M24,0.0546802345761475,7,16,0.08370476569548294,-0.029024531119335437
three_cohort_no_ffpe,16,M34,0.6167826363298136,131,16,0.6222198941215845,-0.005437257791770955
three_cohort_no_ffpe,16,M40,0.6558936865511694,78,16,0.6730185682016044,-0.01712488165043502
