initial_factors,module_label,subspace_name,analysis_set_a,analysis_set_b,capture_a,capture_b,capture_difference_a_minus_b
8,M34,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6124609383399372,0.5001704320701909,0.11229050626974635
8,M34,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6124609383399372,0.5920613932700726,0.020399545069864633
8,M34,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.5001704320701909,0.5920613932700726,-0.09189096119988172
8,M34,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6124609383399372,0.5001704320701909,0.11229050626974635
8,M34,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6124609383399372,0.5920613932700726,0.020399545069864633
8,M34,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.5001704320701909,0.5920613932700726,-0.09189096119988172
8,M34,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.5853106749392992,0.46479761801976643,0.12051305691953279
8,M34,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.5853106749392992,0.5920613932700726,-0.006750718330773342
8,M34,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.46479761801976643,0.5920613932700726,-0.12726377525030613
8,M34,partially_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.06503375371755862,0.04172913587443065,0.02330461784312797
8,M34,shared_non_ffpe_only,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.06503375371755862,0.04172913587443065,0.02330461784312797
8,M34,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.06503375371755862,0.5920613932700726,-0.527027639552514
8,M34,shared_non_ffpe_only,four_cohort_detection_aware,three_cohort_no_ffpe,0.04172913587443065,0.5920613932700726,-0.550332257395642
8,M34,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.5853106749392992,0.46479761801976643,0.12051305691953279
8,M11,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.01238087030784814,0.020584671005751985,-0.008203800697903845
8,M11,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.01238087030784814,0.012729312529965705,-0.0003484422221175648
8,M11,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.020584671005751985,0.012729312529965705,0.00785535847578628
8,M11,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.01238087030784814,0.020584671005751985,-0.008203800697903845
8,M11,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.01238087030784814,0.012729312529965705,-0.0003484422221175648
8,M11,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.020584671005751985,0.012729312529965705,0.00785535847578628
8,M11,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.008806447301855062,0.020284308597000308,-0.011477861295145246
8,M11,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.008806447301855062,0.012729312529965705,-0.0039228652281106426
8,M11,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.020284308597000308,0.012729312529965705,0.007554996067034603
8,M11,partially_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.0030102579364024496,0.00035098603567761425,0.0026592719007248354
8,M11,shared_non_ffpe_only,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.0030102579364024496,0.00035098603567761425,0.0026592719007248354
8,M11,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.0030102579364024496,0.012729312529965705,-0.009719054593563255
8,M11,shared_non_ffpe_only,four_cohort_detection_aware,three_cohort_no_ffpe,0.00035098603567761425,0.012729312529965705,-0.01237832649428809
8,M11,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.008806447301855062,0.020284308597000308,-0.011477861295145246
8,M24,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.032146413735404555,0.031523764918417324,0.0006226488169872313
8,M24,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.032146413735404555,0.031523764918417324,0.0006226488169872313
8,M24,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.003204944873528217,0.031523764918417324,-0.028318820044889108
8,M24,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.027644746007404387,0.031523764918417324,-0.0038790189110129367
8,M40,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.624596310639023,0.4859523385887246,0.13864397205029838
8,M40,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.624596310639023,0.6587492570943695,-0.0341529464553465
8,M40,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.4859523385887246,0.6587492570943695,-0.17279691850564488
8,M40,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.624596310639023,0.4859523385887246,0.13864397205029838
8,M40,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.624596310639023,0.6587492570943695,-0.0341529464553465
8,M40,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.4859523385887246,0.6587492570943695,-0.17279691850564488
8,M40,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.018172859396808957,0.48579192073369193,-0.46761906133688297
8,M40,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.018172859396808957,0.6587492570943695,-0.6405763976975606
8,M40,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.48579192073369193,0.6587492570943695,-0.17295733636067756
