analysis_set,comparison_type,initial_factors_a,initial_factors_b,n_common_genes,n_factors_a,n_factors_b,subspace_similarity,shared_covariance_rv
four_cohort_core_plus_frozen,shared_two_or_more_groups,8,12,722,6,8,0.9955939821127275,0.8816066902801256
four_cohort_core_plus_frozen,ubiquitous_all_groups,8,12,722,3,4,0.9463979893956239,0.8504987400079917
four_cohort_core_plus_frozen,shared_two_or_more_groups,8,16,722,6,11,0.9924207661800758,0.8269091806707932
four_cohort_core_plus_frozen,ubiquitous_all_groups,8,16,722,3,3,0.9091440146339972,0.8883769813030338
four_cohort_core_plus_frozen,shared_two_or_more_groups,12,16,722,8,11,0.9923231845984501,0.9016289638849349
four_cohort_core_plus_frozen,ubiquitous_all_groups,12,16,722,4,3,0.9478972567077367,0.8414905787911965
four_cohort_detection_aware,shared_two_or_more_groups,8,12,438,6,7,0.8328137508538576,0.8096726901647041
four_cohort_detection_aware,ubiquitous_all_groups,8,12,438,4,4,0.9572202788800569,0.9551994522177563
four_cohort_detection_aware,shared_two_or_more_groups,8,16,438,6,8,0.8341336417548066,0.8048863058231472
four_cohort_detection_aware,ubiquitous_all_groups,8,16,438,4,5,0.956693535262334,0.8875120576616152
four_cohort_detection_aware,shared_two_or_more_groups,12,16,438,7,8,0.9890731288642753,0.9481078069058402
four_cohort_detection_aware,ubiquitous_all_groups,12,16,438,4,5,0.9831983579247475,0.9111440823743667
three_cohort_no_ffpe,shared_two_or_more_groups,8,12,723,6,9,0.993471777224323,0.831159337027103
three_cohort_no_ffpe,ubiquitous_all_groups,8,12,723,6,8,0.8324374671194765,0.73820368863466
three_cohort_no_ffpe,shared_two_or_more_groups,8,16,723,6,10,0.9933454321509066,0.8416490530083343
three_cohort_no_ffpe,ubiquitous_all_groups,8,16,723,6,9,0.9787829576152829,0.8422274613215631
three_cohort_no_ffpe,shared_two_or_more_groups,12,16,723,9,10,0.9931645925613933,0.9686225230606983
three_cohort_no_ffpe,ubiquitous_all_groups,12,16,723,8,9,0.9891167827256087,0.9208639166479776
