analysis_set,initial_factors,cohort,pca_components,stacked_pca_r2_percent
four_cohort_core_plus_frozen,8,DOG2,8,49.32300185193353
four_cohort_core_plus_frozen,8,TARGET_OS,8,38.55307747880563
four_cohort_core_plus_frozen,8,GSE21257,8,35.461827493749134
four_cohort_core_plus_frozen,8,GSE39055,8,12.305919608630301
four_cohort_core_plus_frozen,12,DOG2,12,53.37581113345515
four_cohort_core_plus_frozen,12,TARGET_OS,12,43.913498216526236
four_cohort_core_plus_frozen,12,GSE21257,12,43.35061229761875
four_cohort_core_plus_frozen,12,GSE39055,12,25.686300455752498
four_cohort_core_plus_frozen,16,DOG2,16,58.16878296565176
four_cohort_core_plus_frozen,16,TARGET_OS,16,48.26369258118917
four_cohort_core_plus_frozen,16,GSE21257,16,47.96177752224058
four_cohort_core_plus_frozen,16,GSE39055,16,27.705170216115317
four_cohort_detection_aware,8,DOG2,8,47.99234863210452
four_cohort_detection_aware,8,TARGET_OS,8,38.417564080847356
four_cohort_detection_aware,8,GSE21257,8,35.40766600085274
four_cohort_detection_aware,8,GSE39055,8,19.393268189929856
four_cohort_detection_aware,12,DOG2,12,53.696205078551415
four_cohort_detection_aware,12,TARGET_OS,12,44.839421573412594
four_cohort_detection_aware,12,GSE21257,12,44.111566021769136
four_cohort_detection_aware,12,GSE39055,12,25.96576399840539
four_cohort_detection_aware,16,DOG2,16,58.041246223720364
four_cohort_detection_aware,16,TARGET_OS,16,49.04835021403259
four_cohort_detection_aware,16,GSE21257,16,48.695761262727665
four_cohort_detection_aware,16,GSE39055,16,33.932996922524914
three_cohort_no_ffpe,8,DOG2,8,49.98659650344872
three_cohort_no_ffpe,8,TARGET_OS,8,39.69154424021514
three_cohort_no_ffpe,8,GSE21257,8,36.671491961781776
three_cohort_no_ffpe,12,DOG2,12,55.09105568370812
three_cohort_no_ffpe,12,TARGET_OS,12,45.91147367632987
three_cohort_no_ffpe,12,GSE21257,12,45.19728578057355
three_cohort_no_ffpe,16,DOG2,16,59.474398389209135
three_cohort_no_ffpe,16,TARGET_OS,16,49.9371360357303
three_cohort_no_ffpe,16,GSE21257,16,50.66767839579859
