analysis_set,initial_factors,module_label,n_module_genes,pca_components,stacked_pca_subspace_capture
four_cohort_core_plus_frozen,8,M34,130,8,0.604252465369761
four_cohort_core_plus_frozen,8,M11,7,8,0.04561436749460221
four_cohort_core_plus_frozen,8,M24,7,8,0.06370809718235915
four_cohort_core_plus_frozen,8,M40,78,8,0.5796015805076652
four_cohort_core_plus_frozen,12,M34,130,12,0.6356471996209205
four_cohort_core_plus_frozen,12,M11,7,12,0.11758808116870419
four_cohort_core_plus_frozen,12,M24,7,12,0.06881567761309541
four_cohort_core_plus_frozen,12,M40,78,12,0.6261271295922839
four_cohort_core_plus_frozen,16,M34,130,16,0.6402040542908073
four_cohort_core_plus_frozen,16,M11,7,16,0.1316024093006863
four_cohort_core_plus_frozen,16,M24,7,16,0.08174879729751439
four_cohort_core_plus_frozen,16,M40,78,16,0.6405492508761145
four_cohort_detection_aware,8,M34,50,8,0.509134418200985
four_cohort_detection_aware,8,M11,5,8,0.07113074514392471
four_cohort_detection_aware,8,M40,32,8,0.44190208632063954
four_cohort_detection_aware,12,M34,50,12,0.5309568694349065
four_cohort_detection_aware,12,M11,5,12,0.13815680757936274
four_cohort_detection_aware,12,M40,32,12,0.47072679951009727
four_cohort_detection_aware,16,M34,50,16,0.5329927388427659
four_cohort_detection_aware,16,M11,5,16,0.15450611330557115
four_cohort_detection_aware,16,M40,32,16,0.5372062440533445
three_cohort_no_ffpe,8,M34,131,8,0.5875396019779477
three_cohort_no_ffpe,8,M11,7,8,0.05868434320594732
three_cohort_no_ffpe,8,M24,7,8,0.058458288470421324
three_cohort_no_ffpe,8,M40,78,8,0.6146388354944484
three_cohort_no_ffpe,12,M34,131,12,0.6145045010525275
three_cohort_no_ffpe,12,M11,7,12,0.127084943470974
three_cohort_no_ffpe,12,M24,7,12,0.06765555024255125
three_cohort_no_ffpe,12,M40,78,12,0.6725355912255071
three_cohort_no_ffpe,16,M34,131,16,0.6222198941215845
three_cohort_no_ffpe,16,M11,7,16,0.14353727017139617
three_cohort_no_ffpe,16,M24,7,16,0.08370476569548294
three_cohort_no_ffpe,16,M40,78,16,0.6730185682016044
