analysis_set,initial_factors,factor,activity_threshold_percent,active_group_count,active_groups,activity_class,minimum_group_r2,maximum_group_r2,mean_group_r2,median_group_r2,r2_range,r2_DOG2,r2_TARGET_OS,r2_GSE21257,r2_GSE39055
four_cohort_variable_only_1500,8,Factor1,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.2253403663635254,11.84343695640564,7.748207449913025,8.962026238441467,10.618096590042114,11.84343695640564,8.673489093780518,9.250563383102417,1.2253403663635254
four_cohort_variable_only_1500,8,Factor2,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.122349500656128,8.797377347946167,5.487917363643646,6.015971302986145,7.675027847290039,8.797377347946167,6.530719995498657,5.501222610473633,1.122349500656128
four_cohort_variable_only_1500,8,Factor3,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.6322970390319824,6.411218643188477,3.7359818816184998,3.45020592212677,4.778921604156494,6.411218643188477,4.636973142623901,2.2634387016296387,1.6322970390319824
four_cohort_variable_only_1500,8,Factor4,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,0.5768954753875732,5.965226888656616,3.221595287322998,3.1721293926239014,5.388331413269043,5.965226888656616,3.877013921737671,2.467244863510132,0.5768954753875732
four_cohort_variable_only_1500,8,Factor5,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.2238631248474121,3.4890711307525635,2.3636743426322937,2.8708815574645996,3.2652080059051514,3.2314538955688477,3.4890711307525635,2.5103092193603516,0.2238631248474121
four_cohort_variable_only_1500,8,Factor6,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,0.828242301940918,3.8924098014831543,1.807849109172821,1.255372166633606,3.0641674995422363,3.8924098014831543,1.356196403503418,1.154547929763794,0.828242301940918
four_cohort_variable_only_1500,8,Factor7,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.21268725395202637,3.537130355834961,1.7548367381095886,1.6347646713256836,3.3244431018829346,3.537130355834961,1.931840181350708,1.3376891613006592,0.21268725395202637
four_cohort_variable_only_1500,8,Factor1,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.2253403663635254,11.84343695640564,7.748207449913025,8.962026238441467,10.618096590042114,11.84343695640564,8.673489093780518,9.250563383102417,1.2253403663635254
four_cohort_variable_only_1500,8,Factor2,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.122349500656128,8.797377347946167,5.487917363643646,6.015971302986145,7.675027847290039,8.797377347946167,6.530719995498657,5.501222610473633,1.122349500656128
four_cohort_variable_only_1500,8,Factor3,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.6322970390319824,6.411218643188477,3.7359818816184998,3.45020592212677,4.778921604156494,6.411218643188477,4.636973142623901,2.2634387016296387,1.6322970390319824
four_cohort_variable_only_1500,8,Factor4,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.5768954753875732,5.965226888656616,3.221595287322998,3.1721293926239014,5.388331413269043,5.965226888656616,3.877013921737671,2.467244863510132,0.5768954753875732
four_cohort_variable_only_1500,8,Factor5,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.2238631248474121,3.4890711307525635,2.3636743426322937,2.8708815574645996,3.2652080059051514,3.2314538955688477,3.4890711307525635,2.5103092193603516,0.2238631248474121
four_cohort_variable_only_1500,8,Factor6,1.0,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.828242301940918,3.8924098014831543,1.807849109172821,1.255372166633606,3.0641674995422363,3.8924098014831543,1.356196403503418,1.154547929763794,0.828242301940918
