analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,observed_max_absolute_cosine,n_random_valid,random_mean_max_absolute_cosine,random_q95_max_absolute_cosine,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_analysis_set
four_cohort_variable_only_1500,8,M34,162,100,0.6172839506172839,0.5284865882066404,2000,0.16173650020728378,0.19352163067888317,1.0,0.0004997501249375312,0.000642535874919683,0.0005622188905547226
four_cohort_variable_only_1500,8,M11,7,6,0.8571428571428571,0.11487990746679785,2000,0.0572822043649556,0.08223897785523157,1.0,0.0004997501249375312,0.000642535874919683,0.0005622188905547226
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,0.5315382441902388,2000,0.09812254552453342,0.12633161618882055,1.0,0.0004997501249375312,0.000642535874919683,0.0005622188905547226
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,0.5341508505776682,2000,0.164482265771659,0.19707892931629026,1.0,0.0004997501249375312,0.000642535874919683,0.0005622188905547226
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,0.10702823794654526,2000,0.059790116976449585,0.08515718611139651,0.995,0.005497251374312844,0.0059370314842578705,0.005497251374312844
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,0.548216312531256,2000,0.09856840506496098,0.12870949399524043,1.0,0.0004997501249375312,0.000642535874919683,0.0005622188905547226
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,0.5446789731193109,2000,0.15914025312545735,0.19156653295259524,1.0,0.0004997501249375312,0.000642535874919683,0.0005622188905547226
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,0.13078477656303242,2000,0.06199187591555395,0.08575988084394794,1.0,0.0004997501249375312,0.000642535874919683,0.0005622188905547226
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,0.5692063917121486,2000,0.0971087323549877,0.12438165038605815,1.0,0.0004997501249375312,0.000642535874919683,0.0005622188905547226
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,0.4807197074065861,2000,0.18042106935238422,0.22166015974454764,1.0,0.0004997501249375312,0.000642535874919683,0.0007496251874062968
