,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,group
DOG2::100_0514_tumor,-0.9586114,-0.33917373,-1.219962,2.08188,1.332131,1.6653601,-0.65082437,-0.8253189,DOG2
DOG2::101_0518_tumor,2.6794057,1.1946439,-1.8204803,1.0101292,1.4356779,2.0845132,-0.861633,-0.0005837092,DOG2
DOG2::102_0619_tumor,4.1426973,1.5806686,-1.9313277,1.0695591,-0.4589838,0.47897092,0.9548082,0.2172718,DOG2
DOG2::103_0639_tumor,0.18426149,-1.6936095,1.2667989,0.7929537,0.58284444,-1.8593733,1.3830729,1.2864332,DOG2
DOG2::104_0702_tumor,0.004260151,-0.80833447,0.91578853,0.28969103,2.2916865,0.9233313,-1.7119359,-0.12369546,DOG2
DOG2::105_0710_tumor,0.10948778,-0.5390149,-0.037014093,0.86203045,0.38444766,-1.069885,1.9212354,-0.9394085,DOG2
DOG2::106_0716_tumor,-2.990077,2.4549303,1.1817297,0.97034645,0.5129738,-0.90751773,0.11147713,2.1141753,DOG2
DOG2::107_0719_tumor,-4.1186175,-1.0652626,-0.5732996,-0.03314769,0.496074,0.4832148,-0.10692432,-2.0769064,DOG2
DOG2::108_0720_tumor,-1.8971343,-2.6180239,-0.5636376,-2.3548174,1.2497957,0.5063545,0.123176955,-0.84648496,DOG2
DOG2::109_0721_tumor,0.9708172,-2.6583474,1.8755097,-1.0851051,1.48367,0.4364575,0.2875274,-0.90237796,DOG2
DOG2::10_0512__Tumor,-0.17796838,0.30662572,-0.008735446,-0.55832297,1.3691685,1.2341899,-0.96308196,-5.0357733,DOG2
DOG2::110_0522_tumor,1.5918612,-1.8075507,-1.7330563,1.4760624,0.33713534,2.3027864,2.0056052,0.5746744,DOG2
DOG2::111_1708_tumor,-1.0567577,4.045521,-0.07964489,0.71692514,-1.405601,0.03369063,0.95699686,0.44160578,DOG2
DOG2::112_0502_tumor,0.7202071,-2.2075224,-0.6779492,1.7813133,0.849665,-2.7738094,1.5838876,-1.0529326,DOG2
DOG2::113_1010_tumor,-0.37131873,-0.9066331,-0.29081285,-3.7713509,1.9208752,1.1164494,2.227464,2.7933283,DOG2
DOG2::114_1704_tumor,2.6018589,3.9745038,-0.52316266,1.0627054,-0.6611954,0.07579789,-1.0274911,0.09844482,DOG2
DOG2::115_2318_tumor,-0.63371265,-2.412984,1.9417329,-2.9011989,0.023939015,0.2336676,-1.4443765,-0.9816223,DOG2
DOG2::116_0506_tumor,0.102921106,1.7004539,-0.29500607,0.09006694,2.0802896,-0.67177665,0.8376907,0.96917325,DOG2
DOG2::117_1011_tumor,-5.241149,-1.8096553,-1.7821289,0.076340914,-1.016263,2.4620767,-0.3828405,-1.2480013,DOG2
