,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
COMP,0.051489677,0.27423313,0.06424419,0.118125446,-0.03493475,-0.07666875,0.061665937,-0.045702636
CA12,0.06905286,0.26854253,-0.1512507,0.116472326,0.12834312,0.017039567,-0.01230535,0.00032956683
SLC36A2,-0.14194864,-0.18049482,0.0904966,0.3130196,-0.2691515,-0.0004285794,0.06304332,0.0008316206
CHAD,-0.011427327,-0.041104604,0.14258061,0.26447797,-0.14934348,-0.16108292,-0.019080967,-0.0033785386
FBN2,-0.012339904,0.07732681,-0.06951317,0.21890168,-0.15644693,0.1310422,-0.11642577,0.0006731913
COL11A1,-0.030280124,0.24559644,0.05021012,0.24619448,0.03730102,-0.001506105,0.019787604,0.09042966
COL22A1,-0.07402039,-0.21251076,0.023362836,0.33480424,-0.20350127,-0.029129384,-0.030005721,0.001651428
MMP9,0.067200825,-0.29418883,0.03550089,0.20623493,0.26675817,0.0013357748,-0.10311855,-0.14120531
MFAP4,0.081650525,0.3298667,0.006176642,0.09219023,0.032032065,-0.00274647,-0.0035876306,-0.0070766024
IGFBP5,-0.044143543,0.12682763,0.1384933,0.1627991,0.023087537,0.08771223,0.026287213,-0.115465686
COL2A1,-0.13220848,0.10898599,-0.016604153,0.20635717,-0.092571445,0.012295147,-0.0009872525,-0.007839065
HAPLN1,-0.055403367,0.25377512,0.0011088557,0.20180592,0.053537514,0.00952293,0.11781275,0.013074611
NGEF,-0.09083758,0.078467906,0.1389015,0.15597263,-0.11258445,-0.12095724,-0.043012045,0.057397082
NKD2,-0.062173072,-0.045988046,0.35377744,0.0073416205,0.054511312,-0.09585057,0.046233192,-0.083864994
ANGPTL2,-0.001099004,0.34254724,0.007537238,0.19943954,0.11197259,0.060709007,0.129981,-0.030083094
SFRP4,0.17010377,0.08674467,0.16615151,0.05282215,0.21748844,-0.12735635,-0.019251524,-0.0051663877
C1QB,0.2940309,-0.0153688975,0.083994634,0.0017214108,-0.16890182,0.02009826,0.2364621,0.1430022
FNDC1,0.032923535,0.22761829,0.1534789,0.24206753,0.04247143,-0.10904796,-0.008209199,0.04348113
CD84,0.14429924,-0.29238668,0.0074224914,0.20766248,0.26358947,-0.0018178055,-0.11975728,-0.040093586
POSTN,0.013793976,0.27633289,-0.004124786,0.18251586,0.1363017,0.0019174292,0.043818526,-0.056321546
C1S,0.19287787,0.16036688,0.24271075,-0.014805663,0.06612714,-0.12559535,0.037562333,0.0017840454
THBS2,0.07865475,0.31418628,-0.026809407,0.21690664,0.1500493,-0.0018205519,-0.02137869,0.006197406
FBLN2,0.12416318,0.24487327,0.003591936,0.1516656,-0.078434296,-0.0063267965,-0.09942281,-0.042680584
CRYAB,-0.014833549,-0.10426896,0.018477546,0.08099529,0.042453058,-0.082057506,-0.179793,-0.019562168
SEMA3B,-0.086624995,0.09391716,-0.08623816,0.37162685,-0.15845527,-0.046295635,-0.05927536,0.058456767
CXCL14,0.15096769,0.19265169,0.15999226,0.10655578,0.022572584,-0.13798758,-0.017290823,-0.013132626
TGM2,0.24926019,-0.05052012,-0.0013400742,0.003784731,-0.093954064,0.091200486,-0.0051678894,-0.070847824
PI15,0.076450124,0.23347847,-0.01665849,0.14959896,0.033951726,0.012584436,-0.12366988,0.0018642372
DLX3,-0.14315712,-0.2706111,0.20924133,0.14012896,-0.22438277,-0.00045616244,-0.04133485,-0.0058103977
IGF2BP2,-0.06419777,-0.012699363,0.0141290855,0.01732897,-0.06343385,0.10517463,-0.10121705,0.027338108
APCDD1,-0.12687354,-0.115004,-0.0019669398,0.3168351,-0.2044325,0.08479361,0.023292545,-0.037800368
NDN,-0.014303011,0.012400983,0.038701758,0.040933635,-0.123807035,0.0042797914,-0.024769116,0.0724447
SLC13A5,-0.12319393,-1.332647e-06,-0.102589056,0.36737344,-0.22384344,0.06371998,0.09169623,0.0069338484
CD74,0.32473567,0.013564928,0.10049716,-0.011191616,-0.15957583,0.045608215,0.2175861,0.13366418
EEF1A2,0.030476442,-0.1431767,-0.059323333,0.17345254,0.078566,-0.03262813,-0.16119426,0.0050553433
SLC8A3,-0.19877493,-0.15036757,0.12637258,0.27099743,-0.24855787,0.011116993,0.018916551,0.013880119
LAMC3,-0.05681367,0.017019697,0.31068575,0.037772045,-0.072429314,-0.10540771,-0.031064913,-0.011335554
PRND,0.1262261,-0.016517531,0.10620818,0.09674903,-0.16097428,0.022616778,-0.08292599,-0.38774785
