,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,group
DOG2::100_0514_tumor,-0.9464745,-0.70659596,-0.15417881,1.3733679,0.08186415,1.970179,0.78794485,0.454944,1.4941907,-1.7398089,-0.7777562,DOG2
DOG2::101_0518_tumor,2.6496186,-1.9074061,-1.4452747,0.96071345,-0.043083534,2.2529738,1.4830543,-0.24532087,0.15316406,-0.72840005,-0.50548023,DOG2
DOG2::102_0619_tumor,4.219229,-0.5120074,-1.7565663,-0.8343462,-0.1114012,0.5798239,2.0772693,-1.3744713,0.4045207,0.16178223,-1.1547146,DOG2
DOG2::103_0639_tumor,0.43319055,0.937084,1.5129381,1.2574182,-0.11572664,-1.885158,0.46372053,-2.0853355,0.057771474,1.5676023,0.15129228,DOG2
DOG2::104_0702_tumor,-0.060818195,-1.2315712,1.0432088,2.1741393,-0.1664626,1.0699055,-1.5135953,0.9283727,-0.14405909,-0.9007865,-0.9747663,DOG2
DOG2::105_0710_tumor,0.29351684,1.393211,-0.2745946,-0.05750773,-0.15664433,-1.2667526,-1.7399123,-0.86939055,2.215626,-1.0614829,-1.0617158,DOG2
DOG2::106_0716_tumor,-3.1729443,-1.8115289,0.7644011,-0.35690057,-0.21700598,-0.9254474,-0.7920215,-0.13069303,1.5664643,2.2671995,0.08988405,DOG2
DOG2::107_0719_tumor,-3.9494631,0.6092077,-0.12860738,0.4955296,-0.031472176,0.5104348,0.41999274,-0.8086627,-0.6882893,-2.30714,-0.23480584,DOG2
DOG2::108_0720_tumor,-1.7981079,1.397201,-1.0885842,1.8930622,-0.034548625,0.18583633,-0.4624618,-0.73782325,-2.0478199,-0.97771907,1.1303499,DOG2
DOG2::109_0721_tumor,1.107626,1.1763055,1.3882128,1.6959388,0.04528346,0.13582186,-2.383507,-0.31734657,-0.5445178,-0.74669904,1.2307177,DOG2
DOG2::10_0512__Tumor,-0.05616522,-0.58137023,-0.08529293,-0.45138982,-0.005298395,1.0002077,-1.9703937,0.10339755,-0.043524954,-5.217316,0.92831314,DOG2
DOG2::110_0522_tumor,1.7524805,1.8212258,-1.2373513,1.2659515,0.08079778,2.159321,0.77088755,-0.8350299,2.302828,0.14602472,0.5768649,DOG2
DOG2::111_1708_tumor,-1.2191117,-1.3504951,-0.6529908,-2.937765,-0.09169101,-0.046721507,0.1909029,-0.5781874,1.5013285,1.1377722,0.31046477,DOG2
DOG2::112_0502_tumor,1.0314548,1.5788767,0.25858697,1.2418956,0.22287251,-2.7487936,0.31909057,-1.0222476,1.9308577,-1.5037543,-0.42783916,DOG2
DOG2::113_1010_tumor,-0.4279891,0.9026479,-2.7366364,2.0365396,-0.059390992,0.388769,-1.577435,-2.2186015,-1.8473634,3.2909074,1.5023134,DOG2
DOG2::114_1704_tumor,2.4614854,-2.948214,-0.3053971,-2.0375001,0.035448663,0.35786808,1.9908831,-0.14726156,-0.17972384,0.3300294,-0.010895531,DOG2
DOG2::115_2318_tumor,-0.645377,1.0513705,1.2615038,0.71855044,0.020340765,0.16592595,-2.1018834,1.2076213,-3.1319242,-0.7256844,-0.13161916,DOG2
DOG2::116_0506_tumor,0.044199575,-1.5054855,-1.099059,0.77089125,-0.19110799,-1.0484384,-0.7546341,-1.2952213,1.4930037,0.89581573,2.044222,DOG2
