,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11
COMP,0.03177648,-0.24404283,0.025090043,-0.2418027,0.1432717,-0.05658767,-0.001010321,0.004646867,0.18870714,0.0016760153,0.1552012
CA12,0.052168883,-0.35001114,-0.13037634,-0.06979323,0.13025558,0.048714615,0.16034748,-0.08496973,0.11456153,-0.0030507217,0.123907946
SLC36A2,-0.12464651,0.26055375,0.2996705,-0.070648015,-0.0014775911,0.027995504,0.3274157,-0.0959856,0.08565541,0.0057826377,-0.0411256
CHAD,-0.00025619077,0.04944119,0.2788323,-0.07573789,-0.04080526,-0.14135154,0.16603889,-0.021559322,0.111262225,-0.0008983975,-0.07536869
FBN2,-0.012011126,-0.051415652,0.047611266,-0.12416702,-0.07642997,0.143547,0.09885808,0.19101022,0.21937805,-0.02284078,-0.027781643
COL11A1,-0.027656035,-0.2589506,0.05794606,-0.109386496,-0.07552777,-0.0005453653,0.0068228813,-0.06452706,0.2715765,0.07969066,-0.08931717
COL22A1,-0.057061724,0.2180614,0.28361383,0.013994263,-0.017617831,-0.0035182808,0.3280134,-0.00072873314,0.122862294,-0.011492542,0.0050860276
MMP9,0.07856622,0.062208775,0.2028999,0.39847738,0.022323089,0.0034867884,0.012976988,-0.0016353361,0.091583095,-0.23938593,0.06651091
MFAP4,0.061507244,-0.33199567,-0.053966485,-0.19605176,0.064746805,-0.0029005588,-0.08319009,0.093554266,0.21834168,0.0011863455,-0.004978222
IGFBP5,-0.04174646,-0.121391915,0.12581083,-0.10847842,-0.010107281,0.08787154,-0.0940134,-0.06227106,0.1775125,-0.08868178,-0.013702919
COL2A1,-0.13456234,-0.06431638,0.058208816,-0.12372825,0.004024717,0.015687808,0.03409546,0.10672887,0.27749908,-0.016458891,0.049014635
HAPLN1,-0.061251495,-0.23448369,-0.014966624,-0.12423257,0.038074993,0.01524242,-0.017700475,-0.08406768,0.27621567,0.026529396,-0.09030988
NGEF,-0.088676475,-0.08899816,0.18692291,-0.1241162,-0.015156165,-0.118910834,0.16017742,-0.06512377,0.08346337,0.10812897,0.31184155
NKD2,-0.055356946,0.04260388,0.25841233,0.0014373633,-0.05350357,-0.12122754,-0.28444916,-0.08233454,0.06339266,-0.01793232,0.09608295
ANGPTL2,-0.00903439,-0.34919357,-0.03378899,-0.18063617,0.11322264,0.08054086,0.014055644,-0.21555671,0.20471454,-0.0010541871,-0.10409916
SFRP4,0.16329709,-0.23016593,0.1061367,0.08575406,0.06163482,-0.12676236,-0.11512421,-0.046750512,0.045657735,-0.004221261,0.0023023868
C1QB,0.3024652,0.18851823,0.001332326,-0.1258428,0.0019107248,0.014083578,-0.0482846,-0.07856865,0.07570494,0.21942447,-0.05997503
FNDC1,0.032462053,-0.28778842,0.15435334,-0.11102595,-0.02454866,-0.09286805,0.008311159,-0.07481766,0.1876703,0.06342507,-0.14469223
