,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,group
DOG2::100_0514_tumor,-1.0390267,0.25674582,-0.09182697,1.5209714,-0.46694344,3.1897924,DOG2
DOG2::101_0518_tumor,2.5111187,1.3793801,-1.6341999,1.7482468,-0.7159982,2.3891854,DOG2
DOG2::102_0619_tumor,3.9076004,1.7097739,-1.7789067,0.013128146,1.5075953,1.558193,DOG2
DOG2::103_0639_tumor,0.45987037,-1.8037481,0.91640323,-1.632875,-0.083039775,0.00029559655,DOG2
DOG2::104_0702_tumor,0.1033229,-0.6653313,0.84313834,1.1546785,-2.7296517,0.8570309,DOG2
DOG2::105_0710_tumor,0.051161475,-0.39506796,0.078524254,-1.247571,0.61627126,0.91048855,DOG2
DOG2::106_0716_tumor,-2.676709,2.3131187,0.63197064,-0.40938163,-0.512869,-0.30784306,DOG2
DOG2::107_0719_tumor,-4.3246536,-0.91747504,-0.022332588,0.36317906,-0.43115464,0.7743447,DOG2
DOG2::108_0720_tumor,-1.9353309,-3.1707208,-1.5313722,0.3278433,-1.3124615,-0.7772086,DOG2
DOG2::109_0721_tumor,1.1453891,-2.9140644,1.0051126,0.6405501,-1.8717803,-0.9306967,DOG2
DOG2::10_0512__Tumor,-0.6253508,0.79351044,0.7246788,0.90244967,-1.85771,0.76363933,DOG2
DOG2::110_0522_tumor,1.7391638,-1.6706407,-1.4767367,1.8548064,1.7136663,2.543466,DOG2
DOG2::111_1708_tumor,-1.1032575,4.013477,-0.24329454,0.051338848,1.5356882,-0.539291,DOG2
DOG2::112_0502_tumor,0.516665,-1.7578394,0.34182528,-3.0233696,0.5005166,2.4039023,DOG2
DOG2::113_1010_tumor,0.18566127,-2.5131788,-3.8540683,1.1142948,-1.0866992,-2.5439396,DOG2
DOG2::114_1704_tumor,2.369654,4.271793,-0.07661887,0.03384862,0.2960215,0.48301998,DOG2
DOG2::115_2318_tumor,-0.5607671,-2.7947206,1.0585834,0.59578735,-1.8658438,-2.9553254,DOG2
DOG2::116_0506_tumor,0.27508876,1.4193376,-1.2137885,-0.6737994,-1.1604068,0.64739174,DOG2
DOG2::117_1011_tumor,-5.2433534,-1.4740481,-0.53572625,2.328173,1.3961525,1.1983835,DOG2
DOG2::118_2304_tumor,-1.9359258,0.5580865,0.48851162,-3.0778842,0.96862453,2.831423,DOG2
DOG2::119_0516_tumor,-2.5761163,1.2642329,1.2563498,-0.73368776,2.2518597,0.109332934,DOG2
DOG2::11_0602__Tumor,-1.9334959,-0.42327228,-0.80806834,0.22486697,1.1706082,0.15000397,DOG2
DOG2::120_2306_tumor,0.7553644,0.5116385,-1.2825081,-0.19994459,2.1041763,0.93348897,DOG2
DOG2::121_2322_tumor,-1.7817429,-2.2437499,2.5115552,-1.3451836,-0.20497732,-1.3125076,DOG2
DOG2::122_0504_tumor,-3.178768,-1.2848096,-1.5191646,1.191475,-0.41448253,3.035149,DOG2
DOG2::123_2316_tumor,1.8075693,-1.9357345,0.008066332,2.6795788,0.34046626,-0.12826176,DOG2
DOG2::125_2004_tumor,0.06327227,2.1290436,1.2638748,0.008646482,1.4870028,-0.93190277,DOG2
DOG2::126_0228_tumor,-2.6013608,2.710789,-1.3786954,0.58021253,-1.0234263,-1.8595088,DOG2
DOG2::127_2010_tumor,-1.9078376,-0.49570778,-0.9116656,-0.2629034,1.5499902,-1.9578996,DOG2
DOG2::128_1023_tumor,3.996509,2.0534122,-4.6389904,-0.0059784427,0.47437882,0.8442649,DOG2
DOG2::129_1414_tumor,0.021908784,-1.2739977,0.62881434,1.4862698,-0.31306195,0.51550174,DOG2
DOG2::12_0608__Tumor,-4.5995564,1.0941682,0.027913503,2.7163787,-0.31231853,1.2601625,DOG2
DOG2::131_2012_tumor,-0.3135567,-0.8973631,1.8018984,-4.322224,0.16790056,-1.2844117,DOG2
DOG2::132_1025_tumor,-4.971404,4.538639,-1.4414572,-0.65820265,-0.37280977,-0.71592927,DOG2
DOG2::133_0907_tumor,2.7922003,3.4828231,0.7031214,-1.7140958,1.2644991,-1.1859577,DOG2
DOG2::134_2208_tumor,-0.71011716,-0.593301,-1.0649363,-0.45031503,1.8755983,0.8259712,DOG2
DOG2::135_0102_tumor,-3.4002128,-3.8545117,0.143476,-0.17120387,-1.1590302,2.0145063,DOG2
DOG2::136_0105_tumor,-0.18572958,-3.673473,0.6738919,0.6226306,0.6120413,-0.80885,DOG2
DOG2::137_0106_tumor,3.299145,-1.5853943,-0.24186088,-3.3087647,0.42818457,0.2518737,DOG2
DOG2::138_0314_tumor,-1.3669013,2.3976696,-1.0688996,-4.692003,-0.73203665,-0.69747204,DOG2
DOG2::139_0733_tumor,-0.8834231,-0.059117004,-4.6105638,-4.009201,-0.1080918,0.59044695,DOG2
DOG2::13_0613__Tumor,-5.2661433,-1.0423166,-0.5585964,2.035081,0.015240874,-0.93046635,DOG2
DOG2::140_0905_tumor,3.1612568,4.799397,-2.1319046,-2.2253418,0.4249339,-0.111225784,DOG2
DOG2::141_1707_tumor,1.5411096,-1.184887,1.2064087,-3.4047608,0.26775467,3.359871,DOG2
DOG2::142_1710_tumor,0.35828713,1.3217723,0.39259416,0.63402474,-1.0028651,-0.55616266,DOG2
DOG2::143_1916_tumor,2.6720278,3.207779,-1.8624474,0.3181095,-0.26570666,1.2138034,DOG2
DOG2::14_0614__Tumor,5.62046,-2.4287467,-2.1205359,2.0822158,1.0627338,-0.9479995,DOG2
DOG2::15_0615__Tumor,2.2026355,-0.5785275,1.6901709,1.4969572,-0.19833316,-1.1194357,DOG2
DOG2::16_0211_tumor,-0.22324769,2.326889,-0.49779892,-3.5802274,-0.19136198,1.1099397,DOG2
DOG2::16_0616__Tumor,0.2500768,2.6454701,-1.0648028,0.5288604,-0.9835258,0.76988953,DOG2
DOG2::17_0226_tumor,-0.6092548,-3.0274155,0.77514,2.1457722,0.0643522,0.23975335,DOG2
DOG2::17_0620__Tumor,0.04559459,-1.2356476,-0.34691316,0.41237476,0.17271337,1.8402219,DOG2
DOG2::18_0301_tumor,-1.0622913,-0.4180581,-4.916271,0.08963489,-2.829458,-1.5687325,DOG2
DOG2::19_0303_tumor,-2.0411322,1.8554995,-1.9962401,4.4420834,1.0278744,-0.6348464,DOG2
DOG2::19_0621__Tumor,-2.3427246,0.042389967,1.0163434,1.3439757,1.8881273,0.823852,DOG2
DOG2::1_0201_tumor,-0.59883726,2.8299797,2.1523845,1.9370813,2.1565473,-2.3164585,DOG2
DOG2::1_0202_tumor,-0.23421678,1.2481257,2.1762917,-3.07513,1.6362314,1.804878,DOG2
DOG2::20_0307_tumor,3.2671287,5.688298,-0.15724769,-2.5788455,-0.43373266,-1.2353361,DOG2
DOG2::21_0311_tumor,6.5837226,1.210336,-2.8591876,-0.23524114,1.5754254,-0.40264422,DOG2
DOG2::21_0631__Tumor,-0.99884015,-1.0857339,1.4689434,0.8619097,-1.231455,-0.28367475,DOG2
DOG2::22_0317_tumor,4.092035,1.3239604,-0.4787932,1.0395597,1.7986443,-0.002737952,DOG2
DOG2::22_0640__Tumor,-1.8288997,-1.1487415,1.1667948,1.3240786,1.4986476,2.0597608,DOG2
DOG2::23_0329_tumor,0.98784494,-1.8048773,-1.3930182,1.5059562,-2.0195057,2.9018779,DOG2
