factor,view,group,r2
Factor1,RNA,DOG2,12.597745656967163
Factor2,RNA,DOG2,10.013127326965332
Factor3,RNA,DOG2,6.248807907104492
Factor4,RNA,DOG2,4.83514666557312
Factor5,RNA,DOG2,3.3007442951202393
Factor6,RNA,DOG2,3.706502914428711
Factor1,RNA,GSE21257,10.094982385635376
Factor2,RNA,GSE21257,6.053966283798218
Factor3,RNA,GSE21257,3.3594489097595215
Factor4,RNA,GSE21257,1.9212067127227783
Factor5,RNA,GSE21257,3.0262291431427
Factor6,RNA,GSE21257,1.6391217708587646
Factor1,RNA,GSE39055,1.9658446311950684
Factor2,RNA,GSE39055,2.5779306888580322
Factor3,RNA,GSE39055,6.1384499073028564
Factor4,RNA,GSE39055,1.565331220626831
Factor5,RNA,GSE39055,0.42260289192199707
Factor6,RNA,GSE39055,0.5301475524902344
Factor1,RNA,TARGET_OS,8.121681213378906
Factor2,RNA,TARGET_OS,6.598818302154541
Factor3,RNA,TARGET_OS,6.016403436660767
Factor4,RNA,TARGET_OS,3.7560760974884033
Factor5,RNA,TARGET_OS,5.2049338817596436
Factor6,RNA,TARGET_OS,1.2968182563781738
