,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
COMP,0.04890257,0.28732446,0.07287858,-0.06794477,0.027799914,0.0050627403
CA12,0.06235359,0.27348405,-0.11799992,0.006341462,-0.062359735,0.14479102
SLC36A2,-0.13902034,-0.12557873,0.2924905,0.0028529807,0.3046169,0.12963827
CHAD,-0.017977407,0.004067608,0.28544003,-0.14551726,0.1308723,0.089681484
FBN2,-0.013659877,0.12313366,0.102246225,0.12855168,0.16994482,0.14373487
COL11A1,-0.030876413,0.26267248,0.07679441,0.0053979573,0.0018338036,0.12213365
COL22A1,-0.079155535,-0.14933388,0.28272864,-0.014942042,0.24315259,0.19685818
MMP9,0.06653728,-0.24660067,0.17044279,0.003399957,-0.21739064,0.30130202
MFAP4,0.07978456,0.33705825,0.002852892,-0.00078009,-0.024102407,0.024728663
IGFBP5,-0.037632193,0.1538984,0.15946142,0.0960697,-0.018269546,0.070128605
COL2A1,-0.13488173,0.14127064,0.09899097,0.013819249,0.12813115,0.11757597
HAPLN1,-0.05866527,0.2608557,0.005924959,0.012148106,0.018152729,0.11723891
NGEF,-0.09777164,0.09637888,0.18779632,-0.0888805,0.05902455,-0.0042775427
NKD2,-0.059753466,-0.04483825,0.25092724,-0.056045398,-0.13284774,-0.10045138
ANGPTL2,-0.003963271,0.3501511,-0.008261125,0.061657082,-0.0368104,0.1223338
SFRP4,0.17010139,0.09058405,0.088893496,-0.11420563,-0.2410734,0.026811494
C1QB,0.30862632,-0.023765223,-0.0035263922,0.0018117405,0.22144908,-0.09038038
FNDC1,0.025288891,0.24479368,0.16126266,-0.087929755,-0.04178825,0.082544334
CD84,0.14798376,-0.2468581,0.13617362,-0.0016332774,-0.20674957,0.30418596
POSTN,0.009140614,0.28576276,0.0008607345,0.0018273421,-0.08024307,0.1389921
C1S,0.19887553,0.15179232,0.10373237,-0.11063041,-0.13192083,-0.11664101
THBS2,0.070467666,0.32782692,-0.008507465,-0.0011712828,-0.09937122,0.16757222
FBLN2,0.12376721,0.2828331,0.08466041,-0.00534749,0.029545562,0.04695156
CRYAB,-0.018407311,-0.07247514,0.12974335,-0.06599623,-0.0909914,0.088847026
SEMA3B,-0.0967702,0.14872961,0.1500514,-0.034445778,0.21459731,0.22709818
CXCL14,0.14473817,0.20606743,0.13859595,-0.12542325,-0.0688476,-0.003927363
TGM2,0.25107017,-0.029600201,0.044994846,0.07239538,0.089360654,0.0033863913
PI15,0.070078366,0.25661072,0.03245114,0.012400883,-0.046771042,0.101745255
DLX3,-0.138848,-0.23239286,0.31926122,0.0120297475,0.16445212,-0.0047894525
IGF2BP2,-0.061903264,-0.0055156457,0.045250244,0.113985285,0.031878985,-0.0010740574
APCDD1,-0.12524728,-0.05338192,0.22464307,0.08541024,0.2672737,0.19610845
NDN,-0.0136376675,0.019486407,0.06795443,0.008800589,0.105892375,-0.023324985
SLC13A5,-0.12496797,0.055080105,0.13777888,0.053327996,0.3420097,0.23135886
CD74,0.3270035,-0.0011317579,-0.0055917143,0.012994006,0.20103846,-0.1133367
EEF1A2,0.0344927,-0.09982529,0.09315434,-0.03290146,-0.059591964,0.21294452
SLC8A3,-0.19238757,-0.10379168,0.2893441,0.031577937,0.250717,0.08512899
LAMC3,-0.05474099,0.027494883,0.26158538,-0.070107214,-0.030364498,-0.11761155
PRND,0.112668425,0.03194328,0.2573591,0.008603869,0.08554272,0.025835743
DCN,0.057837386,0.18658705,0.08309687,-0.10237634,-0.19292496,-0.0058227726
ATP6V0D2,0.089934714,-0.2409331,0.12768708,-0.0037912496,-0.24121287,0.34192774
ENO2,-0.008356882,0.09348736,-0.022641838,0.08281068,-0.08139234,-0.046051852
SLC29A1,-0.0063914335,-0.1941849,0.2349109,0.0028495889,-0.13657948,-0.10508883
ENPP2,0.02131783,-0.11135405,0.2766779,0.029831458,-0.055804014,-0.0021989015
PALM,0.031816587,0.1846109,0.1315327,-0.10710148,0.20272958,-0.015916362
CTSK,0.1457168,-0.21286932,0.11698789,0.0003368469,-0.26301265,0.3129436
MAB21L2,0.018160012,-0.06601538,0.12708303,-0.0982011,-0.021363365,-0.0270167
MMP13,0.014402713,-0.14734846,0.15613313,0.0073201694,-0.046980124,0.21804394
STC2,-0.026461784,0.0023060702,0.026346834,0.015356444,-0.07570326,-0.09110256
MXRA5,0.1057683,0.2283288,0.08620721,-0.0007718552,-0.23943162,-0.015360895
ROR2,-0.034014605,0.29417992,-0.049863815,0.14710054,0.021850863,0.11929038
BAIAP2L2,-0.13687077,-0.04664727,0.18240736,-0.0013048596,0.16828437,0.0287519
TNFRSF19,-0.06775288,0.086311206,0.11878957,0.14278907,-0.030888287,0.10095599
RCOR2,-0.20920229,-0.020947764,0.14098507,0.0936027,0.30336994,0.16257408
LUM,0.049205963,0.16445361,0.098982655,-0.13126734,-0.23139179,0.005416538
SERPINA1,0.2476097,-0.0013873733,-0.1540584,0.07221228,0.13041726,0.0055464082
EFEMP1,0.08003429,0.22750281,0.025687737,-0.0006384011,0.010149847,0.08029334
OMD,-0.13319908,-0.005014855,0.26106876,-0.05241009,0.02348889,0.099945314
NCAM1,-0.15144978,-0.114729226,0.25473833,0.015519711,0.049401645,0.013605652
SPON1,-0.06244091,0.228793,0.12084043,-0.008287325,0.003713521,0.037539646
CXCL12,0.21754856,0.11410937,0.101363495,-0.01774931,0.021717029,-0.009504968
GPRC5C,-0.13980685,-0.013808381,0.2583621,-0.010133298,0.20502445,0.16303343
MYOM1,0.02093948,0.0016318131,0.15484175,-0.010547745,0.119217694,-0.025177203
PRSS23,0.13929693,0.1962549,0.051142305,-0.0125598125,-0.20094222,-0.00094453024
ABI3BP,0.13243255,0.2949832,0.101733886,-0.003406472,0.06521048,0.06079746
RHPN2,-0.1696354,-0.010838497,0.14883678,0.08026328,0.25604802,-0.008345153
BMP4,-0.107857496,-0.20496452,0.20114246,0.050074965,0.09392237,-0.10456599
OAS2,0.21214435,-0.07921459,0.03770677,0.0088166725,-0.02887629,-0.15860511
GLDN,0.035575453,-0.12561771,0.2975347,-0.055657238,-0.12835036,-0.12194303
DKK1,-0.052626688,-0.04907995,0.16227771,-0.006748315,0.24222839,0.061861563
ASPN,-0.003316947,0.325612,0.042871434,0.0038089508,-0.0738611,0.15043966
TFAP2A,-0.081202015,0.03401237,0.045444556,0.10020487,0.09021268,-0.0089440895
COL3A1,0.009149341,0.35914087,0.03813792,0.0043118685,-0.103958406,0.1556414
SPP1,0.11318578,-0.21280874,0.12643397,-0.018565753,0.019503372,0.33269933
ESM1,-0.03778331,-0.04154864,0.046056684,0.098236546,0.04845977,-0.0007854639
BIRC3,0.20992954,-0.19421016,-0.006292817,0.047317352,-0.14261933,0.14533533
TCIRG1,0.1434099,-0.24002889,0.115241624,0.00025350164,-0.18956019,0.3404259
OAS1,0.18399511,-0.11391796,0.01728208,0.013307509,0.0008505391,-0.1573791
CD248,0.05227496,0.24147065,0.094501205,0.020887878,0.027522547,0.21231347
TNC,-0.032373205,0.061657056,0.18737595,0.08648821,-0.1560422,-0.0029330621
COL5A3,0.073126666,0.10677785,0.18625563,-0.00471481,-0.0696671,0.010767886
APOC1,0.25366727,-0.07310697,-0.08820844,0.0712645,0.18017821,0.03400891
COL6A3,0.04137178,0.2653211,0.08191444,0.026193226,-0.2580608,0.049808953
ENPEP,-0.051066328,0.0909161,0.17656992,0.14211832,-0.063898794,0.021088472
ECM2,0.03335798,0.24146083,0.09336995,-0.002818545,-0.18618596,0.0077195168
SRPX2,0.11540892,0.01976676,0.03427165,-0.024566019,-0.29419184,0.017832102
AIF1,0.33381516,-0.03209761,-0.06851076,0.0018961187,0.21557862,-0.024731506
LRRC17,0.0018241035,0.21775067,0.088485956,0.010486254,-0.009473941,0.14982364
GAS1,0.10675269,0.18570745,0.026775792,-0.016666757,-0.19591227,0.0016850728
ITGA11,0.026213616,0.10360006,0.08971314,-0.013850893,-0.34850696,0.05699868
ALDH1A1,0.1065206,-0.029513087,0.0142874215,0.13986333,0.122755244,0.09410867
PRICKLE1,0.037699442,0.2620693,0.024257928,0.08712071,0.08703617,0.11653155
HAS2,-0.00078542525,0.25209162,-0.05699699,0.11714178,-0.013615445,0.12526189
COL14A1,0.061374202,0.3392954,0.0354533,0.014838886,-0.011218711,0.032349978
CDO1,-0.05423242,0.119654045,0.10971213,-0.005686826,0.1495294,0.09507489
MAMDC2,-0.051642727,-0.1387658,0.2956589,0.008746862,-0.013243315,0.073267885
DDIT4L,0.04241144,0.20383571,0.07362208,-0.025522854,-0.05815322,-0.13234212
COL18A1,0.12387845,0.16100132,0.16802669,-0.008000052,0.045002725,0.046169233
TNFAIP6,0.09300007,0.25916386,0.019570917,0.01201074,-0.0093118055,0.1341488
HSPA2,-0.058942873,-0.07294727,0.17041084,0.090110734,-0.047352213,-0.136509
NT5E,0.07674439,-0.002625828,0.12488221,-0.038876757,-0.34348926,0.00023317123
PHOSPHO1,-0.1513686,-0.11163706,0.25475174,-0.045287553,0.29721034,0.1871171
RGS5,0.11651165,0.17173709,0.22320423,-0.042354938,0.08496155,-0.00052349543
SYTL2,-0.08248789,0.0040750415,0.17393686,0.0023068758,-0.000606833,-0.0058681737
BAALC,0.046719413,0.0740736,0.044319678,-0.057584736,-0.02038968,-0.010451184
SLCO2B1,0.3374934,0.002678231,0.06498248,0.10341165,0.16528709,-0.06877137
NID2,0.048823886,0.23850483,-0.010975699,0.21576075,-0.10704759,0.09918138
SLIT2,-0.011883236,0.024504831,0.30898187,0.016158378,0.037184212,0.048838962
CA3,-0.09652511,-0.09451849,0.17118528,0.0011226363,0.27908435,0.12937865
OSMR,0.1723438,0.09882866,0.058096316,-0.0036779463,-0.19918135,0.12133383
EGR1,0.088770114,-0.0013291463,0.14365405,0.011500479,-0.06759184,-0.03840886
FZD1,0.025357893,0.32274398,0.008489319,0.06609344,-0.14217642,0.060425926
TGFB3,0.0291754,0.2637162,0.03893462,0.09852387,-0.12618187,0.12666374
SLC7A5,-0.10863498,-0.017285587,-0.012016886,0.19576819,0.008603165,-0.06208395
COL12A1,0.011027331,0.23479676,0.0637517,-0.004821551,-0.1425596,0.19413371
