,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
COMP,0.02826525648326802,0.07374625586857661,0.025375143162776986,-0.00829903585455821,-0.027766331665367874,-0.0009368244356317001,0.041392727759930914,0.0015304464505906234,0.007626895707822053,0.05731627265176013,-0.030067215346615078,0.015964871426716373,0.015080109435270089,0.026108364934599428,0.02871789560727211,-0.022557582957703708
CA12,0.035048758210999995,0.07436431257483074,-0.0092926570092557,0.02219436792207788,0.03632095673659758,0.047079946858989,0.012827660675531602,0.00806811152270815,-0.009606545458864387,0.06051188831527442,-0.06179770554642849,-0.008186712781849499,0.003342332468239336,0.03723715158129706,0.030800440914912477,0.05579932244062695
SLC36A2,-0.055061059273608104,-0.045982868833423486,0.05361527659586472,-0.00044449351137605913,-0.052349787008817684,0.07216526501515834,0.043664467548278775,0.04768554326716294,-0.041442588452880284,-0.009322436309255971,-0.02474972828518762,0.0037187596224403903,-0.015905248381894367,0.047352119581424316,0.008437388033826737,0.04793093965200128
CHAD,-0.003498097418473161,-0.010073875426912047,0.059828685951988966,-0.05268520225987646,-0.0505759047537842,0.04976688661039656,0.028189522301061906,0.02933009468873686,0.0016548084039513938,-0.02259464230654605,0.00774083052898656,0.03832684063851829,-0.007783891914990472,-0.036549103631260065,0.03068282240072727,0.00784460942558803
FBN2,-0.00921430020771915,0.02338450509678066,0.025222343143132785,0.06995715618998986,-0.04507052697959221,0.046408945527789076,0.00985478096332519,0.009300417683579015,0.0541596825193997,0.0059287074645031895,0.018958314580757495,-0.02338573990097403,-0.03115115926535551,0.05478464850006721,-0.03379356244650403,-0.05488641007385906
COL11A1,0.0018073191673098723,0.07205811142556776,0.03386358551924528,0.004677532649889758,0.015677454589157244,0.03007419817751297,0.05119821794346159,0.03653774326933772,0.042220962159919384,0.004785605300442097,0.04448525346243185,-0.020527899415241982,-0.06544940712622538,0.017293363598756526,0.09791305115624646,0.008009349514078229
COL22A1,-0.03537085328256994,-0.05509881190216792,0.05356106800721461,-0.006792289344545301,-0.04763121534229285,0.08957295108006165,0.02943761995715072,0.03137346952436437,0.0052066335323286365,0.008801454237539795,-0.014306196845065617,-0.031613310938694586,0.030891543286200952,0.0471594129144602,-0.014960211077866055,0.021286828891063418
MMP9,0.012729420833326855,-0.07934973977868928,0.05040296038698862,-0.010391789446872673,0.058717947787333906,0.068133693370377,-0.004567741472201235,-0.06396389920953814,0.038974600879603666,0.03592012223235429,-0.023269799152370523,-0.006843273546716386,-0.028678829501289086,-0.011846620437901577,0.0009333692671614473,-0.03654614038655684
MFAP4,0.0405972869143782,0.08659545953477765,0.01631638297395132,0.019241364854977978,-0.016294427490309852,-0.012470778945579426,0.029247876529833322,-0.020198274135713727,0.03848689723728713,0.009511708238062636,-0.037808564521370505,0.01351685230421363,-0.00039257899413902043,0.03174696715871722,-0.059793744699304784,0.03904344118471764
IGFBP5,-0.007434111258711398,0.038059725939639945,0.052956026191902324,0.03581500533778299,0.0023941682287111003,0.0060946124448800305,0.03579262817165285,-0.04002109540027333,-0.019147640731407137,0.0028572617973145103,0.00916936031646137,0.03832091294552862,0.008706553934315506,0.013472926496003783,-0.05777087899713006,0.011001333861247582
