,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
COMP,0.02826525648326802,0.07374625586857661,0.025375143162776986,-0.00829903585455821,-0.027766331665367874,-0.0009368244356317001,0.041392727759930914,0.0015304464505906234
CA12,0.035048758210999995,0.07436431257483074,-0.0092926570092557,0.02219436792207788,0.03632095673659758,0.047079946858989,0.012827660675531602,0.00806811152270815
SLC36A2,-0.055061059273608104,-0.045982868833423486,0.05361527659586472,-0.00044449351137605913,-0.052349787008817684,0.07216526501515834,0.043664467548278775,0.04768554326716294
CHAD,-0.003498097418473161,-0.010073875426912047,0.059828685951988966,-0.05268520225987646,-0.0505759047537842,0.04976688661039656,0.028189522301061906,0.02933009468873686
FBN2,-0.00921430020771915,0.02338450509678066,0.025222343143132785,0.06995715618998986,-0.04507052697959221,0.046408945527789076,0.00985478096332519,0.009300417683579015
COL11A1,0.0018073191673098723,0.07205811142556776,0.03386358551924528,0.004677532649889758,0.015677454589157244,0.03007419817751297,0.05119821794346159,0.03653774326933772
COL22A1,-0.03537085328256994,-0.05509881190216792,0.05356106800721461,-0.006792289344545301,-0.04763121534229285,0.08957295108006165,0.02943761995715072,0.03137346952436437
MMP9,0.012729420833326855,-0.07934973977868928,0.05040296038698862,-0.010391789446872673,0.058717947787333906,0.068133693370377,-0.004567741472201235,-0.06396389920953814
MFAP4,0.0405972869143782,0.08659545953477765,0.01631638297395132,0.019241364854977978,-0.016294427490309852,-0.012470778945579426,0.029247876529833322,-0.020198274135713727
IGFBP5,-0.007434111258711398,0.038059725939639945,0.052956026191902324,0.03581500533778299,0.0023941682287111003,0.0060946124448800305,0.03579262817165285,-0.04002109540027333
COL2A1,-0.03710651346219426,0.04241969137875354,0.027295843270383743,0.017192438115815924,-0.032435729187006594,0.02741705376952573,0.02795226457380277,-0.009114979214293564
HAPLN1,-0.005507639016235161,0.07723499454257353,0.016370614443396467,0.01191164364380346,0.011923203617778625,0.020205272799703643,0.06884520093637635,0.016257571488857692
NGEF,-0.01812741101161404,0.02981508246694871,0.04188653097051481,-0.04544604778829984,-0.02427183960695801,0.02301982744322459,0.01087106710796769,0.08692205393956465
NKD2,-0.01471281510806623,-0.00729282520852869,0.06699118949861721,-0.043888971143141525,0.0071676112256304015,-0.057615813918093936,0.022955949951726957,-0.030078243301874752
ANGPTL2,0.017014916258989425,0.09495401654203656,0.019460622132466132,0.024156061711006194,0.03523881152089084,0.03001028310082121,0.060205857912714336,-0.003252975380684138
SFRP4,0.06262483012373918,0.016905470517806713,0.03710754016263747,-0.047030316156377636,0.038072773530242354,-0.009808579204838018,0.010678152564838362,-0.0207146194707601
C1QB,0.07193396152572977,-0.03358599349441578,-0.013557875119027936,0.023577205326804435,-0.037291565296224266,-0.030178006851890704,0.07771932378575183,0.05256765791857057
FNDC1,0.021323466230371138,0.060403194369196965,0.0515267548707336,-0.03316167376944453,-0.0006707817776087964,0.03233786930409057,0.041989804083799,0.04670978001045481
CD84,0.03686845271653863,-0.08511009590286363,0.03817407205403033,-0.011452572795498536,0.058286851299058785,0.05838095984340277,0.0066951502618431,-0.049476752220986284
POSTN,0.020969316339757436,0.07688687777515256,0.017424087797552282,0.009116158064516303,0.03061061196501381,0.0355333283066086,0.020784959863537178,-0.03503120776350886
C1S,0.06839464271258928,0.031214006140122944,0.03209840957538523,-0.038507167151711215,0.002293428125081133,-0.04987138868311013,0.02626127224529336,0.007930627664754449
THBS2,0.03944683308759394,0.08513744172939301,0.020785928155970846,0.005842860663098798,0.03452908919865841,0.044321142064236575,0.024346999958790697,0.013370826914885864
FBLN2,0.03651650597944681,0.05168008084374803,0.028594796635707402,0.010649301333124979,-0.048124763958488456,0.04513655023206488,0.008472726888559285,0.044929846836071693
CRYAB,-0.0042398530525513105,-0.019911924334040064,0.0356861956225822,-0.02751270817540828,-0.0063731974066176846,0.024392690185120258,-0.03296173141161112,0.017336057868833084
SEMA3B,-0.02489713220046712,0.03354408971635334,0.03257017674094183,-0.00021853158397313732,-0.044721905178641365,0.0996007648022694,0.03214675305089334,0.05770193387750784
CXCL14,0.05341945850640999,0.04577299077427723,0.040658285808923285,-0.03881278354362493,-0.013032586998054138,0.00178852486901597,0.024635605478781387,0.022667487603798664
TGM2,0.06328331021464169,-0.036562280778123984,0.006755344013403468,0.04725393798402388,-0.023233415891939415,0.012151554636275607,-0.0028352911053626875,-0.007629631704698926
PI15,0.030920330514692503,0.06611385133297455,0.023936535766283403,0.02259322336129083,0.0034346811270461273,0.027313039870431037,-0.0012869918810427938,0.012923840038151755
DLX3,-0.055494614867622034,-0.07051729803600396,0.06389329751076527,-0.009964915118717563,-0.04374245056762975,0.019786045291316237,0.001835676769025756,0.03648198117999787
IGF2BP2,-0.025199928375775785,-0.0008829453225016565,0.015826320666070783,0.04413713789455519,-0.007595482433848757,-0.013041674507064763,-0.015438888112352653,0.003545082881733599
APCDD1,-0.050090262035025646,-0.026396400415489872,0.043499047769214226,0.040077253497645245,-0.04729785843770199,0.07146792376498688,0.04183254099202216,0.0018617199405242604
NDN,-0.00837460601750791,0.004009196829803474,0.012760024250694143,0.011676943085189575,-0.03632535029452343,-0.013940261223861855,0.015552135333899327,0.04011675266026124
SLC13A5,-0.04311424196348417,0.008552908704007892,0.024227492691265295,0.03501191315033776,-0.04950916583954898,0.08902562460280372,0.06344831624992099,0.0208882884288968
CD74,0.08185605208796379,-0.02758739749167413,-0.014742004145683307,0.02943084112979167,-0.030283336809105926,-0.026152986136686394,0.061070452091376896,0.06188594341459179
EEF1A2,0.0012938085738524218,-0.019013962066838155,0.02149180640016427,0.0004302843256105376,-0.010712129531690325,0.011127925083108062,-0.014541351722550432,-0.009242451355651268
SLC8A3,-0.069706721970574,-0.03315095711657828,0.057452325006763255,0.0025509914111694937,-0.04572492872811604,0.04965500541487214,0.03214502174102946,0.04407472759981881
LAMC3,-0.015273626002495213,0.006050984181174806,0.064031274790494,-0.028021699094043707,-0.033496843261682493,-0.05740798984417816,0.02185813409389916,-0.009115001756328399
PRND,0.03269730894547828,-0.013351274356290025,0.06236593443926963,0.027116370870270447,-0.06528510666473993,0.02856206640973885,-0.028867465279988742,-0.0708510723077038
