,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,group
DOG2::100_0514_tumor,-0.86811835,-0.07146652,-0.00024066913,2.0294783,-0.07519566,1.8323818,0.5150439,-0.2989633,1.225634,1.8257899,DOG2
DOG2::101_0518_tumor,3.0847316,1.6031557,-2.216097,2.1325495,0.16395576,1.2436291,0.06846416,0.2978564,1.6474408,0.26849088,DOG2
DOG2::102_0619_tumor,4.590142,1.7569156,-2.7494705,-0.31214094,0.4277546,-0.96445537,-1.2135489,1.0156225,0.979913,0.57290393,DOG2
DOG2::103_0639_tumor,0.2461689,-2.1891248,-0.4049666,-2.0819485,0.07553838,0.8551306,-2.3244221,0.3177502,-1.3522027,-0.4594882,DOG2
DOG2::104_0702_tumor,0.10872516,-0.5537053,0.94692343,0.94724286,0.30924162,2.7556438,0.5827694,0.054244295,0.38940918,-0.5412238,DOG2
DOG2::105_0710_tumor,-0.099004075,-0.5757284,0.93580735,-2.1265988,0.5639179,0.25574484,-0.23125845,1.300362,-1.0353376,2.3412395,DOG2
DOG2::106_0716_tumor,-3.407612,2.3426917,0.69186485,-0.48856863,0.29721966,1.4543269,-0.86971647,-1.5451161,-1.7784487,0.430318,DOG2
DOG2::107_0719_tumor,-4.55804,-1.4830394,0.38224047,1.8235264,0.14151877,-0.0850457,0.1570431,1.195641,1.0617477,0.76484895,DOG2
DOG2::108_0720_tumor,-2.1695008,-3.1168218,-0.520058,0.5284666,-0.0066839675,0.18096663,1.2707564,1.2164985,-0.3352112,-1.1769104,DOG2
DOG2::109_0721_tumor,1.0751628,-2.6018267,2.1374888,0.096624084,0.011963485,1.5565438,0.87905407,0.86842316,-0.8532559,-0.8573786,DOG2
DOG2::10_0512__Tumor,-0.88646096,1.0278744,2.9074852,1.0264711,0.074614875,0.8408302,2.563707,2.5162547,2.3760185,0.8747613,DOG2
DOG2::110_0522_tumor,2.6062737,-1.6262494,-1.3526436,1.8625593,-0.2008901,0.40024465,0.43248487,0.30760717,-0.981765,2.482769,DOG2
DOG2::111_1708_tumor,-1.1349218,4.062613,-0.003002988,0.28498852,0.020454852,-1.4532982,-0.8936448,-0.49310818,-0.73396623,1.3635433,DOG2
DOG2::112_0502_tumor,0.2196339,-2.44183,-0.5029118,-3.8899543,-0.22551562,0.77398753,-0.7285953,1.1097256,0.63063693,1.8309144,DOG2
DOG2::113_1010_tumor,-0.373117,-1.5357128,-3.0949352,0.7153976,0.4367944,0.37749988,0.2612678,1.6696146,-3.564633,-2.01927,DOG2
DOG2::114_1704_tumor,2.567773,4.3638954,-1.5228503,0.2396606,-0.14875376,-0.711243,-1.3597847,-0.44984528,1.9504842,-0.72707045,DOG2
DOG2::115_2318_tumor,-0.77921855,-2.396023,2.4481788,0.7108215,0.010070074,-0.112364806,1.5292195,0.12839781,0.105918266,-2.8057208,DOG2
DOG2::116_0506_tumor,-0.6696073,1.6456896,-0.9053057,-1.140532,-0.23945561,1.9682485,0.09654876,0.6745987,-1.4005835,0.5573853,DOG2
DOG2::117_1011_tumor,-5.057613,-1.8851713,1.0940874,3.7485375,-0.2685973,-0.95302236,3.4842117,-1.4730726,0.1576868,2.643981,DOG2
DOG2::118_2304_tumor,-2.4283514,-0.37455046,0.3986151,-3.552536,-0.24836573,0.72503144,-0.4967842,-0.15180162,0.20750535,3.39378,DOG2
DOG2::119_0516_tumor,-2.8860106,0.7012941,1.4526366,-0.54292166,-0.14336252,-1.8507724,0.30540088,-1.1702678,0.26908982,2.0363574,DOG2
DOG2::11_0602__Tumor,-2.0007458,-0.6882322,-0.74766487,0.8801316,-0.3918896,-0.7947588,-1.4940904,2.069456,-1.5066825,1.1422794,DOG2
DOG2::120_2306_tumor,1.0472298,0.26443887,-1.4157048,-0.4417204,-0.22580281,-1.0185529,-1.3229117,1.5685272,-1.6172003,2.1357746,DOG2
DOG2::121_2322_tumor,-1.8408816,-2.8611588,2.390176,-1.1631833,-0.25608,-0.83711183,-0.8006698,0.17434381,0.66705155,-1.226352,DOG2
DOG2::122_0504_tumor,-3.525268,-2.1198084,-1.5300089,2.1755624,-0.2677437,1.43812,-0.16184455,2.0485983,0.52517235,1.7480844,DOG2
DOG2::123_2316_tumor,2.8462298,-1.684614,-0.09731873,2.7240243,0.25537673,-0.11801051,-0.3584471,0.9728194,-0.79232883,0.117013775,DOG2
DOG2::125_2004_tumor,0.46463615,1.9756367,2.4796119,0.030789105,0.65525466,-2.5062053,0.58306634,1.0823507,1.0015783,1.116451,DOG2
DOG2::126_0228_tumor,-3.2684658,3.2876854,-0.99952835,0.4446151,-0.07686433,0.43847173,-0.47783816,-1.4105247,-1.699511,-1.9190513,DOG2
DOG2::127_2010_tumor,-2.3025877,-0.28779018,0.30995283,0.1310654,-0.011388298,-2.3158956,0.49193117,1.2337834,-1.1725739,0.43546382,DOG2
DOG2::128_1023_tumor,4.258863,2.8030782,-4.96949,-0.10604002,0.7304164,-1.0687581,0.996635,1.4015722,1.4779148,-0.50452405,DOG2
DOG2::129_1414_tumor,0.4107753,-1.2770284,0.70401454,2.0461652,-0.016120613,0.36009404,0.074577294,0.99088573,0.28035903,0.34853667,DOG2
DOG2::12_0608__Tumor,-4.8674707,0.33063692,0.42366448,3.6224852,-0.18090983,0.72320276,0.12392463,-0.25420237,0.49478343,1.0038623,DOG2
DOG2::131_2012_tumor,-0.77708983,-0.8099591,1.2485559,-5.574906,0.19531694,0.17472084,-0.48688418,-2.832417,-1.189307,-0.42950448,DOG2
DOG2::132_1025_tumor,-6.0557175,4.6283407,-0.60762453,0.14109696,0.08333348,-0.62911814,0.4028589,-0.094174266,0.13235448,0.22332236,DOG2
DOG2::133_0907_tumor,2.6611435,3.8259788,0.26597583,-2.1680195,-0.13695712,-2.5961342,1.0456195,-1.471575,2.7299588,-0.6011782,DOG2
DOG2::134_2208_tumor,-0.6796332,-1.1322023,-0.24925277,-0.5870601,0.50364864,-1.5594509,-0.28995785,2.317478,-0.7999612,2.4812903,DOG2
DOG2::135_0102_tumor,-3.8207576,-4.805082,-0.3428465,0.40112245,-0.43558943,2.2603383,0.017340042,0.52310324,-0.43564048,0.97738993,DOG2
DOG2::136_0105_tumor,0.14265908,-3.8375843,0.83386874,0.6152636,-0.16932581,-0.18211183,-0.50392157,0.08298752,-1.7874061,-0.26529497,DOG2
DOG2::137_0106_tumor,3.1762984,-1.5543544,-0.874184,-4.809754,0.43342716,0.0540816,0.048530314,-0.38327822,-0.25049785,0.0031538059,DOG2
DOG2::138_0314_tumor,-2.806867,2.4659553,-1.1661906,-5.329802,0.38236576,0.60273015,-1.3453084,0.05742187,-1.254611,-0.49269766,DOG2
DOG2::139_0733_tumor,-1.9453155,0.009279288,-4.5681605,-4.0566187,0.49131465,-0.48237932,1.1925776,2.0548172,0.44267896,-0.15887465,DOG2
DOG2::13_0613__Tumor,-5.5507774,-1.7393305,-1.3220052,3.5909696,-0.40858862,-1.0847754,-1.0060315,1.0900259,-0.17933269,-1.2051901,DOG2
DOG2::140_0905_tumor,2.3925376,5.2282767,-2.9251118,-2.8560395,-0.30355796,-1.4522165,0.08619184,0.039991193,1.8067434,-0.45766893,DOG2
