factor,view,group,r2
Factor1,RNA,DOG2,12.041640281677246
Factor2,RNA,DOG2,8.761852979660034
Factor3,RNA,DOG2,5.810177326202393
Factor4,RNA,DOG2,5.15788197517395
Factor5,RNA,DOG2,0.182265043258667
Factor6,RNA,DOG2,3.102254867553711
Factor7,RNA,DOG2,2.357804775238037
Factor8,RNA,DOG2,2.3424088954925537
Factor9,RNA,DOG2,4.20343279838562
Factor10,RNA,DOG2,4.316443204879761
Factor1,RNA,GSE21257,9.439283609390259
Factor2,RNA,GSE21257,5.575573444366455
Factor3,RNA,GSE21257,2.3237764835357666
Factor4,RNA,GSE21257,2.470642328262329
Factor5,RNA,GSE21257,9.551364183425903
Factor6,RNA,GSE21257,2.7684271335601807
Factor7,RNA,GSE21257,2.114260196685791
Factor8,RNA,GSE21257,2.195572853088379
Factor9,RNA,GSE21257,1.1899352073669434
Factor10,RNA,GSE21257,0.621575117111206
Factor1,RNA,GSE39055,1.2409985065460205
Factor2,RNA,GSE39055,1.0443449020385742
Factor3,RNA,GSE39055,1.209956407546997
Factor4,RNA,GSE39055,0.6955862045288086
Factor5,RNA,GSE39055,0.05633831024169922
Factor6,RNA,GSE39055,0.26880502700805664
Factor7,RNA,GSE39055,2.2956013679504395
Factor8,RNA,GSE39055,0.3948330879211426
Factor9,RNA,GSE39055,0.24031996726989746
Factor10,RNA,GSE39055,0.359499454498291
Factor1,RNA,TARGET_OS,8.596402406692505
Factor2,RNA,TARGET_OS,6.594949960708618
Factor3,RNA,TARGET_OS,4.179340600967407
Factor4,RNA,TARGET_OS,3.422725200653076
Factor5,RNA,TARGET_OS,0.3257870674133301
Factor6,RNA,TARGET_OS,3.6515772342681885
Factor7,RNA,TARGET_OS,2.3339450359344482
Factor8,RNA,TARGET_OS,3.355962038040161
Factor9,RNA,TARGET_OS,2.1100401878356934
Factor10,RNA,TARGET_OS,1.1797428131103516
