,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
COMP,0.003382663,0.25496486,0.08362188,-0.069842294,-0.13620591,-0.0067445417,-0.06078799,-0.06436187,0.042965285,0.092458285
CA12,0.014976981,0.25180995,-0.1870549,0.019018332,-0.106512144,0.10907192,-0.032341007,0.005868371,0.11746922,0.0676146
SLC36A2,-0.06893337,-0.2014449,0.062444318,0.06265008,0.0035562469,-0.16315503,-0.37656978,-0.14977883,0.10583981,0.15370087
CHAD,-0.003423445,-0.05618314,0.12998475,-0.10453589,0.03057805,-0.033146657,-0.3095534,-0.1417327,0.1218255,0.09259143
FBN2,0.015008752,0.08693428,0.0580326,0.10211669,0.11734654,-0.013887669,0.01324732,-0.22504611,0.08693775,0.22504973
COL11A1,-0.019265996,0.21679185,0.021816548,-0.010370084,0.12913121,0.104790024,-0.21196151,-0.09952122,-0.05223727,0.17499317
COL22A1,-0.019863823,-0.21464951,0.039225396,0.0066053807,0.006832588,-0.06831447,-0.2751748,-0.21171309,0.16870518,0.17942648
MMP9,0.07186063,-0.25231138,0.09158294,0.0027719242,-0.031573437,0.31248915,-0.0019633232,0.054570083,0.21992284,0.10395689
MFAP4,0.03366157,0.32070965,0.03854817,-0.03356367,-0.053250607,0.068626925,0.022661317,-0.065452866,0.01292631,0.11868863
IGFBP5,-0.012944935,0.11800438,0.18497719,0.074445,0.03335006,0.06353018,-0.109126665,0.046686202,0.019913964,0.16317648
COL2A1,-0.09579953,0.09083691,0.10012582,0.007929518,0.0047934065,-0.0068740244,-0.017958438,-0.18635553,0.008106983,0.2761043
HAPLN1,-0.04523761,0.22746103,0.020474983,-0.00032417546,0.0074847983,0.07508915,-0.1411747,-0.014283697,-0.07833491,0.22163141
NGEF,-0.08753219,0.05364834,0.019744642,-0.050586335,0.00028957037,-0.028411958,-0.26560068,-0.17181644,0.05335533,-0.043506537
NKD2,-0.050163407,-0.041087415,0.3257197,-0.10336021,0.07981609,0.09026061,-0.073678456,0.07816073,-0.11324335,-0.024289722
ANGPTL2,-0.011250935,0.31141284,-0.0134589225,0.04882792,-0.059048615,0.08029161,-0.2087982,0.11972158,0.008660441,0.16735971
SFRP4,0.109618425,0.104566626,0.090116784,-0.1176538,-0.074457735,0.22347121,-0.078680806,0.049705405,0.031088894,-0.066404924
C1QB,0.2822541,-0.0031931465,-0.0025062626,-0.05022025,-0.00011341118,-0.1387054,-0.11472664,0.013902488,-0.23898228,0.031853486
FNDC1,0.0057356916,0.20701823,0.083563484,-0.08758641,0.040568184,0.111226045,-0.2891383,-0.08723752,0.021770531,0.066040866
CD84,0.14032087,-0.23894958,0.038304914,-0.0019993968,-0.1272586,0.33360443,0.0015878591,-0.01954038,0.18756664,0.087810546
POSTN,-0.00044081928,0.25703236,0.01725832,-0.0066680056,0.15357523,0.1323202,-0.14767633,0.13208131,0.030293524,0.19002132
C1S,0.123922266,0.17021161,0.12338348,-0.11643267,-0.1395249,0.08979693,-0.08788333,0.004403366,-0.03953808,-0.14951743
THBS2,0.03897668,0.2971217,-0.0634066,-0.0018950357,-0.0138809495,0.165044,-0.16110897,-0.009979943,0.08861038,0.10953819
FBLN2,0.07735961,0.22741316,0.0029473573,-0.002475042,-0.01640666,-0.017913185,-0.12688369,-0.06476669,0.17183334,0.025928758
CRYAB,-0.02328468,-0.08945285,0.039103057,-0.025528507,-0.041785017,0.10223041,0.023483817,-0.12960161,0.17325789,-0.04268241
SEMA3B,-0.06296085,0.06485787,-0.04727064,-0.0049198526,0.09844544,-0.029365897,-0.25260705,-0.25351295,0.14569125,0.25489312
CXCL14,0.09270416,0.18342863,0.105170086,-0.13293631,0.008533364,0.051509846,-0.16957618,0.018203707,0.06382739,-0.025435405
TGM2,0.22354025,-0.016927129,0.0073955115,0.040617287,-0.04064588,-0.062004287,0.030444926,0.020375773,0.10128003,-0.008797942
PI15,0.046641566,0.23087025,-0.014525469,0.0048336755,0.02353555,0.09213428,-0.037611004,-0.1141726,0.11839276,0.047394093
DLX3,-0.07298819,-0.27120742,0.18813121,0.053177413,0.0076606786,-0.115336865,-0.19697244,-0.16029736,0.065435216,-0.005553322
IGF2BP2,-0.021313056,-0.0040867715,0.054596044,0.08510228,0.033509795,0.005746093,0.10065924,-0.19480844,-0.028491575,0.046267174
APCDD1,-0.055198546,-0.117554665,0.09185821,0.10779665,-0.00021682962,-0.092553,-0.17787741,-0.1603934,0.112550594,0.29670435
NDN,-0.0027442146,0.009008985,0.042263664,-0.00091727584,0.004610688,-0.041638687,-0.0007540593,-0.19136916,-0.054740038,0.031609356
SLC13A5,-0.05624866,-0.020381741,-0.011667879,0.07814167,0.018174734,-0.11960479,-0.23791407,-0.18040216,0.072708726,0.3700549
CD74,0.3022209,0.03097002,-0.007526304,-0.033858985,0.0031208633,-0.13574207,-0.119380966,0.019981565,-0.20586391,-0.01541232
C1R,0.098052405,0.09972457,0.1720723,-0.11774487,-0.15429752,0.11767609,-0.15114938,0.09821143,-0.08730049,-0.21599439
EEF1A2,0.030003998,-0.09972062,0.03371661,-0.045257974,0.041112494,0.16584185,0.09580886,-0.1837168,0.11160257,0.13730066
SLC8A3,-0.120057225,-0.17378224,0.09584403,0.091593616,-0.03152948,-0.13112295,-0.3124321,-0.22994663,0.07626343,0.12379098
LAMC3,-0.04299645,0.030335056,0.32403636,-0.10745992,-0.0027928196,0.009639172,-0.038140856,-0.13461806,-0.08246365,-0.009968926
PRND,0.10724821,-0.0052625216,0.2849545,0.0044233575,0.1081259,-0.122095905,-0.013775247,0.149342,0.29299822,0.083807684
DCN,0.006226729,0.17412019,-0.026458064,-0.08253447,-0.055922158,0.15671115,-0.3281969,0.011841929,-0.0015557748,-0.1830322
ATP6V0D2,0.09028048,-0.24118797,0.030942114,-0.0039156904,-0.0022667344,0.36279386,-0.006250097,0.029195217,0.21210277,0.12179715
ENO2,-0.010111402,0.112502515,0.018019464,0.054666318,-0.09623523,0.103633,0.11197442,-0.12089033,-0.11604457,-0.013633235
SLC29A1,0.0006282534,-0.17625986,0.26356554,0.00027778302,-0.021905346,0.028710602,-0.007903637,0.07725559,0.046233434,-0.17529503
ENPP2,0.04079746,-0.11914865,0.23344716,0.0124172075,-0.012773092,0.07930585,-0.22492334,0.03689628,-0.02811481,-0.019780552
PALM,0.010509037,0.14071445,0.13145852,-0.12195026,-0.040182225,-0.13415828,0.036307383,-0.2074087,0.021784611,0.1659197
CTSK,0.13177174,-0.20867275,0.0070568537,0.0009077016,-0.078326166,0.3662972,-0.018391704,0.010843891,0.20936088,0.053602047
MAB21L2,0.003844257,-0.06694496,0.026469447,-0.07127385,-0.015486388,0.020261727,-0.06943257,-0.18454593,0.045989133,-0.14827275
MMP13,0.036386766,-0.16279583,0.14244455,0.0020423292,0.007409819,0.15517484,0.0012763832,0.017678216,0.109654225,0.2110347
STC2,-0.024206528,0.008036734,-0.010716503,0.018580109,0.06459411,0.0106405355,-0.021605842,-0.054911792,-0.007047669,-0.18052806
MXRA5,0.059984874,0.22625989,0.03340682,-0.0043813656,-0.0007782238,0.18655992,-0.25643784,0.09606074,-0.0030198072,-0.17237477
