,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,group
DOG2::100_0514_tumor,-0.953916,1.0919608,0.08733121,2.202144,-0.054824088,1.2485056,1.2999568,0.543448,1.0586609,0.3751047,1.1462045,0.75714207,-0.48569143,DOG2
DOG2::101_0518_tumor,2.8843439,1.4993314,-2.2930858,2.2911057,0.100617334,0.57279474,-0.024999717,0.6140308,2.0716038,-0.32595578,0.08754092,0.25196195,0.32168785,DOG2
DOG2::102_0619_tumor,4.200464,1.0211229,-3.043877,-0.04788071,0.28866127,-1.1977289,0.51845074,0.28349864,1.6756687,-0.0899993,-1.6943713,0.47543958,0.70561445,DOG2
DOG2::103_0639_tumor,0.5802149,-0.98465234,0.55932456,-1.9137386,0.14003907,1.7535807,0.8957658,-1.0123785,-0.9434643,-0.8163629,-1.7833897,-0.31894225,1.2187806,DOG2
DOG2::104_0702_tumor,0.3027987,0.40084612,1.0153228,1.1425543,0.13772857,2.4379451,-1.0335722,0.67646587,0.49901325,0.71497875,0.8593369,1.0769722,0.047234956,DOG2
DOG2::105_0710_tumor,-0.15628833,0.2764151,0.093214445,-1.6539856,0.36582452,0.26320603,2.0931573,0.4265847,-1.2576623,2.2096786,-0.32586795,1.092944,0.6184249,DOG2
DOG2::106_0716_tumor,-3.7258246,1.9398327,0.6230997,-0.9981576,0.32432437,1.1449883,-0.18216383,0.022205023,-1.9880515,-1.1583892,-0.91268057,-0.7217117,-1.4071802,DOG2
DOG2::107_0719_tumor,-4.36197,-1.2994776,0.35422412,1.5229763,0.06892109,0.6451056,0.4803358,-0.03675952,1.3897725,1.3893708,-0.24798308,-0.14431481,-1.1806114,DOG2
DOG2::108_0720_tumor,-1.488308,-3.080001,-0.55368453,0.52455246,-0.15312144,1.4605861,-0.5960683,0.72192776,0.26890922,0.763026,0.52080464,-1.1491835,0.10902174,DOG2
DOG2::109_0721_tumor,1.6139356,-1.2487975,2.12978,0.46711478,-0.06432642,1.8228178,-0.14802912,0.27892748,-1.1746609,1.4195297,1.2238407,-0.6889835,1.1654218,DOG2
DOG2::10_0512__Tumor,-0.98084164,1.0635124,1.290032,0.83737475,0.023089174,-0.13223428,-0.07568329,-1.1297443,1.4554965,4.2003336,2.39869,-0.75998056,-0.9404511,DOG2
DOG2::110_0522_tumor,2.7682886,-0.47960174,-1.7622545,1.8555875,-0.06619427,0.7041714,2.7759864,-0.32372046,-0.79041815,-0.03605953,0.4397951,-0.5131065,-0.8327333,DOG2
DOG2::111_1708_tumor,-1.8801322,2.4839191,-0.8323974,-0.064753726,0.13426031,-2.1776333,0.5377736,-0.544005,-1.1343713,-0.31279886,-1.3162338,-0.43482825,-1.0260407,DOG2
DOG2::112_0502_tumor,0.37082925,-0.5051956,-0.15864018,-3.290331,-0.2115534,1.006022,2.6028078,-0.4318468,0.71436304,0.969636,0.10345865,1.2451831,1.3809465,DOG2
DOG2::113_1010_tumor,0.2452519,-2.7156208,-3.8169148,1.2968768,0.19677667,1.9359435,-0.84403,1.8704715,-2.4322524,-0.27652448,-1.0808388,-1.7796215,2.5688326,DOG2
DOG2::114_1704_tumor,1.8201069,2.887874,-1.3509444,0.13398932,-0.09911668,-1.8300837,-1.0798285,-0.089027844,2.0426037,-1.293737,-1.2854168,-0.28228784,0.30269715,DOG2
DOG2::115_2318_tumor,-0.16574663,-2.3733668,2.7212472,0.74438494,-0.11849745,0.3484509,-2.638559,0.28726658,-0.14391865,0.90437555,1.4291521,0.2938444,0.58073455,DOG2
DOG2::116_0506_tumor,-0.8050607,1.6317147,-1.7089185,-0.8355948,-0.15371294,1.4613979,1.0103525,-0.2939367,-1.5522196,0.033853844,0.40549675,-1.5480475,1.2265711,DOG2
DOG2::117_1011_tumor,-4.887342,-1.3707265,0.5391055,3.1579552,-0.10193103,-0.9685249,1.8299915,-0.32314113,-0.6311573,0.17102008,3.6715884,0.27641022,-2.966882,DOG2
DOG2::118_2304_tumor,-2.6776373,1.1949803,0.43425778,-3.3229163,-0.17157221,0.3704033,3.3524573,0.06400462,-0.20587274,0.57801825,0.30255273,0.49418005,-0.21872841,DOG2
DOG2::119_0516_tumor,-3.2322083,0.84627676,1.5131482,-0.4430852,-0.0100177815,-2.4123814,1.9906363,0.626139,-0.8420642,-0.068634294,1.0524031,-0.36024708,0.08934167,DOG2
DOG2::11_0602__Tumor,-1.9270252,-0.97772676,-1.3258104,0.9154053,-0.35943615,0.2843935,1.4780762,-0.43412903,-0.8684394,1.1079669,-2.3150175,-0.82150924,0.10383094,DOG2
DOG2::120_2306_tumor,0.89633393,0.1769012,-2.230638,-0.012325033,-0.20514016,-0.66198957,2.571956,-0.118835546,-1.3385394,0.69849354,-1.741814,-0.35065514,0.97062194,DOG2
DOG2::121_2322_tumor,-1.4669415,-1.9952748,3.4509547,-1.1088606,-0.25889397,-0.08968122,-0.63295954,-0.270346,0.5110526,0.6038919,-0.40584108,0.5455533,0.48940948,DOG2
DOG2::122_0504_tumor,-3.2267666,-1.1128035,-1.6731961,2.246466,-0.20969601,2.2723396,2.30215,-0.31456643,1.1868329,1.1505994,-0.19616814,-1.0805328,-0.09238876,DOG2
DOG2::123_2316_tumor,3.1780086,-1.291016,-0.2906153,2.6112537,0.21820201,0.5588178,0.15254006,-0.9284482,-0.37005997,0.59611106,-0.8413857,0.4219157,-0.5998187,DOG2
DOG2::125_2004_tumor,0.07253924,0.98179096,1.341677,-0.11557858,0.5114967,-3.0874147,0.18681677,0.060915142,0.16928072,2.5905576,-0.060235392,-0.31781682,-0.72667503,DOG2
DOG2::126_0228_tumor,-3.6049416,1.2040936,-1.1756065,0.43046346,-0.18897113,0.24321532,-2.7999277,1.2570639,-1.2672808,-1.8007374,-1.1759331,0.5851218,0.30238894,DOG2
DOG2::127_2010_tumor,-2.2772956,-1.4351829,-0.6011117,0.32320994,-0.15161596,-1.6357585,0.2804836,1.3322226,-1.1787412,1.4827284,-0.49551076,-0.46298298,0.551769,DOG2
DOG2::128_1023_tumor,3.9498913,0.5466387,-6.059152,-0.053970493,0.49668887,-1.3834026,-0.7872853,1.0247209,2.452995,-0.15201952,-0.29409933,-0.48992914,0.7082785,DOG2
DOG2::129_1414_tumor,0.6695139,-0.535372,0.70164335,2.1526656,0.0059610712,0.57231337,0.8176914,0.0670325,0.12291683,1.0076754,0.27917257,-1.0256908,0.4559936,DOG2
DOG2::12_0608__Tumor,-4.979654,0.3865574,0.348731,3.5409179,-0.1790294,0.6413347,0.064128414,0.15514104,0.52196246,0.33172795,0.21299203,1.3738904,-0.9572125,DOG2
DOG2::131_2012_tumor,-0.74984646,-0.29076007,2.3190563,-5.656604,0.03371783,0.31222168,-1.0478349,1.4592638,-1.2570212,-1.6295485,-0.43259966,2.2752216,-0.79111844,DOG2
DOG2::132_1025_tumor,-6.727962,2.0639088,-1.7226747,-0.42566946,0.062171318,-1.165439,-1.0675755,0.4771938,0.073034614,0.13999528,-0.63727385,-1.0625863,-1.4091066,DOG2
DOG2::133_0907_tumor,1.8752375,2.4693687,0.35147464,-2.0089068,-0.04239613,-4.421108,-0.6769572,0.9313456,1.5548785,-0.89022565,1.9358146,-0.4300584,1.3747523,DOG2
DOG2::134_2208_tumor,-0.5872076,-0.89233327,-1.2359512,-0.11374522,0.38523376,-0.95439553,2.914186,0.18940645,-0.86592877,2.2877858,-0.7694842,-0.48398617,1.0435592,DOG2
DOG2::135_0102_tumor,-3.0742066,-2.2433522,0.50922394,0.5322284,-0.14241776,3.270016,2.378188,-1.893975,-0.2731219,-0.14851259,1.230346,-0.30815837,0.32986253,DOG2
DOG2::136_0105_tumor,0.7287154,-2.686043,1.4106752,0.8455765,-0.23045374,1.053903,0.36521447,0.651694,-1.4915851,0.11411982,-0.6090338,0.6261112,0.44251403,DOG2
DOG2::137_0106_tumor,3.3490438,-0.61762816,-0.36109623,-4.1104856,0.23994638,0.1211053,0.85970676,1.7953383,-0.2232728,-0.48842275,0.42946476,0.37124014,2.0338314,DOG2
DOG2::138_0314_tumor,-3.1292484,1.4461734,-1.3634834,-5.053076,0.31689838,0.41943464,-0.36555067,0.21017082,-1.1039653,-0.5520025,-1.464568,-0.03626788,1.5986791,DOG2
DOG2::139_0733_tumor,-1.7941618,-1.6363018,-5.5383453,-4.1904683,0.30869445,0.45083687,-0.09061,0.54672426,1.7643327,0.50404423,-0.4417972,-0.8829202,0.008070413,DOG2
DOG2::13_0613__Tumor,-5.190752,-2.664038,-0.8035023,2.9855697,-0.33204585,0.6678307,-0.50313807,-0.44923425,0.8582389,-0.56164604,-1.904358,-2.088309,-0.9580701,DOG2
DOG2::140_0905_tumor,1.4777422,2.9533987,-3.5867352,-2.676785,-0.23318085,-2.9211516,-0.6809032,0.16747539,1.7582859,-1.0110328,0.104421794,-0.29295847,1.471506,DOG2
DOG2::141_1707_tumor,1.6430346,0.22208677,0.8282545,-3.493748,0.17716724,0.82732564,1.5181451,0.81882715,2.1759574,-0.58156115,0.21207605,3.0287135,1.1500859,DOG2
DOG2::142_1710_tumor,-0.30283964,1.216761,0.05848582,1.1334752,-0.25145164,0.7774923,-0.4817674,0.7621929,-0.9983195,-0.22621444,-0.91619074,-0.7400211,1.6650436,DOG2
DOG2::143_1916_tumor,2.3081965,1.9513694,-3.1823354,0.78535837,0.22362697,-1.1548412,-0.17208289,-0.9618618,2.2991803,0.58343667,-0.7483439,-0.9872083,1.7352574,DOG2
DOG2::14_0614__Tumor,7.319817,-2.1835554,-2.282306,0.82273597,0.273517,-0.20296493,-0.7174171,0.21333466,-0.38258594,0.20960368,-0.7555165,-0.83200604,-1.7223171,DOG2
DOG2::15_0615__Tumor,2.8439682,-0.20151882,1.7590944,1.1823758,0.09933134,-0.4251554,-1.0976938,0.07412212,0.011035764,-0.3474055,-0.22419412,1.5519409,0.6131401,DOG2
DOG2::16_0211_tumor,-1.2918408,1.3967998,-0.5168646,-3.2859652,0.08953457,-2.072911,0.37108713,0.16195263,2.959691,2.1266882,1.2705874,-0.60146546,1.083815,DOG2
DOG2::16_0616__Tumor,-0.4712422,2.1160467,-1.5194993,0.23808211,0.120062895,0.45848888,-0.5218117,-0.75275075,-0.11082812,-0.7802143,0.02019962,0.13811377,-0.2825745,DOG2
DOG2::17_0226_tumor,0.4808173,-1.8862728,0.9809247,2.6145916,-0.036419574,1.9086108,0.11635149,0.095565744,-0.7705213,-0.2321523,-1.0460624,1.8271544,-0.025489584,DOG2
DOG2::17_0620__Tumor,0.679203,-0.54696065,-0.54460704,0.5874024,-0.039653797,1.2930871,1.1703259,-0.046720088,0.52112913,0.45173502,-0.4584276,-0.3192951,-0.82249033,DOG2
DOG2::18_0301_tumor,-1.7094047,-1.1305337,-4.6256423,-0.18101464,-0.09851755,1.8961893,-2.9741602,-0.67352396,-0.018184349,-1.8292524,3.067005,-2.6669438,-0.44035217,DOG2
DOG2::19_0303_tumor,-1.8958666,-0.3173598,-2.63768,5.2312093,-0.1929445,-1.5133369,-1.1403874,-0.42726213,0.6062008,-0.19713557,-1.8387868,0.49436632,-0.93030214,DOG2
DOG2::19_0621__Tumor,-1.714376,-0.06933047,1.3190728,1.3100802,-0.07915243,-0.8107754,0.87406623,0.82900715,-0.71555424,-0.40133023,-0.13396487,1.3350146,-2.7633562,DOG2
DOG2::1_0201_tumor,-0.57224995,1.4993412,2.2861414,1.7672324,-0.27839702,-3.8077414,-0.4630756,-0.38443658,-1.1381279,0.5390832,0.053812742,-0.6107697,-2.0462725,DOG2
DOG2::1_0202_tumor,-0.6032473,1.1539024,1.5735198,-2.7413836,-0.2639802,-1.7573688,1.6530695,-0.47865468,2.1804929,0.054006826,-0.4341821,1.2011952,0.4890857,DOG2
DOG2::20_0307_tumor,1.7040008,3.628574,-1.3259119,-3.214968,-0.28814057,-3.5703762,-2.4932885,-0.023021804,2.8583856,-1.1890213,0.23461136,-1.0060796,0.08392087,DOG2
