,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
COMP,-0.013929603,0.34919178,0.010395044,-0.058315612,-0.11416533,-0.1288882,0.0330142,-0.1423772,-0.048110947,-0.02242329,0.00335282,-0.10925768,-0.005272204
CA12,-0.0014292666,0.3320765,-0.18759099,0.005188008,-0.087576956,0.00669767,0.0053016064,-0.039145995,0.121512584,-0.06443832,-0.026576564,-0.18012924,-0.03893593
SLC36A2,-0.06331416,-0.16388303,0.23263505,0.06324572,0.025237745,-0.08594031,0.3187355,-0.108914636,0.10706196,-0.17968458,-0.22887601,0.03426717,-0.01300813
CHAD,-0.0038704944,0.057149354,0.23217656,-0.07014123,0.055240165,-0.037705775,0.20275964,0.036371775,0.07538541,-0.102662876,-0.1451023,0.097644165,0.18156491
FBN2,0.0019436036,0.17047442,0.051494874,0.07494805,0.1434372,-0.096583515,0.12007581,-0.06929468,0.024921848,-0.08133765,0.07867365,0.06408226,-0.29634872
COL11A1,-0.046751503,0.35435548,-0.0017438108,-0.002441624,0.14547272,0.015714409,0.081457525,-0.11550876,-0.07857099,-0.045072604,-0.122368634,0.12687293,-0.03075287
COL22A1,-0.010246636,-0.13424394,0.22106695,-0.0008328585,0.028872637,-0.0059314403,0.3210816,-0.07835758,0.15747087,-0.21423163,-0.12705894,0.00048823934,-0.13406649
MMP9,0.09754115,-0.06741434,0.16945302,0.003461358,-0.026640376,0.3379731,0.22266787,-0.045696463,0.20554733,0.07648986,0.14639042,2.0622478e-05,0.019903691
MFAP4,0.0028286013,0.43159163,-0.066438146,-0.004387219,-0.047408,-0.08883177,-0.043409787,-0.056919623,-0.04853916,0.012910805,0.085115984,0.09377603,-0.005615326
IGFBP5,-0.031777825,0.22516109,0.10263886,0.08001844,0.034725327,0.004079041,0.09330838,-0.015856694,-0.03173508,0.1305211,-0.057770453,-0.032554805,-0.03632508
COL2A1,-0.1116353,0.18886702,0.074927256,0.005519554,0.025987625,-0.0701657,0.220407,-0.011528586,-0.07711397,-0.052117452,0.04095383,0.0035120896,-0.15566704
HAPLN1,-0.071654476,0.33427617,-0.0453786,0.00426303,0.0067984015,-0.00059669564,0.10477389,0.002136312,-0.104952775,0.027563822,-0.12225725,0.047178473,-0.032703735
NGEF,-0.09351857,0.1306204,0.12328911,-0.04197954,0.045810763,-0.06781562,0.1378848,-0.27446476,-0.024838751,-0.24247007,-0.05433478,-0.2148907,0.16915421
NKD2,-0.04407222,0.017840961,0.24105471,-0.07364336,0.077805854,0.09233969,0.024337754,-0.012053408,-0.19326197,0.17150845,-6.4806236e-06,-0.054916907,0.17629164
ANGPTL2,-0.05019521,0.4114342,-0.1033128,0.05634598,-0.06961184,-0.0104460865,0.016117712,-0.06704382,0.01501131,0.090598516,-0.21251577,-7.222712e-05,-0.023272565
SFRP4,0.10275361,0.24525882,0.058615964,-0.09399839,-0.09864058,0.1570779,-0.067284524,0.122676715,0.0036078226,0.060787488,-0.018435273,-0.048916373,0.22176108
C1QB,0.27614006,-0.017690688,-0.029423183,-0.042791143,-0.0064509115,-0.117149346,0.05189327,-0.0013143242,-0.20539188,-0.010879231,-0.18025827,0.032572206,0.022203768
FNDC1,-0.009022569,0.3661907,0.081617445,-0.0520438,0.047083296,0.014842909,0.012034057,-0.009828116,-0.016120106,-0.04914039,-0.17973037,0.12691663,0.12730701
CD84,0.16216932,-0.046985,0.13203138,-0.0014287274,-0.13361344,0.3520627,0.16724113,-0.009657871,0.19745947,0.0012310534,0.14487305,0.11468432,-0.008441339
POSTN,-0.024994101,0.3647875,-0.07608092,-0.0025229447,0.117079616,0.04163996,0.015390711,0.109954976,0.035723284,0.16790861,-0.18580782,0.047154997,-0.020640777
C1S,0.11297611,0.257553,0.0654209,-0.10023336,-0.13480933,0.002593805,-0.1326796,-0.16483311,-0.1034037,-0.0049990565,-0.014393373,-0.08852601,0.17667739
THBS2,0.003890137,0.44448408,-0.0997623,-0.00059535675,-0.013867533,0.040127728,-0.02440809,-0.08968577,0.0848577,-0.011952341,-0.11039913,0.08316948,-0.018573675
FBLN2,0.040218882,0.32924137,0.002878014,0.0031660742,0.009608087,-0.15633866,0.019216927,-0.12360983,0.09856807,-0.06992317,-0.010619197,-0.040443078,0.09833293
CRYAB,-0.01491974,0.008540286,0.13271017,-0.0063910596,-0.007998568,0.08306841,0.13736159,-0.059979267,0.090701886,-0.12964937,0.24126312,-0.24330686,0.16611303
SEMA3B,-0.0802091,0.20265894,0.064829715,-0.0009742273,0.15040213,-0.09029831,0.32311898,-0.11141036,0.08734428,-0.23815152,-0.07037633,-0.0025341962,-0.013328671
CXCL14,0.07185389,0.30973637,0.070763655,-0.09325786,0.012496257,-0.033633865,-0.0062946393,-0.03873997,-0.00485956,0.011672776,-0.064831965,-0.05009867,0.2420603
TGM2,0.21936727,-0.005296844,0.010543333,0.008181884,-0.039582226,-0.09081082,0.023579044,-0.08151053,0.08508396,0.0034633398,0.03171632,-0.17674202,-0.08054544
PI15,0.014170354,0.36273485,-0.029289499,0.018373113,0.044879645,-0.02420035,-0.004148612,0.017603826,0.05876435,-0.07102953,0.03938854,-0.0044066943,0.0678321
DLX3,-0.05230957,-0.26250762,0.3176941,0.048476744,0.033139244,-0.019684425,0.18747684,-0.024519721,0.025197027,-0.13053766,-0.06940665,-0.056797754,0.013381579
IGF2BP2,-0.023619613,5.510332e-05,0.053499088,0.032669406,0.055801183,-0.0035433876,-0.014961352,-0.07352671,-0.059531897,-0.092579946,0.115116686,0.016974665,-0.28969884
APCDD1,-0.058018588,-0.05088128,0.17412767,0.08682224,0.008253071,-0.06863075,0.32219282,0.030282421,0.08666194,-0.08223894,-0.11229772,0.0018803001,-0.23065716
NDN,-0.006067279,0.026524574,0.06334186,0.0006079707,0.018793792,-0.07045712,0.04950924,-0.053953737,-0.10656471,-0.12827383,0.06835941,0.016391994,-0.012762819
SLC13A5,-0.07059143,0.051478595,0.07112861,0.07856608,0.027922833,-0.114802286,0.3589841,0.115705,0.06811741,-0.12532724,-0.17104548,0.11296493,-0.15158847
CD74,0.29405168,0.0051742024,-0.03777024,-0.03858802,-0.00012412418,-0.12926263,-0.0023732663,-0.06090464,-0.17452572,-0.026999526,-0.19031478,-0.024610572,0.0007479488
C1R,0.09463581,0.16918746,0.116481654,-0.100467056,-0.15458909,0.07412103,-0.14932331,-0.17612642,-0.12793337,0.04331454,-0.08216645,-0.14463228,0.2459093
EEF1A2,0.026585575,0.07103793,0.0981504,0.0008721239,0.08639513,0.10668268,0.22252163,0.13300058,0.0013591034,-0.0858159,0.29370698,0.052050762,0.18399191
SLC8A3,-0.11346238,-0.15200941,0.24921016,0.068750635,-0.007209211,-0.060480833,0.22040954,-0.050877605,0.07589227,-0.2095947,-0.19972129,0.06681227,-0.15519263
LAMC3,-0.047122385,0.098688394,0.25752655,-0.09854524,0.008576677,-0.01393791,-0.012811353,-0.05741181,-0.18508181,0.013741351,0.026458966,-0.004348817,-0.0043647257
PRND,0.09803484,0.036503673,0.21218112,0.012161074,0.0746406,-0.17681101,0.05661384,0.00087400194,0.21481514,0.26809496,0.007165289,0.027214723,0.028399672
DCN,-0.0011991205,0.27594087,0.017409565,-0.023850204,-0.073332064,0.107061885,-0.13496207,0.03969524,0.01838707,-0.10193806,-0.23078097,0.007546584,0.37923717
ATP6V0D2,0.11149339,-0.035389088,0.12612623,0.00072983775,-0.015105325,0.3790461,0.2233337,0.09251702,0.21034834,0.045275386,0.13871056,0.08482999,0.077840954
ENO2,-0.019163482,0.15552196,-0.027412346,0.026417993,-0.060681265,0.04552239,-0.021486217,-0.110091165,-0.18145525,-0.09037017,0.14947814,-0.25065792,-0.0819409
SLC29A1,0.017707167,-0.17252848,0.26233748,0.00019167898,-0.02266534,0.077519454,-0.033642486,-0.06658258,0.004617512,0.09857809,0.04005223,-0.18353161,0.102789976
ENPP2,0.056465067,-0.04413478,0.2487771,0.0020575328,-0.014960264,0.123869866,0.067968056,-0.0947608,-0.04069309,0.033461485,-0.15242428,-0.16668732,-0.03375323
PALM,-0.004644451,0.2269198,0.08497996,-0.09294756,-0.006018524,-0.2446204,0.19422565,-0.057674006,-0.14249016,-0.08142671,0.1827802,-0.07880423,0.076630756
CTSK,0.15555449,-0.004652232,0.109727286,0.0005560418,-0.08545144,0.380836,0.14027408,-0.009083452,0.22766523,0.0062807812,0.113557756,0.06925933,0.014302166
MAB21L2,0.009361145,-0.023860052,0.13148917,-0.06100117,-0.009178779,0.027505683,-0.03394557,0.018708805,0.021900136,-0.1902288,0.020244308,-0.02472096,0.11981981
MMP13,0.05224234,-0.041575324,0.15378344,-0.00059773016,-0.004830412,0.17970651,0.204145,0.16746837,0.09938354,0.1242811,0.026391331,0.018335689,-0.12223811
STC2,-0.015325476,-0.019764572,0.019956177,-0.0047263023,0.09154215,0.027883943,-0.12839894,-0.14925562,-0.000604076,-0.11707476,-0.02726355,-0.2934064,-0.10448545
MXRA5,0.045995153,0.32721004,0.004810262,-0.003330409,0.001912255,0.11445608,-0.19306606,-0.22326481,0.007846357,0.004827292,-0.18824826,-0.049110603,0.112903334
KAZALD1,-0.123227686,-0.050199512,0.15853243,0.014051055,-0.024763219,-0.15480205,0.2244917,-0.12910964,-0.017331937,-0.16009912,-0.1242576,-0.0028761148,0.0015959468
ROR2,-0.048741333,0.3892677,-0.1253047,0.103926316,0.03719733,-0.005686254,0.043355368,-0.061932772,-0.13782036,-0.0027879253,-0.030919034,0.16693088,-0.11196537
BAIAP2L2,-0.09508495,-0.060520656,0.14743896,-0.0014044256,-5.063306e-05,-0.053230155,0.23987113,0.005422595,-0.06586482,-0.034794457,-0.040397577,-0.14308804,-0.046602372
TNFRSF19,-0.035365812,0.17503458,0.09665625,0.09673304,-0.06304968,0.094168425,0.04030277,0.057568476,-0.110154405,0.09619193,-0.08840264,0.26623732,-0.16601545
RCOR2,-0.13791665,-0.067743994,0.08906133,0.14557792,-0.05131821,-0.10645458,0.36962345,-0.13357471,0.052455187,-0.16714628,-0.20203243,-0.0039991937,-0.054968107
LUM,-0.0028868502,0.2628041,0.03299753,-0.069263645,-0.018883055,0.16711077,-0.1385584,0.0040408703,0.038312722,-0.09794072,-0.28241318,-0.0024126144,0.33131373
SERPINA1,0.23034786,-0.000544553,-0.16185768,-0.0015576495,-0.006460721,-0.012579394,0.014859729,0.31413853,-0.0882605,-0.0010443792,-0.16295788,-0.26369867,-0.13826154
EFEMP1,0.016494753,0.31322983,-0.015501878,0.005977118,-0.043962494,-0.0784917,0.017985998,-0.006287387,0.028687406,-0.14651431,0.056879036,-0.0039996253,0.05849332
OMD,-0.095613465,0.04089648,0.21730086,0.0016392681,-0.023054466,0.07763617,0.17066653,-0.031847913,0.022665817,-0.056285627,-0.26964307,0.116459094,0.14007533
NCAM1,-0.09248226,-0.08808064,0.27146804,0.04212522,-0.012220134,0.02769338,0.038736533,0.1652564,0.0047557163,-0.1477361,-0.013122129,0.14033438,-0.044348236
SPON1,-0.08391101,0.27726477,0.0607184,-0.0029304149,-0.044364017,-0.012573808,0.03786102,-0.08392504,-0.06441117,0.031177413,-0.16750543,0.042720772,-0.04298819
CXCL12,0.15313886,0.19167757,0.073844306,-0.0377704,-0.09688469,-0.08861366,-0.062595084,0.03899271,0.00054815377,0.05990381,0.064680316,0.1701587,-0.009308744
GPRC5C,-0.095539525,0.00062859146,0.18940498,0.016948637,-0.104170896,-0.020855192,0.3309623,-0.062730156,0.07825011,-0.047689058,-0.23981538,0.019797739,-0.009473383
MYOM1,0.008904988,-1.8914936e-05,0.15500985,-0.0023364413,-0.051691905,-0.15691401,-0.03055443,0.10495949,0.07684408,-0.11003688,0.15350135,0.1737641,-0.03398554
PRSS23,0.075952835,0.25703397,-0.015214674,-0.034811076,0.10494899,0.046317965,-0.13946603,-0.058464114,0.07174966,0.17189154,-0.10742981,-0.1154977,0.17975898
SCARA5,0.041326948,0.22142719,0.11473149,0.0024718025,0.0063561043,-0.0020131962,0.09516014,-0.07255929,0.106814615,-0.024171352,0.014325103,-0.04530552,0.13563296
ABI3BP,0.06395095,0.3762371,0.014513095,-0.00059313385,-0.011123601,-0.14952682,-0.0030900002,-0.030756408,0.052373324,-0.10013649,0.017293574,0.011061358,0.0026268703
RHPN2,-0.108222894,-0.053920604,0.14578083,0.024400327,-0.016027223,-0.1425742,0.1751903,0.0364185,-0.16090384,-0.09111377,0.0032415944,0.0062597874,-0.2701673
BMP4,-0.03882458,-0.2626395,0.21586347,0.040011395,-0.004290195,0.015685966,0.09631387,-0.003323969,-0.11727651,-0.027157895,-0.15541646,-0.17745495,0.02206485
OAS2,0.18937945,-0.04866493,0.043434314,0.00900968,-0.033707608,-0.0021602742,-0.0590599,-0.2647097,-0.12876152,0.031897247,-0.11757033,-0.17987211,0.26712883
GLDN,0.047913555,-0.068037346,0.29477945,-0.020679383,-0.04746887,0.07845376,-0.045487702,-0.1023373,-0.031617697,0.06630668,-0.07570498,-0.06335342,0.20435473
DKK1,-0.0052305483,-0.047559146,0.14304549,-0.004210273,0.10458804,-0.11993821,0.19224697,0.027467238,0.015230906,-0.20058872,0.061083365,0.007633933,-0.04867131
ASPN,-0.046650365,0.41722462,-0.054841064,0.0017131006,0.07565406,0.04962388,0.027657019,0.0012817553,0.00036809972,0.05994738,-0.22003324,0.14414732,0.022855924
