,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,group
DOG2::100_0514_tumor,-0.4379748,-0.123914175,-0.6960089,2.0755146,-0.9615777,1.7493895,1.8902726,DOG2
DOG2::101_0518_tumor,3.5120504,1.6117561,-2.429912,1.187507,-0.73785937,0.22501493,1.6166029,DOG2
DOG2::102_0619_tumor,4.5594187,1.9135482,-2.7405195,-1.42371,0.9234177,0.41176477,0.10184375,DOG2
DOG2::103_0639_tumor,0.20947666,-1.9900076,0.95319825,-2.009266,-1.5188961,0.10127583,-1.4360635,DOG2
DOG2::104_0702_tumor,0.6394867,-0.51832557,1.0820073,1.2153074,-2.1332273,-0.4252397,1.4487225,DOG2
DOG2::105_0710_tumor,-0.21221879,-0.64934814,-0.006991803,-1.4782969,0.17957786,1.8025489,-0.2810052,DOG2
DOG2::106_0716_tumor,-3.574162,2.2759168,1.4837953,0.38314268,-2.0528226,1.0398035,-1.6177671,DOG2
DOG2::107_0719_tumor,-4.198415,-1.5552707,-0.64735496,2.1261408,0.50659126,0.1847197,1.8251022,DOG2
DOG2::108_0720_tumor,-1.8522631,-3.3200831,-1.1580812,0.601775,-0.48482513,-1.817492,0.46453053,DOG2
DOG2::109_0721_tumor,1.3586228,-2.6520643,1.8918958,0.64553165,-1.1113672,-1.0713427,0.32861662,DOG2
DOG2::10_0512__Tumor,-0.26307845,0.91384405,0.4013759,1.5865932,1.1894007,-0.3737534,4.2443266,DOG2
DOG2::110_0522_tumor,2.6418712,-1.8423457,-2.4980395,1.5350566,-0.26622155,1.9531411,-0.721419,DOG2
DOG2::111_1708_tumor,-1.6019737,4.0221195,-0.2452464,0.4703044,1.1348195,1.4025378,-1.3798935,DOG2
DOG2::112_0502_tumor,0.32551786,-2.3895319,-0.67327267,-3.8439121,-0.2857726,1.7132523,1.0271257,DOG2
DOG2::113_1010_tumor,-0.25087747,-1.8940383,-3.2380724,0.54320484,-2.1821537,-2.6778467,-2.967145,DOG2
DOG2::114_1704_tumor,2.5130336,4.6574554,-0.6686617,-0.7006913,0.7419,-0.15368992,0.7395816,DOG2
DOG2::115_2318_tumor,-0.6306672,-2.4113219,2.6193504,1.1188375,0.30251214,-2.8826082,0.64185935,DOG2
DOG2::116_0506_tumor,-0.47739968,1.4821885,-1.2250345,-0.86572886,-2.2600336,0.3856233,-0.52196753,DOG2
DOG2::117_1011_tumor,-5.1047363,-2.4380186,-1.1939591,4.411169,1.4576422,1.7587076,0.696477,DOG2
DOG2::118_2304_tumor,-2.5557232,-0.42859977,-0.06227973,-2.9378357,-0.24430434,3.3784723,0.55397016,DOG2
DOG2::119_0516_tumor,-3.3378842,0.64645326,0.9100206,0.03976301,2.1101036,1.9530345,-0.18605775,DOG2
DOG2::11_0602__Tumor,-2.0523446,-0.7660201,-1.5387007,0.9969727,0.2653026,0.62153786,-1.1405268,DOG2
DOG2::120_2306_tumor,0.78048813,0.20203623,-2.2496974,-0.60382235,0.54869896,1.6356865,-1.6652155,DOG2
DOG2::121_2322_tumor,-1.9019411,-2.6228788,3.1274831,-0.7517317,1.0551963,-0.8804095,0.5916218,DOG2
DOG2::122_0504_tumor,-2.8802447,-2.2390313,-2.8759294,2.1427565,-1.1944205,1.0500429,1.7569666,DOG2
DOG2::123_2316_tumor,2.9377146,-1.6702296,-0.5437399,2.3925886,0.20037861,-0.1976779,-0.6035846,DOG2
DOG2::125_2004_tumor,0.15857826,2.034956,1.1028892,0.41309914,3.473379,0.3582105,0.95999384,DOG2
DOG2::126_0228_tumor,-3.4501958,3.1972673,0.18173999,0.6867013,-1.8770633,-1.2511262,-2.0923002,DOG2
DOG2::127_2010_tumor,-2.6014628,-0.480478,-0.8759297,0.46766686,1.923176,-0.3992679,-1.0638841,DOG2
DOG2::128_1023_tumor,4.4349194,2.6735458,-5.763071,-1.645737,0.7642202,-1.3292226,0.8225438,DOG2
DOG2::129_1414_tumor,0.67048836,-1.3006922,-0.00033790624,2.0630312,0.20404637,-9.9432444e-05,0.87883794,DOG2
DOG2::12_0608__Tumor,-4.585492,0.2138694,-0.2156662,4.0054407,-0.48227975,0.9482585,1.066273,DOG2
DOG2::131_2012_tumor,-1.399213,-0.7050893,3.3137636,-4.8519816,-0.7966631,0.729499,-2.0217018,DOG2
DOG2::132_1025_tumor,-6.1395907,4.4246316,-1.219477,0.65046144,0.14126132,-0.047646124,0.20871997,DOG2
DOG2::133_0907_tumor,2.2373228,4.023837,0.56473625,-2.7199605,3.133418,-0.32954916,1.2007891,DOG2
