,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
COMP,-0.00024554032,0.2566394,0.061719377,-0.06455212,0.013349243,0.14474064,0.002405709
CA12,0.031521764,0.25150946,-0.14764924,0.00017900507,-0.10245924,0.088831656,0.0952757
SLC36A2,-0.082415886,-0.18508954,0.14656968,0.03584445,0.16490008,0.26591083,-0.012090837
CHAD,-0.022402009,-0.036382716,0.21350686,-0.110793486,0.0621026,0.22021994,0.016668972
FBN2,0.012701219,0.08841155,0.033005517,0.11396698,0.08087518,0.25495037,0.019932954
COL11A1,-0.037594486,0.21823579,0.06350419,-0.0006286928,-0.11521131,0.24289477,-0.039642353
COL22A1,-0.031895515,-0.20555803,0.13793676,-0.00041144213,0.10667053,0.30043846,0.038450718
MMP9,0.10314425,-0.24583647,0.085971825,0.007716466,-0.19711691,0.1491969,0.31725875
MFAP4,0.029235687,0.31942707,0.0019515657,-0.00934415,-0.03903401,0.13098791,0.0101184305
IGFBP5,-0.0076799397,0.121996924,0.10675299,0.1066576,-0.012193791,0.16996883,0.072179615
COL2A1,-0.102812134,0.0906733,0.058804076,0.042332176,0.033589687,0.30575478,-0.0060376963
HAPLN1,-0.0541722,0.2237065,0.00386176,0.010777303,-0.08516853,0.2484377,-0.03965371
NGEF,-0.10558984,0.059068512,0.13935712,-0.066500194,0.0032549847,0.07638009,-0.02202022
NKD2,-0.059538167,-0.03633277,0.2599323,-0.035534475,-0.076020546,-0.015001709,0.0010081917
ANGPTL2,-0.006553533,0.30941406,-0.0407336,0.048000727,-0.081363894,0.1815509,0.027821783
SFRP4,0.11601382,0.1127903,0.11609807,-0.10873304,-0.19778807,-0.0041637076,0.087373376
C1QB,0.25613374,-0.00012443248,0.012310899,-0.05828821,0.08595896,0.039469704,-0.2963375
FNDC1,-0.0022217191,0.22215699,0.152548,-0.07786955,-0.10948394,0.18427698,-0.0024555514
CD84,0.17427929,-0.2279638,0.07377635,-0.0035239712,-0.23376915,0.16162546,0.25608394
POSTN,-0.0032830557,0.25310004,-0.017328518,0.0012714955,-0.093738884,0.17393471,0.09053818
C1S,0.120558955,0.17792952,0.14703658,-0.114565454,-0.09601709,-0.07461134,-0.025923051
THBS2,0.04330044,0.3044716,-0.023641806,-0.0070902705,-0.14418545,0.17102638,0.08100073
FBLN2,0.076558165,0.25354868,0.03510537,-0.021433925,0.048849255,0.08676611,0.07551494
CRYAB,-0.010691686,-0.07938859,0.087379724,-0.032661576,-0.05318485,0.013794789,0.15954202
SEMA3B,-0.078482404,0.08280631,0.040519472,-0.017555397,0.043599665,0.35992128,0.011057113
CXCL14,0.07486079,0.19472386,0.13615778,-0.12663457,-0.024523484,0.031046662,0.028444951
TGM2,0.22445804,-0.014198326,-0.007769434,0.013682595,0.11707485,-0.016292617,0.032293957
PI15,0.047626045,0.2365145,0.013350688,0.0036109465,-0.05542134,0.10906732,0.07599555
DLX3,-0.0790265,-0.25760657,0.22686826,0.05661925,0.13185135,0.089267395,-0.002607018
IGF2BP2,-0.016256968,-0.0075683882,0.037802644,0.106926434,0.004378545,0.059365135,-0.022908365
APCDD1,-0.05662968,-0.10398525,0.08576171,0.10771507,0.13836195,0.36303732,0.025189206
NDN,-0.009559811,0.008509688,0.067472965,0.003562909,0.027352866,0.0797808,-0.104450226
SLC13A5,-0.06716518,-0.007526898,0.005110436,0.067885034,0.13785754,0.43061346,-0.022601927
CD74,0.27508506,0.033064093,0.010898095,-0.042827826,0.09606491,-0.009888539,-0.27773756
C1R,0.096798494,0.10962039,0.1919179,-0.11062329,-0.14270712,-0.14485805,-0.026336888
EEF1A2,0.051860616,-0.10199014,0.05163471,-0.029084427,-0.107139975,0.19064839,0.13570987
SLC8A3,-0.12310098,-0.15566538,0.17548025,0.07060342,0.12858135,0.2526443,-0.030792065
LAMC3,-0.061668407,0.030230112,0.28896838,-0.05106844,-0.0016135022,0.051022418,-0.044320762
PRND,0.100714564,0.0046963077,0.15569577,0.011120664,0.2650984,0.044689283,0.2599782
DCN,0.003033526,0.18894164,0.11028524,-0.102941096,-0.204343,-0.04740945,-0.0078221215
ATP6V0D2,0.125101,-0.23244229,0.056180947,-0.002004128,-0.25514898,0.17867593,0.3074482
ENO2,-0.0020569623,0.1024892,0.0018129521,0.0780087,-0.1225394,0.0010876992,-0.058446337
SLC29A1,0.002763255,-0.17309143,0.22216113,0.011742156,0.0038827474,-0.15159379,0.10268989
ENPP2,0.04849862,-0.10358681,0.23239784,0.04130841,-0.058106367,0.041493732,0.0066487445
PALM,-0.006638507,0.14414099,0.09693077,-0.09903184,0.15926269,0.19591466,-0.051649597
CTSK,0.16991264,-0.19357021,0.058328554,-0.00035835116,-0.2704717,0.1252158,0.28536874
MAB21L2,0.00062601693,-0.054533493,0.13448891,-0.084184304,-0.03524846,-0.03937947,-0.008816423
MMP13,0.0502187,-0.15749504,0.08375365,0.018906774,-0.06324491,0.2136145,0.18254611
STC2,-0.022679703,0.009175831,0.044110116,0.015421758,-0.03351477,-0.14879726,-0.011083314
MXRA5,0.06377898,0.23554505,0.10963129,-0.0075831385,-0.2062638,-0.08562414,0.02125505
KAZALD1,-0.13541187,-0.05413665,0.11437575,0.0044735796,0.15895939,0.20557399,-0.08329897
ROR2,-0.006234441,0.26439774,-0.06137095,0.11510901,-0.105336584,0.24866644,-0.07880215
BAIAP2L2,-0.10762703,-0.08238425,0.09665627,0.005381165,0.088515565,0.1982783,-0.028496092
TNFRSF19,-0.00910166,0.07215115,0.10700874,0.13316402,-0.106121235,0.23512815,-0.0143769495
RCOR2,-0.13219349,-0.09160072,0.0019607795,0.11508043,0.13531432,0.32934314,-0.04802039
LUM,-0.0006989514,0.17453016,0.12643242,-0.1244954,-0.2515995,-0.054649767,-0.0010432197
SERPINA1,0.2250031,0.023624301,-0.13505158,0.0071917563,0.015114787,0.016257044,-0.17673258
EFEMP1,0.051900964,0.21012649,0.016561491,-0.005981588,-0.014991643,0.1254296,0.01315713
OMD,-0.09972396,-0.036309894,0.2035118,-0.008730474,-0.055750974,0.20215163,0.00014309242
NCAM1,-0.09800157,-0.12544665,0.22547828,0.060584795,0.005217571,0.13696472,-0.003672119
SPON1,-0.06608792,0.19543466,0.107736126,0.0006778674,-0.040584866,0.18983401,-0.011339668
CXCL12,0.16552283,0.12221784,0.101919666,-0.04949715,0.051049605,0.059099782,0.011342114
GPRC5C,-0.09621444,-0.06889876,0.12614158,0.0057586622,0.07439504,0.33220688,0.018804412
MYOM1,0.010390028,-0.0066553582,0.12642281,-0.009406253,0.15976354,0.048219867,0.022205545
PRSS23,0.08418362,0.19230571,0.051899604,-0.048274487,-0.08847946,-0.11749601,0.13845618
SCARA5,0.062128723,0.08993216,0.11812172,-0.006835664,-0.008730073,0.11303258,0.14314598
ABI3BP,0.08844457,0.26546192,0.064362265,-0.013743455,0.04750666,0.14777602,0.02839093
RHPN2,-0.11434737,-0.043915175,0.10326443,0.08874954,0.1458067,0.24099416,-0.14440155
BMP4,-0.061274238,-0.2023654,0.1677579,0.06343705,0.0495783,-0.018524712,-0.1224651
OAS2,0.17983359,-0.030260142,0.07444828,-0.004533276,-0.0003926502,-0.21031226,-0.11597966
GLDN,0.02807628,-0.10317974,0.29233068,-0.026622117,-0.02145891,-0.11391737,0.029797953
DKK1,-0.029119097,-0.09048071,0.10036377,-0.0018390389,0.1495611,0.18763433,-0.023106113
ASPN,-0.016313724,0.28104445,0.021439,-0.00031127266,-0.1397835,0.22101004,0.01753111
RARRES2,0.10823741,0.2094437,-0.042066313,-0.053323697,0.046134673,0.11878894,0.014005158
TFAP2A,-0.044852186,0.013672599,0.04633621,0.094734505,0.026583033,0.111336954,-0.086319655
COL3A1,-0.00626062,0.31162414,-0.006689918,0.0035252105,-0.08589905,0.15561567,0.14697933
SPP1,0.14101848,-0.21872318,0.029328903,-0.0214402,-0.11198925,0.28067374,0.14004548
ESM1,-0.006651956,-0.05840152,-0.003200656,0.078960724,0.094141334,-0.066069864,0.05149967
BIRC3,0.21244854,-0.16411394,-0.023127377,0.012779592,-0.11666314,-0.013793954,0.1632545
TCIRG1,0.17142612,-0.2323741,0.03337646,-0.0011017396,-0.22088523,0.1910324,0.28466767
OAS1,0.1653011,-0.06252764,0.069463976,0.00027392717,-0.017624471,-0.15564375,-0.20040226
CD248,0.04396364,0.19519654,0.011184135,0.013352954,-0.045414895,0.2912019,0.09147918
TNC,-0.0042785928,0.061790835,0.17578183,0.09051964,-0.1466064,0.02484661,0.009380578
COL5A3,0.053204738,0.08408133,0.118168406,0.0061976844,0.110252514,-0.0013898745,0.2460108
APOC1,0.23859954,-0.047287107,-0.09614706,0.0022239424,0.013636924,0.080349036,-0.19981486
