,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
COMP,0.011514558147468004,0.05480083938009861,0.024612859037008186,-0.00395656452016453,-0.005946772106391704,-0.014709273494277758,0.02715937266547341,-0.0019760016360866623,-0.0031254458324151326,0.040544491964530846,-0.015216825034656621,-0.019249583434557863,0.0040429303273043895,-0.019943446883771608,0.010239057457113503,0.029596322447637116
CA12,0.015846627961201714,0.058202410766149966,-0.011182253833905718,0.014221667874582084,0.028059793854234974,0.031267401932660546,0.021383488820708535,-0.01263032440335157,-0.0026669394244109267,0.0366086522956479,-0.02399117739591908,-0.014868140133578681,-0.0001284084355296694,0.004127578637043771,0.033934729815891025,-0.00668617323108104
SLC36A2,-0.03137892065065072,-0.04127529110087287,0.030732213995571054,-0.0022380105287721787,-0.036166108938503055,0.029421558819424664,0.03940709412357833,-0.03777802563898857,-0.05964737492788051,0.006541522260350778,-0.008042346336032588,-0.008688623157875868,0.008609194512203894,-0.008200701558283972,0.047741688238018325,0.009521160754264036
CHAD,-0.001109039966090181,-0.009906313256187169,0.04403324919177701,-0.03755985406523164,-0.023038088617698432,0.008589872409423879,0.037719686616346476,-0.03390766918900286,-0.025795496083937882,-0.0018759194829517942,0.01777038768423065,0.010858306721836672,0.024348849063224647,0.008929001824918334,-0.010613559185711245,-0.002488886301124581
FBN2,-0.007389128325789387,0.015086586926933609,0.023275547957563546,0.042657209007549525,-0.027599956864877623,0.022459112367842263,0.020572811684669286,-0.028652972816173666,0.02517449828555599,-0.02282557551389078,-0.014846344444383514,-0.046229872798239036,-0.022450849641816616,-0.029871629504980155,-0.021667519874677563,-0.017660406170634795
COL11A1,-0.005939306764069053,0.04818513314701568,0.024094446065680425,0.004615137667656906,0.020100167788167693,-0.0073411674141685606,0.03612668658646774,-0.04829861717595186,-0.006879610346769543,-0.023615713236981327,0.012702012391557235,-0.041201137730535554,0.012518529247636098,-0.01684519871421226,-0.004831838020296077,0.055373750690223995
COL22A1,-0.017835642190200285,-0.04508787632161019,0.030666014967079522,-0.00887220134797003,-0.02950862702884466,0.037911199712212254,0.05227679490226173,-0.04160933494733006,-0.01748067019420146,0.004436014979051981,-0.019729200463790012,-0.000643155261419455,-0.02502856287343097,-0.013869061016171485,0.04618793423156844,0.03553993547015918
MMP9,0.014440137976429127,-0.05794297192840902,0.02176414433553862,-0.010016771059825267,0.046847312959057204,0.052264283116492345,0.04387975366793591,0.012503474822782783,0.025409590381854915,0.004865175033132368,-0.015731854544603224,-0.01918847823535207,0.006925164486322455,0.012624117200776972,-0.02662361482980307,-0.0011627327050301
MFAP4,0.018620873852810176,0.06659288327747716,0.019804969641791736,0.01321436054104436,0.002140299353761913,-0.011695874937876893,0.016474665593084668,0.004144275842672586,0.011532171403213023,-0.0046726655689971,-0.023811897974416525,-0.022930764308730797,0.021021117333673206,0.008981357404683312,0.036721822672662524,0.009612749299872372
IGFBP5,-0.00878315925331488,0.022609058593682178,0.03780175199554051,0.027309017623114204,0.013427293075484063,0.006545682219405969,0.026759973595679134,0.017300711674055898,-0.019076825136369217,0.0046111250641584275,0.029581028015180956,-0.019157326674040367,0.004531363026841133,0.012246547904380718,0.010085821332400883,-0.07961762761100716
COL2A1,-0.02823698108201218,0.02313405883167886,0.025452674875777685,0.015187349095348367,-0.017666324141345474,-0.0023101800702151135,0.039918937807283304,-0.018616464597975887,0.027736436936024685,0.017767402438204953,0.0030387519545839285,-0.014668381797028743,0.030190335941755533,-0.03718330419902149,0.011587899579907017,0.0210390121156616
HAPLN1,-0.010813892857018744,0.051743625065744335,0.014261808872753315,0.014163883960847248,0.01401378123487727,-0.018543342425799393,0.04340825810562358,-0.025277656134408813,-0.008589503079385987,-0.0024581061414977907,0.01904752976292299,-0.01118400135226992,0.017649482917120395,-0.017757888002553235,-0.05521011228375476,0.019610766967404984
NGEF,-0.015576028030342404,0.016264417603854584,0.027598581211128306,-0.03110555418467022,-0.006538474287869434,0.0025515136791138173,0.008424888161494995,-0.056989951350005064,-0.02298589393410892,0.07782659930522672,0.012407560341471514,-0.04278700145875356,-0.00035364356338747627,-0.05068369718753323,-0.03176338056439289,0.008927339964480061
NKD2,-0.010533075820212887,-0.011647816043813167,0.04658235859853077,-0.027930653072075196,0.024023021273990742,-0.03782985655553651,0.00474235513586716,0.02191676082969775,0.0008158872652327814,0.01583333959659606,0.05758390276855321,-0.03328675302259258,0.031198247511032805,0.004394140993700524,-0.0006900838818252025,-0.007024720041504598
ANGPTL2,0.0018558017685034332,0.06840751539118417,0.0113714793014893,0.02025153113479009,0.03009243865046141,0.006089109761415692,0.0381654896493462,0.0007464526580431776,-0.039966097979663065,0.0014150029393713093,-0.0010050443650566707,-0.0016012872154711547,0.00795941241819097,-0.00495001882834047,0.01179788573156602,0.014814702634468893
SFRP4,0.03847007147409943,0.018108083068946266,0.02559827576545096,-0.02745659919924667,0.04340720363291821,-0.010956170100040156,0.015951538644942028,0.004632381449058832,0.010028912405535412,0.00823887815322742,0.0053673482069592285,0.025107795863757512,-0.0004050683623987464,0.0497169362232185,-0.005034591046852761,0.002177141780346524
C1QB,0.05238170804474171,-0.0123847891607619,-0.00852980299792528,0.016998929728483207,-0.023668158368320105,-0.05329253064116355,0.018579390725811523,-0.022799458786038437,-0.0388046033209698,-0.012369588255793686,0.008038464987880292,-0.0038781497981741934,-0.01621443582798357,0.00696414701004065,0.013405724474067161,0.004173554280726905
FNDC1,0.007838505934509406,0.042515911618989044,0.03916468115548353,-0.02182205935409118,0.01453933247368566,-0.0052237217100571725,0.03214991915149957,-0.04620873529797063,-0.022164253911112947,-0.01753347280261982,0.011909526478119823,0.007130927164771559,-0.004357775924439863,0.00953837894438224,-0.03770402274575358,0.02315198792165702
CD84,0.031684947097089806,-0.05782819408093279,0.015645308203042968,-0.007535322506290813,0.04648379719251397,0.03552356610293968,0.04900663981133981,0.0034563972742305974,0.03410170932866261,-0.01483578293288863,-0.029353956110073638,0.020184471361076053,0.00214144500433417,0.01138595575993339,-0.02300036971509892,-0.006823200920223125
POSTN,0.006146466254139827,0.056310311180235356,0.013091666223004315,0.00838033395842912,0.028391944033179482,0.016144115013184725,0.03069591292923967,0.0076185176616661715,-0.006951203193910151,-0.04193673354971775,0.028019162406112283,0.0024363821164207797,-0.021024369539506288,0.01837628120455815,-0.00027547292994072655,-0.012442244645089943
C1S,0.0414679896888751,0.029749952767453947,0.026911065962899588,-0.022221967992130633,0.020933914165817625,-0.037832975213141384,-9.6116711185015e-05,0.005346625476170748,-0.015831832575798982,0.025643681999556887,-0.021952631345848742,-0.002225860118582246,-0.011614611796643422,0.004881525544498828,0.014224692652668245,0.009407528125975591
THBS2,0.018153168624469532,0.06464636235413829,0.01423770255879546,0.004848146287787851,0.031796051504439704,0.017587866239553163,0.02792917980298744,-0.024384072967211682,-0.010606767436273251,-0.017157920299422133,-0.029133760931120294,-0.004864282794276819,-0.002976108189453123,-0.01341494660946806,-0.011018308255620427,0.041115164066345154
FBLN2,0.0195845897839648,0.040738481981208885,0.02365630678078957,9.269389004252886e-05,-0.024393302988186295,0.023900096553378065,0.014646633737484661,-0.031882022422450945,-0.03161775450720176,0.03541257434780052,-0.0021242678037305803,-0.014472911803853879,-0.001041500939182551,-0.00048197784138655437,-0.03050752304610757,-0.0013903490969904182
CRYAB,-0.0018124311023876454,-0.01606974146788909,0.02342487488204754,-0.02196541087147853,0.0019435122431024241,0.02380861163262336,-0.0013405098012675316,-0.017555806810409493,0.030882867331173472,0.07953934774213517,-0.007558774301139115,-0.041543357348425486,0.054602803802346056,0.0188274638426707,0.03303571919313099,0.050732215454948125
SEMA3B,-0.01928079403830871,0.01964277281937684,0.02271787895512937,-0.0039621864042468265,-0.027780474510019304,0.03510916680237817,0.050621053557886736,-0.06670467278121851,-0.005641367217590436,0.01993936323655177,0.0013958791696571417,-0.034665880589142356,-0.0040665114184535705,-0.018714826898040927,0.0087375540937555,0.029832417189869863
CXCL14,0.030571490399460277,0.036729882108896196,0.03239148439472758,-0.02773853185467913,0.006612870551742588,-0.011353135887831725,0.016941566979991274,-0.01480012173709023,-0.01826140451549251,0.026521285168094565,0.03835361670665614,-0.0037220259270580505,0.035029429689294504,-0.012216212430393376,-0.006199911428679152,-0.028385863771792127
TGM2,0.04718401891222672,-0.015523239168962477,0.003478115775231255,0.026212800220955068,-0.01676411050905186,0.01966628962813955,0.004013005183452333,0.013063946582531134,-0.011849240103455574,0.02646845590119787,-0.011642965891908351,-0.007637061063606168,-0.021056768890527065,0.006811116131027807,0.04099505105097785,0.00357349383132845
PI15,0.014996675913003575,0.0498820145885644,0.02072775112764501,0.01287197276687672,0.009892480637530959,0.018146349166114496,0.009399272502479522,-0.029930348375649885,0.009146043354631643,0.012946491320981884,0.011630094998555371,-0.014116812072039001,0.05324936255222161,0.004628909187036138,0.004671488468947679,-0.016191425726562465
DLX3,-0.029899874467740582,-0.060147877178532164,0.0411134514058379,-0.008988759269741567,-0.026831964500161336,0.012088343005452768,0.008005159164835154,-0.022375720290839736,-0.024534956551391547,0.02215578619502049,0.013476550016406416,0.007675128608412362,-0.004026039622922602,-0.00763910035992397,0.006602736518308523,0.00021682512726090356
IGF2BP2,-0.015372901909063307,-0.004565037587347041,0.013277951335423241,0.03039982212543482,-0.00463590291795892,-0.0009053621338811742,-0.008574560747581842,-0.01616449794413638,0.035148668108793475,-0.014679222176949214,-0.03391487601795662,-0.03436945631989317,-0.022159876347015186,-0.02631810869530721,0.002421722628037919,0.02549319571651952
APCDD1,-0.030144876010190273,-0.025269974115211688,0.02862057375949827,0.026868683559061433,-0.03273249728013296,0.031128741469892186,0.051194142800243196,-0.01878187727780919,-0.014046181556324542,-0.0018227886562422278,-0.008430336250601498,0.0008353129269046446,-0.03648376836451691,-0.002109999454451288,-0.009535227826504278,-0.025765933694167183
NDN,-0.006298225907977199,0.0006349598345524539,0.012970005616330205,0.005203419983737091,-0.020810571590373066,-0.02038278922157407,0.0006213431299127584,-0.032355552945298585,0.012715536173980519,0.00418582551521398,-0.018028031866774156,-0.0363406864439104,-0.020698334609564436,0.018633109050401282,-0.0223877462188942,-0.0067500066692191
SLC13A5,-0.027794139274716197,0.000468080554083691,0.016442874569145612,0.024642539571136567,-0.037553794181700025,0.02470384266402304,0.06572373832386434,-0.038126014000388876,-0.01858117763846645,-0.01933159773847451,0.0021553271322347993,0.020044270550856287,0.01047768591857234,0.008313421881082398,0.024869720437559906,0.02057036628840578
CD74,0.058852337561194755,-0.007468764597111545,-0.008957029615276753,0.02177917468628755,-0.021092881009819653,-0.04453781380362867,0.008818630959884872,-0.02518639478290818,-0.040223862817077474,-0.0026077684710597115,0.01774588736348389,0.010616822945461587,-0.019530540879674665,-0.01178978470907901,0.009730605645917476,0.010200000014460328
C1R,0.03526213444794257,0.013759836264763741,0.03017263601110528,-0.03308003808057757,0.036784400452911294,-0.042130993743408646,-0.004993622589302958,0.012918712291061209,-0.03298639694431364,0.03236865470470588,-0.0054299488202997764,0.0014894703492417047,-0.017673318632725355,0.014745632898069011,0.014319716474696795,0.01560568991956408
EEF1A2,0.0030119204413910187,-0.014185745046607053,0.018130310448769837,-0.0030827229454247216,-0.0031182649522295074,0.00349896753326988,0.015137224146696042,-0.02324896460659718,0.07171034774085733,0.030098593307660366,0.01770888738137449,-0.03402132526066112,0.10987910175402921,0.019970839537681383,0.042084273714599975,-0.0013371557294079893
SLC8A3,-0.04253880469945235,-0.034650532100844345,0.036284358443896526,0.0016104527630097687,-0.0300840836538624,0.01771370760885623,0.030681919423047533,-0.03624093349710915,-0.0372118118986909,0.0005452072787135768,-0.02644755856009337,0.013481057475621328,-0.008030702077494333,-0.019343286415325112,0.0350527255022768,0.010157002748033479
LAMC3,-0.01108157695527012,-0.001060001738899103,0.05237551389167107,-0.018224340868478968,-0.004711138738683149,-0.04100853247695018,0.004545395925808559,-0.0014685990669350815,0.015852129516068594,0.020113875863082952,0.01115471099277906,-0.028353370512716972,-0.014220557843104352,-0.012172694034689789,-0.040160253543721644,-0.01741535498607103
PRND,0.023087468764381516,-0.007033283887424945,0.04867617751869634,0.005209812644067167,-0.03610646845335087,0.04230348314257461,0.005900666704375003,0.0441130067925805,-0.025084648062839623,-0.019728726889272498,0.017484875870989736,-0.01695728810581571,-0.0059954435002569535,0.018125838071278766,-0.022343566387977222,0.02085627766469863
DCN,0.016342700449817386,0.03712416104570959,0.020270022217495746,-0.036940476804078734,0.04449672785077847,-0.008288579657819364,0.0021262034740935232,-0.04075133194163185,-0.04610640779015373,0.010146560386353316,0.00519109119116512,0.03071551576407409,0.015586383420466653,0.038017136394615174,-0.02798796855234721,-0.013353092710762942
