,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
COMP,0.011514558147468004,0.05480083938009861,0.024612859037008186,-0.00395656452016453,-0.005946772106391704,-0.014709273494277758,0.02715937266547341,-0.0019760016360866623
CA12,0.015846627961201714,0.058202410766149966,-0.011182253833905718,0.014221667874582084,0.028059793854234974,0.031267401932660546,0.021383488820708535,-0.01263032440335157
SLC36A2,-0.03137892065065072,-0.04127529110087287,0.030732213995571054,-0.0022380105287721787,-0.036166108938503055,0.029421558819424664,0.03940709412357833,-0.03777802563898857
CHAD,-0.001109039966090181,-0.009906313256187169,0.04403324919177701,-0.03755985406523164,-0.023038088617698432,0.008589872409423879,0.037719686616346476,-0.03390766918900286
FBN2,-0.007389128325789387,0.015086586926933609,0.023275547957563546,0.042657209007549525,-0.027599956864877623,0.022459112367842263,0.020572811684669286,-0.028652972816173666
COL11A1,-0.005939306764069053,0.04818513314701568,0.024094446065680425,0.004615137667656906,0.020100167788167693,-0.0073411674141685606,0.03612668658646774,-0.04829861717595186
COL22A1,-0.017835642190200285,-0.04508787632161019,0.030666014967079522,-0.00887220134797003,-0.02950862702884466,0.037911199712212254,0.05227679490226173,-0.04160933494733006
MMP9,0.014440137976429127,-0.05794297192840902,0.02176414433553862,-0.010016771059825267,0.046847312959057204,0.052264283116492345,0.04387975366793591,0.012503474822782783
MFAP4,0.018620873852810176,0.06659288327747716,0.019804969641791736,0.01321436054104436,0.002140299353761913,-0.011695874937876893,0.016474665593084668,0.004144275842672586
IGFBP5,-0.00878315925331488,0.022609058593682178,0.03780175199554051,0.027309017623114204,0.013427293075484063,0.006545682219405969,0.026759973595679134,0.017300711674055898
COL2A1,-0.02823698108201218,0.02313405883167886,0.025452674875777685,0.015187349095348367,-0.017666324141345474,-0.0023101800702151135,0.039918937807283304,-0.018616464597975887
HAPLN1,-0.010813892857018744,0.051743625065744335,0.014261808872753315,0.014163883960847248,0.01401378123487727,-0.018543342425799393,0.04340825810562358,-0.025277656134408813
NGEF,-0.015576028030342404,0.016264417603854584,0.027598581211128306,-0.03110555418467022,-0.006538474287869434,0.0025515136791138173,0.008424888161494995,-0.056989951350005064
NKD2,-0.010533075820212887,-0.011647816043813167,0.04658235859853077,-0.027930653072075196,0.024023021273990742,-0.03782985655553651,0.00474235513586716,0.02191676082969775
ANGPTL2,0.0018558017685034332,0.06840751539118417,0.0113714793014893,0.02025153113479009,0.03009243865046141,0.006089109761415692,0.0381654896493462,0.0007464526580431776
SFRP4,0.03847007147409943,0.018108083068946266,0.02559827576545096,-0.02745659919924667,0.04340720363291821,-0.010956170100040156,0.015951538644942028,0.004632381449058832
C1QB,0.05238170804474171,-0.0123847891607619,-0.00852980299792528,0.016998929728483207,-0.023668158368320105,-0.05329253064116355,0.018579390725811523,-0.022799458786038437
FNDC1,0.007838505934509406,0.042515911618989044,0.03916468115548353,-0.02182205935409118,0.01453933247368566,-0.0052237217100571725,0.03214991915149957,-0.04620873529797063
CD84,0.031684947097089806,-0.05782819408093279,0.015645308203042968,-0.007535322506290813,0.04648379719251397,0.03552356610293968,0.04900663981133981,0.0034563972742305974
POSTN,0.006146466254139827,0.056310311180235356,0.013091666223004315,0.00838033395842912,0.028391944033179482,0.016144115013184725,0.03069591292923967,0.0076185176616661715
C1S,0.0414679896888751,0.029749952767453947,0.026911065962899588,-0.022221967992130633,0.020933914165817625,-0.037832975213141384,-9.6116711185015e-05,0.005346625476170748
THBS2,0.018153168624469532,0.06464636235413829,0.01423770255879546,0.004848146287787851,0.031796051504439704,0.017587866239553163,0.02792917980298744,-0.024384072967211682
