,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,group
DOG2::100_0514_tumor,-0.9838978,-0.22844441,-0.026668904,1.648424,1.9897827,-0.4775887,-0.23631746,1.2249546,-0.25775978,-1.8126909,DOG2
DOG2::101_0518_tumor,3.1140547,1.542485,-1.7104024,1.24504,2.231322,-0.16869919,-0.47667974,1.6916822,0.34669393,-0.18527079,DOG2
DOG2::102_0619_tumor,4.797093,2.095216,-2.0893998,-0.6438265,0.09205024,0.704261,-0.46037182,0.8307781,1.4404731,-0.27726075,DOG2
DOG2::103_0639_tumor,0.38436967,-1.7316505,-0.72935283,1.1244956,-1.9121202,2.045566,0.23815744,-1.372395,0.7220773,0.5051474,DOG2
DOG2::104_0702_tumor,-0.24274531,-0.74894965,1.0876333,2.6889443,0.7158609,-0.6690147,-0.8497872,0.42452294,-0.10001605,0.33919477,DOG2
DOG2::105_0710_tumor,-0.1917017,-0.45830065,0.75307417,0.3921221,-1.8412759,-0.6507292,-0.46582174,-0.93547297,1.3660012,-2.1582794,DOG2
DOG2::106_0716_tumor,-3.6738596,2.2369354,0.078883216,1.2385446,-0.5231728,1.1424867,-0.44845614,-1.5963051,-1.111879,-0.69866323,DOG2
DOG2::107_0719_tumor,-4.2559447,-1.379273,0.4064219,-0.17399348,1.59694,-0.23256046,7.0791116e-06,1.1617376,1.3163923,-0.43125314,DOG2
DOG2::108_0720_tumor,-2.0842118,-2.999136,-0.6510931,0.026885392,0.31781584,-1.3474063,0.40516922,0.12610285,0.6123203,1.4149213,DOG2
DOG2::109_0721_tumor,0.78367054,-2.6932018,1.9832033,1.7241876,0.14627534,-0.986922,0.61106366,-0.6403674,-0.15392116,0.94137985,DOG2
DOG2::10_0512__Tumor,-1.0603974,0.4458126,3.1870663,0.6332769,1.0734369,-2.9760492,0.5791029,2.6811166,0.81991136,-0.57815737,DOG2
DOG2::110_0522_tumor,2.5480747,-1.395259,-1.5281221,0.41688272,2.1629345,-0.6911672,0.38510144,-0.81046593,0.24390069,-2.0967584,DOG2
DOG2::111_1708_tumor,-1.1188165,3.9452767,-0.11999046,-1.5022308,0.35206386,0.88420737,0.04056161,-0.8085655,-0.13171136,-1.2800317,DOG2
DOG2::112_0502_tumor,0.44222096,-2.203713,-0.6963616,0.8711848,-3.4430714,0.25941214,0.5870903,0.57448363,1.3691492,-1.6930611,DOG2
DOG2::113_1010_tumor,-0.04784356,-1.2460597,-3.2319496,0.44478476,0.8480784,-1.2448889,0.19055697,-2.7495532,0.9129367,2.7877417,DOG2
DOG2::114_1704_tumor,2.696228,4.41153,-0.9340246,-0.4441777,0.3394089,1.630399,0.07142383,1.6113431,-0.22088748,0.6808436,DOG2
DOG2::115_2318_tumor,-0.9865011,-2.6453156,2.5469677,-0.0827187,0.108903274,-1.2523417,-0.1228872,0.12188946,-0.4729309,2.5024436,DOG2
DOG2::116_0506_tumor,-0.6662167,1.721113,-1.5343399,1.9128494,-0.7439838,-0.5509773,1.0601315,-0.73298156,-0.20780246,-0.13536955,DOG2
DOG2::117_1011_tumor,-5.074177,-2.4397018,0.4072198,-1.7403306,3.3390315,-2.7182348,0.32419184,0.5062646,-1.8665686,-2.499968,DOG2
