factor,view,group,r2
Factor1,RNA,DOG2,12.737733125686646
Factor2,RNA,DOG2,9.293478727340698
Factor3,RNA,DOG2,5.183953046798706
Factor4,RNA,DOG2,3.1933248043060303
Factor5,RNA,DOG2,5.081373453140259
Factor6,RNA,DOG2,2.5606095790863037
Factor7,RNA,DOG2,0.5070805549621582
Factor8,RNA,DOG2,3.8367807865142822
Factor9,RNA,DOG2,2.5990068912506104
Factor10,RNA,DOG2,4.204750061035156
Factor1,RNA,GSE21257,9.938400983810425
Factor2,RNA,GSE21257,5.6755125522613525
Factor3,RNA,GSE21257,2.2421061992645264
Factor4,RNA,GSE21257,3.4484267234802246
Factor5,RNA,GSE21257,2.326744794845581
Factor6,RNA,GSE21257,2.9751181602478027
Factor7,RNA,GSE21257,7.8527867794036865
Factor8,RNA,GSE21257,1.1867165565490723
Factor9,RNA,GSE21257,1.0792553424835205
Factor10,RNA,GSE21257,0.8175075054168701
Factor1,RNA,TARGET_OS,8.415156602859497
Factor2,RNA,TARGET_OS,6.60361647605896
Factor3,RNA,TARGET_OS,4.260921478271484
Factor4,RNA,TARGET_OS,4.119735956192017
Factor5,RNA,TARGET_OS,3.073453903198242
Factor6,RNA,TARGET_OS,3.404802083969116
Factor7,RNA,TARGET_OS,0.579071044921875
Factor8,RNA,TARGET_OS,1.7093420028686523
Factor9,RNA,TARGET_OS,2.977687120437622
Factor10,RNA,TARGET_OS,1.1445283889770508
