,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
COMP,0.000551878,0.25961927,0.064595625,-0.0039686994,-0.073393345,0.043362305,0.14944479,0.04121908,-0.14059207,-0.12195007
ASPN,-0.024795836,0.29698858,0.0017503483,0.15986668,-0.005228807,0.14401291,-0.11710743,-0.0025876195,0.14662889,-0.18521668
COL22A1,-0.020303123,-0.21383527,0.0009333625,-0.07987074,0.0022918137,0.3310195,-0.012778107,0.111173876,-0.0889168,-0.2026328
CA3,-0.02773611,-0.12920068,-0.0306965,-0.16412649,0.06930617,0.288034,0.05137684,0.12027232,-0.08800703,-0.15355404
HAPLN1,-0.05708999,0.23820987,0.0007107497,0.08822713,0.0012612175,0.0778289,-0.03175228,-0.0799341,0.052079566,-0.23651104
CHAD,-0.001472467,-0.04361252,0.09851433,-0.021600254,-0.11209936,0.3390704,-0.02837607,0.0656316,-0.013788467,-0.13901775
CA12,0.03040185,0.26903826,-0.16925795,0.108242474,0.031737946,0.0025024477,0.09849943,0.14188905,-0.03272928,-0.062943324
SFRP4,0.1074885,0.110056974,0.08959519,0.24906078,-0.118943095,0.033739667,0.08842821,0.03071116,-0.017451938,0.05664235
FMOD,-0.004979968,0.14546527,0.099620186,0.13050166,-0.13905795,0.2109389,0.052601032,0.039757982,-0.110960156,0.12008336
COL11A1,-0.039490607,0.22622037,0.0022896274,0.111364,-0.02612896,0.1590069,-0.17197207,-0.06941907,-0.0091408165,-0.2131108
SFRP2,0.035159297,0.1974797,0.07455073,0.055871826,-0.04252219,0.01953216,0.08121013,0.08729887,-0.109945394,-0.05774154
MMP13,0.017358646,-0.1788826,0.12024224,0.15118101,0.000906859,-0.0026316077,-0.01829707,0.09894781,0.0230902,-0.22214118
POSTN,-0.004313347,0.27808326,0.038385186,0.14883128,-0.004287995,0.04161508,-0.1451833,0.03514462,0.20478077,-0.18927583
SLC36A2,-0.06697229,-0.19236988,0.01886823,-0.15704125,0.05243901,0.4145566,-0.0016647327,0.03009056,0.033164006,-0.17268024
DKK1,-0.009052223,-0.10273652,0.0031623167,-0.14534697,-0.0100668855,0.12999572,-0.09104384,0.048334833,-0.28992543,-0.1640023
IBSP,-0.027967937,-0.20333485,-0.0026555688,-0.017524322,0.0040093404,0.29449165,-0.07442094,0.124977954,0.0012051178,-0.28833476
THBS2,0.042595554,0.3178926,-0.044501238,0.17776956,-0.0016422578,0.107150935,-0.0134171955,0.08845528,0.0143582905,-0.13450776
ACP5,0.08168472,-0.27620643,0.05751305,0.2926086,-0.0050119204,0.0008028068,0.0876318,0.25088075,0.06223995,-0.15119855
CXCL14,0.09397295,0.19257033,0.101675905,0.07418973,-0.13590126,0.1297857,0.015947009,0.05906291,0.0037531708,0.019077355
IGFBP2,0.03874582,-0.02384086,0.06589717,-0.00078754174,-0.08800145,-0.0092696315,0.006770807,-0.10881353,-0.28915107,-0.11733664
FBN2,0.00353694,0.07599548,0.044068713,-0.045270458,0.0959493,0.003514214,-0.20044462,0.06386316,-0.20759617,-0.27065217
C3,0.18622266,0.14340758,0.0539579,0.024617793,-0.09732919,0.12462321,0.018295446,-0.15543203,-0.17834035,0.006456829
FNDC1,0.0023279353,0.22519106,0.0664559,0.13052972,-0.09756362,0.2545975,-0.06602955,-0.0043980936,-0.013535844,-0.10458345
CDH15,-0.0067700455,-0.2272601,0.088843375,-0.054723557,0.029708855,0.298132,0.048101265,0.03192336,0.16480611,-0.06822385
NKD2,-0.083015636,-0.058855828,0.27820286,0.09842532,-0.12034959,0.0020261223,-0.009480325,-0.12052619,0.040948402,0.018843053
RARRES2,0.12804973,0.20977305,-0.030574681,-0.014796623,-0.019403923,-0.001995631,0.059800792,0.10389929,-0.1340916,-0.113066226
MMP9,0.063878216,-0.26926816,0.07263658,0.30830845,0.0021362468,0.003714967,0.054425493,0.22799332,0.0055330987,-0.11778463
IFITM5,-0.056723095,-0.20527999,0.00065613113,-0.15941608,0.0066681155,0.3395514,0.00076828623,0.033806056,-0.0037961847,-0.3270929
MFAP4,0.023288319,0.3211031,0.04248617,0.06923625,-0.035432495,-0.06812069,0.027143048,0.021000782,-0.15124306,-0.1504642
IGF2,-0.06268546,0.020305378,0.26324308,0.020017974,-0.14385812,-0.00043813515,-0.12378582,-0.107804015,-0.27673608,-0.12624827
IGFBP5,-0.0407828,0.11468736,0.17098112,0.07306103,0.07898261,0.025005864,-0.012379045,0.01099411,0.037783474,-0.16510996
COL2A1,-0.11098843,0.08395693,0.050326142,-0.018736674,0.012133651,0.072438926,-0.017354567,-0.0023410178,-0.14508569,-0.3224979
CPXM2,0.015308354,0.09321065,0.19074745,-0.059599224,-0.13271226,0.0237321,0.10064976,-0.046285834,-0.19454165,-0.09664711
PTPRZ1,-0.03650005,-0.17014623,0.06006986,-0.11533246,0.06570099,0.1912015,-0.12491356,0.13818297,-0.25252715,-0.13746132
FGFR3,-0.15299986,-0.010902012,0.10934134,-0.107043624,0.0035862972,0.21321215,-0.03831634,-0.0861475,0.01635361,-0.28226224
PI15,0.044653393,0.2333181,-0.005798339,0.085951775,0.0039648814,0.031170787,-0.048706647,0.12383304,-0.14266883,-0.07253932
NGEF,-0.08881817,0.06641062,-0.023843382,-0.034595434,-0.07165408,0.2840754,0.027174074,0.035098832,-0.16109218,0.025527867
ACTA2,0.08606041,0.15815154,0.14196612,0.07226703,-0.024729092,-0.097821765,-0.0021310197,0.04528152,0.053144127,0.11059923
CCDC3,0.015538354,-0.08087411,0.068358354,-0.09964997,-0.079126745,0.1869214,0.021368664,0.0947512,-0.3223881,0.111735575
C1QB,0.29664746,0.0058861645,0.004524949,-0.1034156,-0.04744703,0.06288373,0.0017222926,-0.28233394,0.040768918,-0.039760858
SOST,-0.05760499,-0.17507708,0.049636565,-0.14254373,-0.0059489543,0.23193252,-0.0324225,0.019211376,-0.18845434,-0.320521
COL3A1,-0.0050539467,0.3312563,0.012369313,0.14420174,0.008629665,0.12963346,-0.1163896,0.13711764,0.19996966,-0.120876476
GREM1,0.06338135,0.12142235,-0.015824681,0.20556617,0.0059615606,0.017440626,-0.042205635,0.055518,-0.044393867,0.04877855
SERPINA1,0.2565173,0.04986844,-0.12312187,-0.017634971,0.060883127,-0.0036274965,-0.0033782274,-0.14946176,0.06601277,-0.017401023
C1QA,0.31063324,-0.004994911,0.0049275635,-0.11642766,-0.051790398,0.05969121,0.009103967,-0.28720593,0.06575572,-0.05891399
LRRN3,-0.06935983,0.07397598,0.08866617,0.058515243,0.029432403,0.059545763,-0.16191104,-0.03444643,-0.07919286,-0.323921
ANGPTL2,-0.015620207,0.33404914,-0.003017688,0.10589016,0.058127694,0.09995613,0.06278285,0.010658415,0.17496708,-0.16325758
C1QC,0.30663556,0.0036913774,0.010258016,-0.09940331,-0.02275484,0.06956961,0.007963865,-0.29645386,0.08078226,-0.053301178
THBS4,0.06376616,0.1634521,0.08188958,-0.024166264,0.0025712685,-0.007948114,0.055457067,0.16910255,-0.24473682,-0.10969235
MME,0.061792728,0.031539913,0.11457786,0.1830685,0.00529914,-0.05211315,-0.0413674,-0.042785,0.048292942,0.033504233
ISLR,-0.017584352,0.16033193,0.19200078,0.105546296,-0.035704438,-0.07793752,-0.0109831905,-0.09878016,-0.042134743,-0.22003673
TNFAIP6,0.07230522,0.24209465,-0.046969164,0.083008595,0.015121151,0.11228541,-0.0010795859,0.10651825,-0.021921346,-0.09068005
CRISPLD2,-0.007593217,0.30102473,0.030733604,0.09036081,0.015853815,0.08324436,0.08309514,0.047839005,0.2267747,-0.21036704
PODN,0.061353542,0.31867006,0.002118868,0.11005089,-0.031037403,0.04858059,0.11981107,0.07734455,-0.04254329,-0.14387126
GFPT2,0.014899534,0.2661004,0.019612644,0.17565668,-0.0011403307,-0.0041470714,0.12259603,0.009869603,0.0057806843,0.011987821
LRRC15,-0.002223878,0.032287043,0.019606221,0.24893597,-0.015671816,0.24541533,0.06847325,-0.004927938,0.04406936,0.08960528
APCDD1,-0.05958171,-0.11711654,0.05741802,-0.10258148,0.11593602,0.23350936,-0.012923841,0.062199015,-0.04206218,-0.31819558
DPT,0.0077109267,0.06841164,0.0008347936,0.14125118,-0.07002987,0.3213707,0.15865806,0.040545877,0.15698884,0.17571954
CAP2,0.02684181,0.17779915,0.06623108,-0.09697044,-0.00079769775,-0.11044539,-0.027896792,-0.028713832,-0.30900568,-0.08011361
FLRT3,-0.04427631,0.09795096,0.1853494,0.14207304,0.09904895,-0.041635673,-0.089387156,-0.057030562,0.16389507,-0.28866088
CD84,0.13688357,-0.25347728,0.028028838,0.33325273,-0.010279368,0.0029365802,0.051327575,0.1807556,-0.055921488,-0.12388185
FST,0.015679603,0.029268032,0.20928796,0.07217501,-0.13570842,-0.0024094218,0.027907003,-0.18737777,-0.13698663,0.14271654
ENO2,-0.03744377,0.09729599,-0.014609216,0.086819984,0.049288496,-0.11215482,0.115995735,-0.09003024,-0.30279517,0.0029357735
C1S,0.12373377,0.17877181,0.13070321,0.11733,-0.1257156,0.051118065,0.1624397,-0.050909664,-0.117727876,0.12686159
GJB2,0.059901204,0.03272562,-0.00025122747,0.26999107,0.045093928,-0.055809036,-0.05100929,-0.020086765,-0.053638138,-0.038734205
FBLN2,0.08447047,0.23214392,0.0064321454,-0.020615967,-0.00026198148,0.12757279,0.049822137,0.17211287,-0.11069868,-0.037812587
KLK4,0.0153392935,-0.1682456,0.051999416,0.017969707,-0.028147781,0.25363854,0.04109227,0.10580666,0.12592502,0.0579945
CRYAB,-0.036228925,-0.11699534,-0.0049212347,0.08616539,-0.035798836,0.002690728,0.10932831,0.21364433,-0.2684693,0.019739395
IGSF10,-0.05875485,0.23424858,0.036367968,0.14339736,0.041809235,0.08018384,-0.015010511,-0.14470124,0.14122164,-0.18284108
TNFRSF11B,-0.063104205,0.09512894,0.029678257,-0.081772804,0.03531077,0.19572787,0.07045514,-0.08853092,-0.057284042,-0.13714147
CD74,0.31853384,0.043991417,0.0045444285,-0.09840638,-0.029471016,0.07473553,0.007587068,-0.24714562,0.032379508,0.0154040875
RAC3,-0.0835683,0.09142395,-0.027304268,0.0119341165,-0.022759125,0.00644516,0.046100844,-0.06487768,-0.0741512,-0.2547939
FRZB,-0.042245608,0.10996415,0.038520068,-0.16701329,-0.0060209436,0.09880323,-0.02369432,-0.014543846,-0.25571054,-0.047504928
COL13A1,-0.10512742,-0.1858838,0.18094142,-0.079347536,-0.0020367086,0.29565224,0.0067680916,-0.015987782,0.004785939,-0.05394823
SLC38A5,0.0057389294,0.15266949,-0.18637794,0.038167484,0.08377607,0.0465846,0.08711606,0.086638846,-0.09452967,0.063953474
HS3ST3A1,-0.034737278,0.09643132,0.12887086,0.08317957,0.08735179,-0.10146635,0.00201532,-0.12580717,-0.034117375,-0.20699069
CYP1B1,0.07145426,-0.014416102,0.19420986,0.12016566,-0.083874844,0.15674554,-0.086845845,0.11348975,-0.15337013,0.21897298
ENPP2,0.023781786,-0.1232158,0.21282353,0.10346313,0.0057083787,0.20565079,0.043252446,-0.069703646,0.06511427,0.013432311
DLX3,-0.085827224,-0.28334254,0.14013486,-0.12232959,0.044455007,0.26451138,0.0021681497,0.0075161653,-0.086120024,-0.0036664968
SEMA3B,-0.060627602,0.07675212,-0.09026338,-0.053368397,-0.0044644405,0.31369022,-0.09622358,0.12573168,-0.15678829,-0.28646103
CLIC6,0.04224597,-0.065135576,0.017971141,0.13219401,0.012820254,0.021243747,0.07302796,0.12031495,-0.1822573,-0.15110904
MGST1,0.15326403,0.019468354,-0.07648065,-0.082627125,0.040710274,-0.052837223,-0.010486323,-0.1345344,-0.14987603,-0.048771463
TGM2,0.23520826,-0.016960371,0.031997457,-0.060041826,0.046263997,-0.026402127,0.08984796,0.09176659,-0.070703946,0.019709567
