,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,group
DOG2::100_0514_tumor,-0.72926676,0.10790615,-0.33323637,-0.012294447,2.1502392,0.07601103,-0.7611115,-1.688473,1.9324841,-0.6184708,-0.3638537,-0.14740321,-0.027146373,DOG2
DOG2::101_0518_tumor,3.3117123,1.8346212,-1.466601,-0.5946824,2.0401676,0.19363856,-0.8607842,0.2890989,2.1908317,0.48041213,-0.125426,-0.34389865,-0.3900057,DOG2
DOG2::102_0619_tumor,4.5467863,2.1554527,-2.3239243,-0.695559,-0.2519904,0.29292256,0.45261222,0.3010771,0.71398705,1.9791895,-0.4456091,-0.3468518,-0.6204166,DOG2
DOG2::103_0639_tumor,0.15448643,-1.9853852,0.64720327,-1.0465568,-2.1086154,0.13319282,-1.7800106,-0.16764186,-0.9722573,1.8811688,0.40785187,0.57494223,1.0386077,DOG2
DOG2::104_0702_tumor,0.18984842,-0.79897314,1.618851,-1.3681749,1.4780785,0.27766943,-0.9754204,0.10455454,1.2727008,-1.3938153,-0.75658673,-0.38369414,-0.78950423,DOG2
DOG2::105_0710_tumor,-0.349492,-0.82070255,-0.76566935,-1.2306952,-1.6239282,0.48929957,0.6642998,-2.5748875,-1.0009257,-0.10913408,-0.24773274,-0.5702846,-0.23829456,DOG2
DOG2::106_0716_tumor,-3.5388854,2.2979794,1.7171227,0.31870916,-0.28415594,0.22699474,-2.3183522,-1.124843,-1.1286502,0.08471111,0.94969964,1.6146104,-0.3751658,DOG2
DOG2::107_0719_tumor,-4.3669906,-1.5306432,-0.9827693,-0.52577436,1.4795965,-0.0036761698,1.4683251,-0.35504666,1.275794,0.09502282,0.059847523,0.5203942,-0.5475528,DOG2
DOG2::108_0720_tumor,-1.9939048,-3.3277972,-1.4346882,-0.6713076,0.24981919,-0.18124191,0.14702424,1.4766791,0.15343764,-0.9307401,1.1380843,-0.5372389,-1.0680879,DOG2
DOG2::109_0721_tumor,0.8975889,-3.2790158,1.6130923,-1.2012553,0.5032164,-0.08362581,0.07908706,-0.03479396,-0.4910786,-1.5385878,1.1428552,-0.7533723,0.28164226,DOG2
