,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
COMP,-0.00040026061,0.26312834,0.08615823,0.05697582,-0.069684096,-0.13030182,0.01340007,-0.1543096,0.0003424601,0.012584441,0.0993888,0.01107255,0.15919214
ASPN,-0.025164489,0.28093222,0.058734804,-0.20584756,0.0031246052,0.09461999,-0.033860527,-0.21103567,0.034443494,0.13685828,-0.072600596,0.02011014,-0.021081127
COL22A1,-0.0405739,-0.18347804,0.08413763,0.24650566,-0.0015092673,0.009832067,-0.0027795308,-0.17184274,0.11018815,0.30077642,-0.0036214995,0.09265227,-0.0023355205
CA3,-0.05059734,-0.1052698,0.027295588,0.25214407,0.06579028,-0.048782773,0.010108507,-0.062497385,0.07504372,0.3008009,0.01609234,-0.29325354,-0.13641976
HAPLN1,-0.05803228,0.2288383,0.014169097,-0.09077238,0.0059097447,0.015892925,-0.030271841,-0.2574876,-0.0423215,0.07813737,0.0016484858,0.10486182,0.005061602
CHAD,-0.013059559,-0.03992023,0.18381225,0.07079845,-0.08469798,0.058713797,0.0053355177,-0.16310515,0.03677073,0.28930894,-0.038858745,-0.201172,0.043512676
CA12,0.03727247,0.27333114,-0.07602429,-0.03819935,0.0047456003,-0.09147395,-0.07686773,-0.036172435,0.15499817,0.040094357,0.17879647,0.0075848433,-0.055293996
SFRP4,0.11622952,0.08426525,0.16948289,-0.23102862,-0.08915905,-0.056808792,-0.06872449,-0.038885433,0.06245399,-0.026917618,0.12638666,-0.19207942,0.0045327805
FMOD,-0.0064776526,0.13299927,0.2390193,-0.07342838,-0.12857607,-0.002409447,-0.030482838,-0.0020890331,0.026751485,0.097520754,0.15055428,0.010510083,0.22294378
COL11A1,-0.03575985,0.22514966,0.08738176,-0.05069602,-0.0077032223,0.14673954,-0.089143895,-0.23595944,-0.018940274,0.10979043,-0.052836843,0.12857802,0.0048182653
SFRP2,0.042081956,0.19543667,0.09575027,-0.014829182,-0.026462233,-0.015297466,0.002141093,-0.11797791,0.05018756,-0.012147107,0.117500216,-0.18306223,0.20483471
MMP13,0.024276549,-0.18248287,0.06441147,-0.036665235,0.0075014993,0.0038152416,0.00021792772,-0.25564802,0.14849421,-0.05076635,0.0122557795,0.0020152559,-0.19048055
POSTN,-0.0027959887,0.2537183,0.023521278,-0.23783043,0.0011124854,0.14459808,0.0077126576,-0.21839519,0.043966167,0.06491391,0.009661519,-0.0054328376,-0.17077154
SLC36A2,-0.094727516,-0.17584834,0.07733171,0.19894771,0.05033154,0.008306986,0.03279558,-0.13699442,0.004291216,0.41769695,-0.027316792,-0.037565183,0.0044173603
DKK1,-0.015987042,-0.06424049,0.062346272,0.34482965,-0.0120381955,0.06561975,-0.0050762934,-0.10483435,0.006915923,0.06747541,0.0014901612,-0.016095404,-0.04059318
IBSP,-0.043649882,-0.18135902,0.048359245,0.16480051,0.00060775445,0.06801724,-0.0028708137,-0.2552994,0.1373397,0.28781107,0.019452821,0.033309683,-0.15194842
THBS2,0.047455147,0.3160817,0.053622495,-0.13164975,-0.0012227228,-0.0053891796,-0.06476108,-0.14328103,0.13785751,0.089710794,-0.020497145,0.1345811,0.012118282
ACP5,0.09115704,-0.2753122,0.057188515,-0.14208792,-0.0016914633,-0.049640734,-0.06313325,-0.21578404,0.34739107,-0.036519185,0.035984423,-0.061900605,-0.005371093
CXCL14,0.086831875,0.17940223,0.15751463,-0.111063935,-0.1098903,0.025227444,0.009616273,-0.058839392,0.013252448,0.08777212,0.08081234,-0.21119027,0.17363173
IGFBP2,0.045722984,-0.011415284,0.10011363,0.16168912,-0.06442494,-0.0008901887,-0.07135595,-0.14470534,-0.10985462,-0.10905733,0.02411884,-0.12207388,0.053729903
FBN2,0.009709624,0.10884572,0.028481826,0.24173194,0.092087455,0.13581759,0.0043763914,-0.21418285,0.06490921,-0.038610563,-0.07667564,0.1923414,-0.046297986
C3,0.18625283,0.13761191,0.15685704,0.024533646,-0.07392443,-0.022650005,-0.058058105,-0.027921883,-0.14956434,0.048681065,-0.001055924,-0.015009576,0.02870281
FNDC1,-0.00017935273,0.21900775,0.19375777,-0.10355985,-0.06290247,0.054878246,-0.053345006,-0.15314944,0.013733327,0.17633747,-0.055704586,-0.020394795,0.029939488
CDH15,-0.03197184,-0.24066147,0.07510251,0.010518573,0.029398281,-0.0027962304,0.076991074,-0.1005886,0.008737618,0.31874368,0.089901894,-0.09222247,-0.025208082
NKD2,-0.08241572,-0.098249525,0.20105256,-0.16463178,-0.07124433,0.08123364,0.027930839,-0.12597005,-0.14198251,-0.09366178,0.13143753,-0.19942155,0.034572423
RARRES2,0.12600091,0.22554524,-0.0044395165,0.0781226,-0.014674841,-0.01386903,0.0014904815,-0.091746,0.04786381,0.0028284893,0.06812138,-0.24086908,0.06259706
MMP9,0.0751079,-0.26643798,0.08664906,-0.11960125,0.0035116484,-0.0026667325,-0.08606359,-0.20365037,0.33101326,-0.059702218,0.059132498,0.0053891595,0.084706895
IFITM5,-0.08123371,-0.17821573,0.019051896,0.25712535,0.001986825,0.013233221,0.009089153,-0.2893713,0.008711953,0.362116,-0.009267794,-0.041509047,0.059033513
MFAP4,0.039324358,0.32132712,0.05864859,-0.0064142533,-0.003334665,-0.037965186,-0.0027052842,-0.14698337,0.019423677,-0.12440068,-0.042630546,-0.15143237,0.04643276
IGF2,-0.052888263,0.02610306,0.25055817,0.10628371,-0.089081466,0.09970368,-0.0020789283,-0.19530068,-0.11434669,-0.17918314,-0.090937115,-0.05336786,0.060632143
IGFBP5,-0.0419591,0.09386557,0.08799027,-0.08594266,0.09959774,0.041733574,0.04951675,-0.2213982,-0.0029777547,-0.00043331398,0.121348895,-0.106294334,-0.042484585
COL2A1,-0.11229127,0.10355744,0.03935008,0.16317683,0.015740618,0.0141758025,-0.0045886864,-0.32042092,-0.0040123705,0.025457427,0.011620803,0.061600372,0.05632207
CPXM2,0.012242319,0.09611454,0.16967851,0.10992062,-0.100304656,-0.09173414,0.05670329,-0.13579108,-0.10081406,-0.04676967,-0.022284357,-0.100763835,0.118617594
PTPRZ1,-0.04492385,-0.13726799,0.10528287,0.32326224,0.061163712,0.124476045,0.003682972,-0.09368171,0.09526801,0.115486525,0.062371712,-0.094958395,-0.07317145
FGFR3,-0.16880392,-0.007897048,0.07595628,0.11462742,0.029311044,0.023811536,0.027374316,-0.26871666,-0.10648538,0.18981706,-0.079048924,-0.104493976,-0.019024719
PI15,0.049325537,0.24391209,0.06682293,0.0039077695,0.017179323,0.05889785,-0.036778837,-0.072335884,0.11584279,-0.0018794851,0.028332831,-0.1984587,0.013934529
NGEF,-0.100620806,0.07734987,0.11981104,0.15129453,-0.09542074,0.018652111,-0.057879794,-0.033973318,-0.0059065353,0.24765587,0.23448513,0.05555211,0.31720608
ACTA2,0.09402051,0.12846865,0.08109917,-0.18447116,-0.004803685,0.021062344,0.088650726,0.046863876,0.013617779,-0.1314194,0.012520714,-0.22465318,0.019340925
CCDC3,0.010436444,-0.061965086,0.18867522,0.25645164,-0.07240422,-0.0038836955,-0.00018897175,0.10254516,0.022665406,0.08727829,0.14179355,-0.1726242,0.0034565341
C1QB,0.2842062,-0.006183068,-0.008503569,0.010426759,-0.043317374,-0.00050083577,0.0039234306,-0.04534636,-0.30158535,0.12781213,-0.01562749,-0.01691102,-0.0017736546
SOST,-0.073172756,-0.14264117,0.07560763,0.32385808,-0.0030627383,0.024854416,0.0008408663,-0.2774798,-0.0071976753,0.1860813,0.01058938,-0.07411125,-0.08760855
COL3A1,-0.006141065,0.3158654,0.047454163,-0.22758533,0.024019424,0.13763936,0.018942486,-0.14430219,0.14617275,0.14250672,-0.023289248,0.0025421046,-0.0022519233
GREM1,0.07230791,0.11289065,0.07409156,-0.12977129,0.005632918,0.022902457,-0.09979189,0.009989457,0.09821814,-0.012521052,0.16131264,0.027672958,-0.12852742
SERPINA1,0.25436163,0.028909825,-0.12747435,-0.018864812,0.027760962,0.0030937109,-0.010081868,-0.0059892796,-0.1576038,0.09705729,0.26321584,0.09531073,-0.271029
C1QA,0.29682413,-0.021651696,-0.020751094,0.011186422,-0.050278362,-0.007588092,0.017920967,-0.05960876,-0.30960914,0.13313892,-0.024624549,-0.003498587,-0.0031161935
LRRN3,-0.062455337,0.0825023,0.080590196,0.03367091,0.0853972,0.090573154,-0.025878448,-0.2988997,-0.0036488427,0.0031959936,-0.098288655,-0.11550266,-0.17419812
ANGPTL2,-0.021399152,0.31366074,-0.0014476134,-0.19305728,0.063603945,-0.055964176,0.004744276,-0.17887966,0.02405377,0.13386986,0.0221214,0.039168082,-0.008294151
C1QC,0.2934316,-0.011678415,-0.014858157,-0.0043149646,-0.017955784,-0.0042653475,0.010083769,-0.063173,-0.31252187,0.14322864,-0.0071352865,-0.00834341,-0.0041275215
THBS4,0.06626563,0.18304336,0.086568885,0.1517057,0.013314708,-0.03483436,0.034575872,-0.08761297,0.109811276,-0.07724116,0.028636165,-0.2806259,0.010295062
MME,0.070882656,0.0047388286,0.096192405,-0.21281075,0.03978903,0.010183135,-0.007552222,-0.0098441895,0.0028638144,-0.11548836,-0.0058834422,-0.08540768,-0.18237881
ISLR,-0.011187178,0.14595807,0.10916478,-0.06882574,-0.0051564723,-0.0011056564,0.009530949,-0.28346413,-0.08118958,-0.16295771,-0.0027332183,0.08295469,-0.047593947
TNFAIP6,0.07370275,0.23669319,0.02514571,-0.03994926,0.008482966,0.0040692114,-0.008612861,-0.08611845,0.09585686,0.11753448,0.18237244,-0.028518938,-0.17614093
CRISPLD2,-0.017220693,0.2774745,-0.004185841,-0.20929368,0.029775234,-0.0817435,0.07009677,-0.2219606,0.049150255,0.1298368,0.020643974,0.0042698723,-0.09702494
PODN,0.059080053,0.31754947,0.054805174,-0.09102168,-0.008156637,-0.07532499,-0.006187044,-0.15860547,0.06196797,0.03209987,0.064017646,-0.16198657,0.023866551
GFPT2,0.019401092,0.23889558,0.06353222,-0.20296608,0.002510723,-0.10912877,-0.018150516,-0.037672453,0.027813535,-0.041462213,0.12691683,-0.053741388,0.017738562
LRRC15,-0.0041900203,0.003921251,0.17289941,-0.22175977,-0.0062219407,-0.0346524,-0.11796737,-0.010794017,0.053933453,0.16834745,0.17302701,0.020745143,-0.035564333
APCDD1,-0.07491341,-0.095759034,0.036774557,0.22659203,0.10898384,0.0017528019,0.043280642,-0.27137902,0.045179836,0.22683999,0.0069087725,0.083397634,-0.1179537
DPT,-0.0011467218,0.033564568,0.15070882,-0.24369457,-0.04949073,-0.10651155,-0.028987946,0.098512985,0.05642684,0.29884467,0.08754439,-0.2018523,0.057873864
CAP2,0.035758067,0.19430338,0.05493237,0.20395955,0.011063156,0.0064148773,0.00448711,-0.034546487,-0.087304555,-0.1835011,-0.0048133912,-0.22463761,-0.057968598
FLRT3,-0.038408402,0.06811541,0.03862278,-0.20376322,0.14524688,0.08749577,0.030645799,-0.32963127,-0.017865047,-0.08189427,-0.02914554,-0.21963923,-0.1501984
CD84,0.15218252,-0.24360548,0.09375452,-0.10171667,-0.000616361,-0.09560557,-0.14598887,-0.17610449,0.32004282,-0.074258834,-0.055770304,0.029273836,0.010454568
FST,0.023016315,0.0012946897,0.22012642,-0.07987702,-0.09408105,-0.011728892,-0.006248458,0.020142073,-0.19958225,-0.12913205,0.0855483,-0.08930952,0.067257255
ENO2,-0.023664648,0.10202619,0.0206498,0.0884296,0.02732399,-0.08645187,-0.13134839,-0.040126428,-0.07056281,-0.19059195,0.26539007,0.11818394,0.0735805
C1S,0.12834764,0.15369998,0.19237271,-0.11608257,-0.10868038,-0.118600786,-0.0058045974,0.0052498,-0.06716777,-0.02616907,0.107609995,-0.040691674,0.2668156
GJB2,0.0811358,0.018100696,0.036674045,-0.15627998,0.052052192,0.094075345,-0.15564635,-0.13052513,0.053155933,-0.12869054,0.17381236,-0.024613038,0.021641837
