,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,group
DOG2::100_0514_tumor,-0.71747524,-0.04263292,-0.56109405,1.995329,1.5904751,-1.2128929,2.0107963,DOG2
DOG2::101_0518_tumor,2.7235694,1.6183904,-2.2166498,1.2291869,1.2769762,0.8282465,1.6496061,DOG2
DOG2::102_0619_tumor,4.3198547,2.037769,-2.5119088,-1.1675459,-0.6284085,0.56427187,0.9083023,DOG2
DOG2::103_0639_tumor,0.51703364,-1.9460036,0.42495832,-1.9273741,1.0720422,-0.5822346,-1.5881714,DOG2
DOG2::104_0702_tumor,-0.15034719,-0.5715504,0.9781272,1.10867,2.6170495,0.76144785,0.4099178,DOG2
DOG2::105_0710_tumor,0.2777788,-0.52149665,-0.14719583,-1.4774601,0.005750955,-1.8632395,0.54552466,DOG2
DOG2::106_0716_tumor,-3.0831816,2.0817897,1.179684,0.20695445,1.3241273,-2.3861816,-1.6145327,DOG2
DOG2::107_0719_tumor,-4.4013066,-1.4997793,-0.31335837,1.9546312,-0.302901,0.09154344,1.3430425,DOG2
DOG2::108_0720_tumor,-2.4102807,-3.1526103,-1.2211707,0.46586525,0.13196105,1.6561363,-0.50492966,DOG2
DOG2::109_0721_tumor,0.9483334,-2.5833485,1.5943933,0.63263464,1.4596343,1.1931486,-0.47780955,DOG2
DOG2::10_0512__Tumor,-1.4479165,0.6722994,0.9828282,1.4888635,0.1383717,1.8197017,3.4842143,DOG2
DOG2::110_0522_tumor,3.060527,-1.3331872,-2.6635756,1.4960039,0.25063545,-1.7351261,0.5462614,DOG2
DOG2::111_1708_tumor,-0.84321994,3.8119965,-0.01659006,0.34142512,-1.5805615,-1.9677644,-0.3652364,DOG2
DOG2::112_0502_tumor,0.42394876,-2.3172703,-0.8166847,-3.5882576,0.6416919,-1.2186412,1.485867,DOG2
DOG2::113_1010_tumor,-0.23841374,-1.7274964,-3.7285614,0.46007985,0.6419272,1.8087837,-3.9166453,DOG2
DOG2::114_1704_tumor,2.0726178,4.4351387,-0.20394671,-0.5315404,-0.2855176,0.9015024,0.83198017,DOG2
DOG2::115_2318_tumor,-1.2197188,-2.5124068,2.4982607,0.9003884,-0.06223662,2.8261888,-0.7711675,DOG2
DOG2::116_0506_tumor,-0.6579398,1.5134629,-1.6153853,-0.97366565,1.8902771,-0.6496226,-0.73520964,DOG2
DOG2::117_1011_tumor,-4.384009,-2.205823,-0.930109,3.9888673,-1.5841135,-2.2046218,1.5439754,DOG2
DOG2::118_2304_tumor,-2.0367706,-0.4403397,-0.04971405,-2.8293447,0.30180997,-3.5448709,1.7250674,DOG2
DOG2::119_0516_tumor,-2.3918593,0.5740773,1.1880703,0.009696645,-2.0580275,-2.28919,0.9722246,DOG2
DOG2::11_0602__Tumor,-1.5070996,-0.7094655,-1.7907009,0.87739986,-0.78860086,-0.9593888,-0.7410027,DOG2
DOG2::120_2306_tumor,1.4177645,0.46082515,-2.3505585,-0.62532574,-0.95315987,-1.883848,-0.25540063,DOG2
DOG2::121_2322_tumor,-1.9576381,-2.7192283,3.211374,-0.7718076,-0.7194111,0.78168404,0.0042312057,DOG2
DOG2::122_0504_tumor,-3.1843996,-1.9970055,-2.9439957,1.8940985,1.2401036,-0.61383617,1.5149024,DOG2
DOG2::123_2316_tumor,2.9288847,-1.4842592,-0.7102947,2.1577861,-0.060574096,0.45406672,-0.35386,DOG2
DOG2::125_2004_tumor,0.36014146,1.8542836,1.6616412,0.43863198,-2.7634032,0.08124131,1.6240604,DOG2
DOG2::126_0228_tumor,-3.2416897,3.02712,-0.13415717,0.5768721,0.85999006,-0.09624196,-2.9306889,DOG2
DOG2::127_2010_tumor,-1.9446558,-0.3722537,-0.7717743,0.4182647,-2.388179,-0.15389264,-0.67943573,DOG2
DOG2::128_1023_tumor,3.6256227,2.8131378,-5.328639,-1.3904098,-0.724409,2.6436648,0.90657836,DOG2
DOG2::129_1414_tumor,0.45120993,-1.2491499,0.0019446723,1.8942358,0.17334735,0.38630125,0.8133533,DOG2
DOG2::12_0608__Tumor,-4.4318194,0.32820708,0.03237218,3.5845976,0.55496687,-1.226418,0.818428,DOG2
DOG2::131_2012_tumor,-0.57039493,-0.85178727,2.8682075,-4.6487083,0.29609406,-1.9365485,-1.7776546,DOG2
DOG2::132_1025_tumor,-5.9752655,4.109927,-0.7748671,0.525704,-0.8130963,-0.6896221,-0.23814578,DOG2
DOG2::133_0907_tumor,2.0646226,3.7531116,1.2391361,-2.43738,-2.4478085,1.1635065,1.8152741,DOG2
DOG2::134_2208_tumor,-0.16579531,-0.9031701,-1.8449777,-0.28018126,-1.7319616,-1.3109758,0.8292134,DOG2
DOG2::135_0102_tumor,-3.4711769,-4.68775,-1.1143229,0.54418164,2.0192883,-1.0368695,0.29971135,DOG2
DOG2::136_0105_tumor,0.5538163,-3.5662632,0.72431666,0.7133323,-0.08780386,-0.36480772,-1.5057405,DOG2
DOG2::137_0106_tumor,3.006454,-1.3199985,-0.19093339,-4.6218343,0.23602997,-0.010218808,-0.24019597,DOG2
DOG2::138_0314_tumor,-2.787025,2.4302123,-0.13822003,-4.6584234,0.87935734,-0.8746284,-1.7636116,DOG2
DOG2::139_0733_tumor,-2.063646,-0.06882534,-5.1792808,-4.171522,-0.3349585,1.4562601,0.1355639,DOG2
DOG2::13_0613__Tumor,-5.2876654,-1.7833933,-1.4364154,3.129081,-0.83874387,0.9550559,-1.0453646,DOG2
DOG2::140_0905_tumor,1.8659947,5.1360254,-2.1424272,-3.5061648,-1.1630998,1.2481972,0.8926352,DOG2
DOG2::141_1707_tumor,1.6230439,-1.6705093,0.6030212,-4.0597677,1.1395079,-1.2618164,2.0963047,DOG2
DOG2::142_1710_tumor,-0.10278211,1.5640986,0.4014531,0.8342121,1.1788876,0.20542228,-1.1596643,DOG2
DOG2::143_1916_tumor,2.1512926,3.2905912,-2.5594754,-0.3408917,-0.15204379,2.1552975,1.5888662,DOG2
DOG2::14_0614__Tumor,6.6060443,-1.2238303,-2.3016255,0.5649584,-0.96381104,1.5531322,-1.0248888,DOG2
DOG2::15_0615__Tumor,2.6061032,-0.43034473,1.9271154,0.675206,-0.11696812,0.8378972,-0.4659473,DOG2
DOG2::16_0211_tumor,-1.3958557,1.9899423,-0.27956283,-3.2876682,-1.2494786,1.3508284,3.4994354,DOG2
DOG2::16_0616__Tumor,-0.17051911,2.651739,-0.93856627,0.20705889,1.2947127,-0.2535245,-0.29497063,DOG2
DOG2::17_0226_tumor,0.39391682,-2.8828797,0.3283348,2.3353028,1.0670766,-0.56308365,-1.2473987,DOG2
DOG2::17_0620__Tumor,0.6438414,-1.1783856,-1.1647376,0.6243797,0.76851225,-0.6532137,0.80252314,DOG2
DOG2::18_0301_tumor,-2.6496506,0.42961118,-4.2169614,0.0371903,1.9219646,3.500689,-1.9315423,DOG2
DOG2::19_0303_tumor,-1.4540813,1.9210752,-2.3200443,4.6355524,-1.6851244,0.57267076,-0.59350884,DOG2
DOG2::19_0621__Tumor,-0.9922964,-0.42654744,0.97720635,2.0570588,-1.2113879,-2.7984667,0.3000523,DOG2
DOG2::1_0201_tumor,0.09400273,2.721311,2.6819205,2.6865954,-3.2265863,-1.0097048,0.22313048,DOG2
DOG2::1_0202_tumor,-0.22988467,0.34078822,1.4569188,-2.8942807,-1.1601826,-1.2750912,2.5938962,DOG2
DOG2::20_0307_tumor,1.7838348,6.026935,0.45448512,-3.4259875,-1.408934,2.4379005,1.5726962,DOG2
DOG2::21_0311_tumor,6.802627,2.3095634,-3.234743,-2.3082304,-1.0135555,0.7658577,-0.49341947,DOG2
DOG2::21_0631__Tumor,-1.5092297,-1.5015411,1.5645247,1.6616399,0.048671186,1.7210634,1.3640218,DOG2
DOG2::22_0317_tumor,4.8096194,1.8558624,-1.0757533,0.049342923,-0.956187,-0.166292,-0.29218847,DOG2
DOG2::22_0640__Tumor,-0.45385256,-1.6004813,0.71248037,2.1115165,0.08719473,-2.6789532,0.2856415,DOG2
DOG2::23_0329_tumor,0.9498386,-1.8362477,-2.4038882,1.4391311,2.2304006,0.7255893,1.9512888,DOG2
DOG2::23_0642__Tumor,3.084218,-0.43566364,1.8752697,2.2894688,-1.1827289,-0.85014355,-0.5824209,DOG2
DOG2::24_0405_tumor,-0.4105975,3.744707,-2.3476076,0.75841993,1.6595734,0.30570346,0.081583925,DOG2
DOG2::24_0704__Tumor,-3.0260677,0.6685363,2.9322455,-0.301453,-1.3006494,2.795413,2.2755165,DOG2
DOG2::25_0505_tumor,-0.8169615,1.8277328,-2.0606668,0.03819985,2.7131038,2.086592,-0.46732974,DOG2
DOG2::25_0706__Tumor,2.8361037,-0.5830956,2.2530186,0.6080988,-0.36237758,0.34943253,-0.8808188,DOG2
DOG2::26_0509_tumor,2.4825177,-0.1047759,-0.58405346,0.8731241,1.0396112,-1.1122252,1.095864,DOG2
DOG2::26_0722__Tumor,0.26487094,0.5191536,0.08227827,1.2718725,-1.8403592,-0.17309229,0.34297112,DOG2
DOG2::27_0511_tumor,0.54071206,-1.3216273,1.8919545,0.015554858,0.72236544,1.1403385,0.5367549,DOG2
DOG2::27_0723__Tumor,-0.56065977,-1.5389491,2.585279,-1.0782307,1.86863,0.72880846,-3.2137663,DOG2
DOG2::28_0513_tumor,1.9870137,0.63210833,-0.033457905,0.88484627,0.070668876,-2.2058518,-1.2094376,DOG2
DOG2::28_0725__Tumor,-3.3469892,0.10721433,0.5941531,2.6143227,1.0901742,-0.24080265,0.9439794,DOG2
DOG2::29_0515_tumor,0.7565307,0.79809266,2.6049407,0.50097084,0.028077016,-0.46241102,2.6892095,DOG2
DOG2::29_0729__Tumor,-2.6008408,-5.760369,1.0925986,-3.3639672,3.5750463,0.2751676,-2.2796454,DOG2
DOG2::2_0203_Tumor,3.5393288,-2.04432,-2.2072992,3.6068742,-3.9407237,-0.5704002,-2.7290406,DOG2
DOG2::2_0209__Tumor,-2.625494,-1.8657634,0.8248729,1.4055899,-0.22390442,-0.4345427,1.588124,DOG2
DOG2::30_0517_tumor,-0.8191754,-1.8064915,-0.009576351,1.1633734,-0.8869342,-1.2573857,0.55653787,DOG2
DOG2::30_0814_RNAla_Ter__tumor,-1.2104621,-2.797838,1.5757436,0.7972318,1.457762,0.39077774,-1.1867473,DOG2
DOG2::31_0519_tumor,1.1831193,-0.64079183,1.5553052,-3.1506581,-0.46091616,1.6424643,-0.21722002,DOG2
DOG2::32_0523_tumor,4.3986526,2.4923165,-1.7844441,-2.0874166,0.29767957,0.011347972,-1.0684258,DOG2
