,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
COMP,0.0011737586,0.26395237,0.07245987,-0.080741554,-0.0029685586,-0.11656369,0.06826731
ASPN,-0.020748705,0.28974205,0.0110886,-0.0042490447,0.14784272,-0.1699691,0.052928697
COL22A1,-0.001759838,-0.22539933,0.13640971,0.0009344154,-0.08543772,-0.22817162,0.15808788
CA3,-0.008383624,-0.1512284,0.08049792,0.05071028,-0.16941394,-0.1871887,0.14731646
HAPLN1,-0.033677515,0.23226564,-0.003116563,0.0072198324,0.07804586,-0.24144064,0.007095402
CHAD,-0.00042755358,-0.050164863,0.21084662,-0.11518066,-0.026276179,-0.18295968,0.10279479
CA12,0.0025408056,0.27379236,-0.14470387,-0.002553091,0.11974408,-0.008516172,0.11650308
SFRP4,0.09245366,0.11368581,0.10417896,-0.1165432,0.24835266,0.059289448,0.012872973
FMOD,-0.013902384,0.14661646,0.20334204,-0.133996,0.12955958,0.013245814,-0.0316107
COL11A1,-0.013164502,0.222959,0.05402465,-0.006375608,0.10533097,-0.24768968,-0.0066459724
SFRP2,0.019576056,0.20678268,0.076478906,-0.047836274,0.04897203,-0.021239687,0.09452307
MMP13,0.031397298,-0.16952059,0.076934405,0.01637772,0.13938552,-0.10472634,0.21170565
POSTN,-0.0068676276,0.2719803,-0.0059763086,-8.399477e-05,0.12834185,-0.1085485,0.112411335
SLC36A2,-0.043162532,-0.20444787,0.14990851,0.037327003,-0.16191766,-0.23748332,0.08729172
DKK1,0.0017881154,-0.100572824,0.1088853,-0.0013918739,-0.14841668,-0.1874137,0.07619219
IBSP,-0.004618892,-0.20395882,0.09208699,0.00305902,-0.026211983,-0.2678156,0.20822954
THBS2,0.025221162,0.32460046,-0.019358933,-0.01651036,0.17673035,-0.09488235,0.105066076
ACP5,0.07644751,-0.26585597,0.037241522,-0.0063183447,0.28887433,0.00045601476,0.3204677
CXCL14,0.06593134,0.19508749,0.13446325,-0.14021143,0.063319795,0.01861117,0.032841846
IGFBP2,0.07681866,-0.0090744225,0.110510424,-0.053072773,0.0014818417,-0.15474594,-0.04812645
FBN2,0.03350282,0.09662724,0.042840887,0.12007632,-0.045150008,-0.2000709,0.15012291
C3,0.19429994,0.14871883,0.12212337,-0.091181405,0.018602263,-0.067068465,-0.14659864
