,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
COMP,0.008750839424873091,0.05280524519317041,0.025695113585712213,-0.005316606793650238,-0.009438634508146151,-0.012033931851477617,-0.026769331782078135,-0.003185733766073991,-0.005882334660972143,0.040411977458433584,-0.0038604951997458776,0.01173616822092637,-0.03233118862422483,0.00436575721305143,0.023396574241026088,-0.000849765060693217
ASPN,-0.0008516261547164405,0.05967485220589991,0.01883606669366261,-0.003810187020813778,0.031533174756553185,0.003626355613635778,-0.034008048669209645,-0.021161815522940067,0.0339028601799238,-0.02801832075761327,0.007034253314373984,-0.0055576602248995285,0.011200385644948628,-0.014348827627191424,0.060449277225179,0.012869808112339114
COL22A1,-0.017974643043847157,-0.04519056932077412,0.026379104764185667,0.0010437329780967,-0.03345232211379746,0.03126811811743352,-0.04579839515497058,-0.03515789877022013,0.02881853098315883,0.0059776572896849175,-0.019819395348869426,-0.014550900418410413,-0.014675617345407633,0.05811830369513031,0.015466854132033013,0.020281459433117845
CA3,-0.021605545443783698,-0.025956330929659446,0.015681929403977043,0.014809047454804505,-0.04633632086815303,0.028617646718210855,-0.026629649239823458,-0.02301278816986852,0.040795338193528624,0.021619240265929995,-0.01704321540658143,0.02743687688487497,0.06260251684324253,0.02566557691173686,0.013197191279705874,-0.006272005538620523
HAPLN1,-0.012200490835245017,0.049672647344272715,0.012892246781743527,0.010192530171472737,0.01599416048592229,-0.017186987546246042,-0.040635726559094414,-0.024689811320573636,0.018581882438159465,0.0018263291665921218,0.030432761016411645,-0.0025381988015489958,-0.012987277003524936,-0.0695783884156017,0.06699227040261518,-0.0345189999625357
CHAD,-0.0020663210087715246,-0.011174976149285814,0.043127083340552756,-0.028375038685469863,-0.028979024839676945,0.005476283498261268,-0.03825158977726479,-0.026447202438128543,0.040141239812579034,0.0008098225488451863,0.02314861727173581,0.014260725572359124,0.01237922150576254,-0.014181562090694344,0.006051312491206799,-0.0058657309867115055
CA12,0.014443383164131065,0.05781079839833478,-0.011125060574833309,0.006591783928176673,0.027059990098595853,0.031381484686097146,-0.018501250759299315,-0.012843358968856902,-0.00020563623014007684,0.03567703342277449,-0.013288008869006497,0.008530505966794284,-0.0032885484224498803,0.028412407977801323,-0.0021370395405505326,-0.028702123295349227
SFRP4,0.036562119820209335,0.016639365690116297,0.0288429479757516,-0.03375428724181237,0.03995619969565216,-0.007932321855563904,-0.014852454627380683,-0.001711785674344164,-0.0021154649719214496,0.015614732551491945,-0.007338123442194463,0.004225768580609624,0.044435944335043435,-0.005638374284718759,-0.008642012113666494,0.0274732574799328
FMOD,0.010774540875525004,0.0263085822163421,0.04532934888737403,-0.04614927444480663,0.011618330602880408,-0.011225891198041515,1.1724352466555696e-05,-0.02660826231710378,0.008357599731285999,0.04675340455738693,0.024811445072323062,0.011888365822393741,-0.039660332099987414,0.007089335753498236,0.03259755714514849,-0.01277144212729609
COL11A1,-0.008073089353956411,0.04603327304626314,0.023596454173120996,-0.0002138977689127004,0.017724592703052496,-0.010510133700345214,-0.034951576570635357,-0.04863273465095588,0.013842937956019848,-0.023962538765671088,0.02804118311270695,-0.00591669117691933,-0.01665195948817318,-0.013425511580445516,0.08396584715846389,-0.014317256949090237
