,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
COMP,0.008750839424873091,0.05280524519317041,0.025695113585712213,-0.005316606793650238,-0.009438634508146151,-0.012033931851477617,-0.026769331782078135,-0.003185733766073991
ASPN,-0.0008516261547164405,0.05967485220589991,0.01883606669366261,-0.003810187020813778,0.031533174756553185,0.003626355613635778,-0.034008048669209645,-0.021161815522940067
COL22A1,-0.017974643043847157,-0.04519056932077412,0.026379104764185667,0.0010437329780967,-0.03345232211379746,0.03126811811743352,-0.04579839515497058,-0.03515789877022013
CA3,-0.021605545443783698,-0.025956330929659446,0.015681929403977043,0.014809047454804505,-0.04633632086815303,0.028617646718210855,-0.026629649239823458,-0.02301278816986852
HAPLN1,-0.012200490835245017,0.049672647344272715,0.012892246781743527,0.010192530171472737,0.01599416048592229,-0.017186987546246042,-0.040635726559094414,-0.024689811320573636
CHAD,-0.0020663210087715246,-0.011174976149285814,0.043127083340552756,-0.028375038685469863,-0.028979024839676945,0.005476283498261268,-0.03825158977726479,-0.026447202438128543
CA12,0.014443383164131065,0.05781079839833478,-0.011125060574833309,0.006591783928176673,0.027059990098595853,0.031381484686097146,-0.018501250759299315,-0.012843358968856902
SFRP4,0.036562119820209335,0.016639365690116297,0.0288429479757516,-0.03375428724181237,0.03995619969565216,-0.007932321855563904,-0.014852454627380683,-0.001711785674344164
FMOD,0.010774540875525004,0.0263085822163421,0.04532934888737403,-0.04614927444480663,0.011618330602880408,-0.011225891198041515,1.1724352466555696e-05,-0.02660826231710378
COL11A1,-0.008073089353956411,0.04603327304626314,0.023596454173120996,-0.0002138977689127004,0.017724592703052496,-0.010510133700345214,-0.034951576570635357,-0.04863273465095588
SFRP2,0.016310200730154115,0.03901269603643075,0.027966704060527366,-0.006024517231802789,0.0027655229616318317,0.0008278236624690693,-0.01813394227114478,-0.004658709012467939
MMP13,0.002219974720511578,-0.03742214026792695,0.021816820441578157,0.003484215664900496,0.025225280888680604,0.028880514318551882,-0.046643083553262965,0.015188709876473274
POSTN,0.005202962980502305,0.05551273182748134,0.015760403835907016,0.0020174102631664794,0.030852916816302433,0.014107138001340145,-0.031184611231728537,0.008248984128064957
SLC36A2,-0.031061129919818412,-0.04141111494726414,0.02508623041037667,0.006928481163248186,-0.03945953064923307,0.020194045571320613,-0.03292967879466402,-0.020303526914318273
DKK1,-0.011424222563705367,-0.01855929457969803,0.025962979660456548,0.010553667223602525,-0.04605621639642794,0.011699339636346184,-0.01690559335172245,-0.04863973352715712
IBSP,-0.01829253001625825,-0.04139238796272784,0.022337953413713193,0.0029120223278808906,-0.017973542722083485,0.04130644467546338,-0.05838602076230945,-0.027048217439698215
THBS2,0.01636989598111643,0.06287129738283719,0.017209514371144662,-0.001826848920156361,0.03030707021363283,0.017752553569987405,-0.026458816594293052,-0.025688207643906984
ACP5,0.018685898127315262,-0.05670477738996497,0.015738275173310914,-0.01566760341183148,0.042877450570567334,0.05052839099579887,-0.051762561591026005,0.010932144448187518
CXCL14,0.027966709356077188,0.03459018291673014,0.03293051648387322,-0.030028496508087046,-0.00024570100558945606,-0.008917351862135946,-0.013357493068652394,-0.00857107356472835
IGFBP2,0.009311500239474156,-0.007377954077796006,0.021028183752605248,0.00315380420902739,-0.016698661072068483,-0.03627478207140461,-0.02283782461278225,-0.026427401390999385
FBN2,-0.00787627441709389,0.0155557643764659,0.020991563334068656,0.048078592295731915,-0.020792364462039536,0.020693816108593895,-0.02200952207169395,-0.032499382264717956
C3,0.041731334963065074,0.018961440609915805,0.023643514428423933,-0.0018318788847666463,-0.0035232803953999855,-0.043641469236822446,-0.008998933155598682,-0.032869401590288304
FNDC1,0.005386552717216152,0.04058591798024995,0.0407236393001309,-0.02345889740118054,0.008308980199692687,-0.006393990824759098,-0.027514562739736008,-0.04338073774432896
CDH15,-0.012795815532676218,-0.050972568306424985,0.02031859030351489,-0.0032332146162258116,-0.0153920393828306,0.018076091340745063,-0.02895641668133451,0.017524948702455617
NKD2,-0.011931436970747198,-0.01389220403366344,0.042399220373214246,-0.030354891336332807,0.01780736922376859,-0.03856853758533977,-0.004426642318119039,0.02541793043557245
RARRES2,0.029625376124605675,0.04384121680262864,0.009124013684316382,0.010670432006734504,-0.01214027639744164,0.006874601269647607,-0.021666458609949965,-0.011879590643703447
MMP9,0.014600166953173505,-0.05701607055684334,0.01962733742716747,-0.013699078158935356,0.046676129342798967,0.05189821233770373,-0.045188728363384674,0.001229643637557259
IFITM5,-0.02868391575658404,-0.0406214552383332,0.018934501459824768,0.008761316629450532,-0.0465188239203901,0.016814263237097334,-0.0599298764301112,-0.024185103322613224
MFAP4,0.015817757623487243,0.0646455071600994,0.021468272281220446,0.010024558407515658,0.0031115140006107407,-0.009276401911006392,-0.018936299937473745,0.0015490734182840842
IGF2,-0.008438193454692045,0.004451068603754193,0.05566844812722864,-0.013398500765340248,-0.012360141834120533,-0.04283487388277579,-0.013762361828646208,-0.01615410636104425
IGFBP5,-0.010552479506202438,0.02159080387457608,0.034366850344159594,0.025100257621724447,0.01752785802335479,0.004071593168496189,-0.023049010305775487,0.02432733480711625
COL2A1,-0.028687343068358535,0.021123495199103354,0.0253307760121467,0.019959088250178995,-0.01207382560199882,0.0001440633900000322,-0.04651194942533949,-0.022755299902998814
CPXM2,0.009528170191998222,0.01741394133516099,0.04075169500677549,-0.013057086556901281,-0.031059239653086823,-0.04014825432812946,-0.020584207024911684,0.005251504428187057
PTPRZ1,-0.020786917219767803,-0.03703426687629952,0.03414682337576644,0.022541529854798712,-0.03537128190607701,0.03650352129351473,-0.008209750315894843,-0.03459179646010079
FGFR3,-0.043126573520911246,-0.00017682295333083147,0.02890813106707691,0.00993338323832149,-0.028223878580237494,-0.014618283055798393,-0.038716668817461095,-0.012066765508566984
PI15,0.013367271025834009,0.04811430781536313,0.021437181623724686,0.009114698990157783,0.010715681578353654,0.019303278485307485,-0.009910489858603403,-0.026636670518544788
NGEF,-0.016202414237950703,0.014547685142755357,0.025478836761191986,-0.028100604418711657,-0.01838531930107714,0.0023590791180778067,-0.0034249758765382467,-0.05258636957285388
