analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean_capture,random_q95_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_variable_only_1500,8,M34,162,100,0.6172839506172839,all_retained,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7,0.3435988285513072,2000,0.05441626531426071,0.06380141912413849,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M34,162,100,0.6172839506172839,shared_two_or_more,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7,0.3435988285513072,2000,0.05441626531426071,0.06380141912413849,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M34,162,100,0.6172839506172839,ubiquitous_all_groups,3,Factor1;Factor2;Factor3,0.2958936901489876,2000,0.03744227817175459,0.047536126710619034,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,8,M34,162,100,0.6172839506172839,partially_shared,4,Factor4;Factor5;Factor6;Factor7,0.04411929799196306,2000,0.017859445129550924,0.02672196894169227,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M34,162,100,0.6172839506172839,shared_non_ffpe_only,4,Factor4;Factor5;Factor6;Factor7,0.04411929799196306,2000,0.017859445129550924,0.02672196894169227,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M34,162,100,0.6172839506172839,gse39055_shared,3,Factor1;Factor2;Factor3,0.2958936901489876,2000,0.03744227817175459,0.047536126710619034,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,8,M11,7,6,0.8571428571428571,all_retained,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7,0.02903035933170447,2000,0.007168986101972472,0.011975279996565233,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M11,7,6,0.8571428571428571,shared_two_or_more,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7,0.02903035933170447,2000,0.007168986101972472,0.011975279996565233,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M11,7,6,0.8571428571428571,ubiquitous_all_groups,3,Factor1;Factor2;Factor3,0.003977241460208267,2000,0.003970965690338462,0.0077739704945114525,0.56,0.440279860069965,0.47438604641341303,0.4953148425787106
four_cohort_variable_only_1500,8,M11,7,6,0.8571428571428571,partially_shared,4,Factor4;Factor5;Factor6;Factor7,0.024351995896785928,2000,0.003223809854377902,0.0074336773150974695,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M11,7,6,0.8571428571428571,shared_non_ffpe_only,4,Factor4;Factor5;Factor6;Factor7,0.024351995896785928,2000,0.003223809854377902,0.0074336773150974695,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M11,7,6,0.8571428571428571,gse39055_shared,3,Factor1;Factor2;Factor3,0.003977241460208267,2000,0.003970965690338462,0.0077739704945114525,0.56,0.440279860069965,0.47438604641341303,0.4953148425787106
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,all_retained,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7,0.3018025632184747,2000,0.020898685416008075,0.027663908955965707,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,shared_two_or_more,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7,0.3018025632184747,2000,0.020898685416008075,0.027663908955965707,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,ubiquitous_all_groups,3,Factor1;Factor2;Factor3,0.018795843137791562,2000,0.01366964709957438,0.020017150706613914,0.9045,0.095952023988006,0.11651317198543586,0.21589205397301348
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,partially_shared,4,Factor4;Factor5;Factor6;Factor7,0.2849395928839058,2000,0.00755090026051836,0.013815914742991726,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,shared_non_ffpe_only,4,Factor4;Factor5;Factor6;Factor7,0.2849395928839058,2000,0.00755090026051836,0.013815914742991726,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,gse39055_shared,3,Factor1;Factor2;Factor3,0.018795843137791562,2000,0.01366964709957438,0.020017150706613914,0.9045,0.095952023988006,0.11651317198543586,0.21589205397301348
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,all_retained,10,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10,0.34936906620993274,2000,0.056895019373759015,0.06634760623962632,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
