analysis_set,module_label,subspace_name,n_ranks,median_capture,minimum_capture,maximum_capture,median_random_percentile,maximum_empirical_q_global,fraction_ranks_global_q_lt_0_05,median_n_naturally_selected_module_genes,median_natural_coverage_fraction
four_cohort_detection_aware_variable_only_700,M11,all_retained,3,0.059464879211069514,0.016276322225252854,0.07193279571361819,0.9995,0.23623262995367988,0.6666666666666666,5.0,0.7142857142857143
four_cohort_detection_aware_variable_only_700,M11,gse39055_shared,3,0.015703381847018243,0.013755583216812993,0.036683157443266494,0.929,0.23623262995367988,0.3333333333333333,5.0,0.7142857142857143
four_cohort_detection_aware_variable_only_700,M11,partially_shared,3,0.03514304251913967,0.000467197670561363,0.04685367322972173,0.9995,0.8635682158920539,0.6666666666666666,5.0,0.7142857142857143
four_cohort_detection_aware_variable_only_700,M11,shared_non_ffpe_only,3,0.03514304251913967,0.000467197670561363,0.04685367322972173,0.9995,0.8635682158920539,0.6666666666666666,5.0,0.7142857142857143
four_cohort_detection_aware_variable_only_700,M11,shared_two_or_more,3,0.059464879211069514,0.016276322225252854,0.07105925484047106,0.9995,0.23623262995367988,0.6666666666666666,5.0,0.7142857142857143
four_cohort_detection_aware_variable_only_700,M11,ubiquitous_all_groups,3,0.015703381847018243,0.013755583216812993,0.036683157443266494,0.929,0.23623262995367988,0.3333333333333333,5.0,0.7142857142857143
four_cohort_detection_aware_variable_only_700,M34,all_retained,3,0.33291216590144845,0.28505685495315686,0.3424813312552999,1.0,0.000742347272965459,1.0,40.0,0.24691358024691357
four_cohort_detection_aware_variable_only_700,M34,gse39055_shared,3,0.2757167611611261,0.2710457607829681,0.279353602785826,1.0,0.000742347272965459,1.0,40.0,0.24691358024691357
four_cohort_detection_aware_variable_only_700,M34,partially_shared,3,0.035274156816787285,0.0067930552052716964,0.0553369671906446,0.9795,0.2193864606158459,0.6666666666666666,40.0,0.24691358024691357
four_cohort_detection_aware_variable_only_700,M34,shared_non_ffpe_only,3,0.035274156816787285,0.0067930552052716964,0.0553369671906446,0.9795,0.2193864606158459,0.6666666666666666,40.0,0.24691358024691357
four_cohort_detection_aware_variable_only_700,M34,shared_two_or_more,3,0.33291216590144845,0.28505685495315686,0.34052349792461234,1.0,0.000742347272965459,1.0,40.0,0.24691358024691357
four_cohort_detection_aware_variable_only_700,M34,ubiquitous_all_groups,3,0.2757167611611261,0.2710457607829681,0.279353602785826,1.0,0.000742347272965459,1.0,40.0,0.24691358024691357
four_cohort_detection_aware_variable_only_700,M40,all_retained,3,0.28595919931516695,0.28434231183066805,0.3132874417955217,1.0,0.000742347272965459,1.0,29.0,0.26126126126126126
four_cohort_detection_aware_variable_only_700,M40,gse39055_shared,3,0.2804550785411177,0.2798486997294839,0.3054726543337301,1.0,0.000742347272965459,1.0,29.0,0.26126126126126126
four_cohort_detection_aware_variable_only_700,M40,partially_shared,3,0.004698212479597067,0.0011873762500842345,0.008928959147090843,0.4735,0.7206259883756752,0.0,29.0,0.26126126126126126
four_cohort_detection_aware_variable_only_700,M40,shared_non_ffpe_only,3,0.004698212479597067,0.0011873762500842345,0.008928959147090843,0.4735,0.7206259883756752,0.0,29.0,0.26126126126126126
four_cohort_detection_aware_variable_only_700,M40,shared_two_or_more,3,0.28595919931516695,0.28434231183066805,0.30716415552115744,1.0,0.000742347272965459,1.0,29.0,0.26126126126126126
four_cohort_detection_aware_variable_only_700,M40,ubiquitous_all_groups,3,0.2804550785411177,0.2798486997294839,0.3054726543337301,1.0,0.000742347272965459,1.0,29.0,0.26126126126126126
four_cohort_variable_only_1500,M11,all_retained,3,0.03711882737343157,0.02903035933170447,0.04782013211659907,1.0,0.000742347272965459,1.0,6.0,0.8571428571428571
four_cohort_variable_only_1500,M11,gse39055_shared,3,0.003977241460208267,0.0025580582430308344,0.0057708261279841395,0.56,0.8364609641487981,0.0,6.0,0.8571428571428571
four_cohort_variable_only_1500,M11,gse39055_specific,1,4.6205970448188974e-05,4.6205970448188974e-05,4.6205970448188974e-05,0.2115,0.8207936847902579,0.0,6.0,0.8571428571428571
four_cohort_variable_only_1500,M11,partially_shared,3,0.028776494934637575,0.024351995896785928,0.04467576756150651,1.0,0.000742347272965459,1.0,6.0,0.8571428571428571
four_cohort_variable_only_1500,M11,shared_non_ffpe_only,3,0.028776494934637575,0.024351995896785928,0.04467576756150651,1.0,0.000742347272965459,1.0,6.0,0.8571428571428571
four_cohort_variable_only_1500,M11,shared_two_or_more,3,0.03507936508787097,0.02903035933170447,0.04550776772568996,1.0,0.000742347272965459,1.0,6.0,0.8571428571428571
four_cohort_variable_only_1500,M11,ubiquitous_all_groups,3,0.003977241460208267,0.0025580582430308344,0.0057708261279841395,0.56,0.8364609641487981,0.0,6.0,0.8571428571428571
four_cohort_variable_only_1500,M34,all_retained,3,0.34936906620993274,0.3435988285513072,0.35554173812128037,1.0,0.000742347272965459,1.0,100.0,0.6172839506172839
four_cohort_variable_only_1500,M34,gse39055_shared,3,0.30210363311743194,0.2958936901489876,0.30891951079163515,1.0,0.000742347272965459,1.0,100.0,0.6172839506172839
four_cohort_variable_only_1500,M34,gse39055_specific,1,0.004861044665321577,0.004861044665321577,0.004861044665321577,0.839,0.19294649550224888,0.0,100.0,0.6172839506172839
four_cohort_variable_only_1500,M34,partially_shared,3,0.03769390685746054,0.02701653605237017,0.04411929799196306,0.992,0.013183063640593497,1.0,100.0,0.6172839506172839
four_cohort_variable_only_1500,M34,shared_non_ffpe_only,3,0.03769390685746054,0.02701653605237017,0.04411929799196306,0.992,0.013183063640593497,1.0,100.0,0.6172839506172839
four_cohort_variable_only_1500,M34,shared_two_or_more,3,0.3483185702794604,0.3435988285513072,0.34845991604156484,1.0,0.000742347272965459,1.0,100.0,0.6172839506172839
four_cohort_variable_only_1500,M34,ubiquitous_all_groups,3,0.30210363311743194,0.2958936901489876,0.30891951079163515,1.0,0.000742347272965459,1.0,100.0,0.6172839506172839
four_cohort_variable_only_1500,M40,all_retained,3,0.3220956157240501,0.3018025632184747,0.34204358070564894,1.0,0.000742347272965459,1.0,64.0,0.5765765765765766
four_cohort_variable_only_1500,M40,gse39055_shared,3,0.017234589320311754,0.015440369382833965,0.018795843137791562,0.6565,0.3986935103876634,0.0,64.0,0.5765765765765766
