initial_factors,module_label,subspace_name,analysis_set_a,analysis_set_b,capture_a,capture_b,capture_difference_a_minus_b
8,M34,all_retained,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.3435988285513072,0.28505685495315686,0.05854197359815033
8,M34,all_retained,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.3435988285513072,0.31160405107010497,0.03199477748120222
8,M34,all_retained,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.28505685495315686,0.31160405107010497,-0.026547196116948113
8,M34,shared_two_or_more,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.3435988285513072,0.28505685495315686,0.05854197359815033
8,M34,shared_two_or_more,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.3435988285513072,0.31160405107010497,0.03199477748120222
8,M34,shared_two_or_more,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.28505685495315686,0.31160405107010497,-0.026547196116948113
8,M34,ubiquitous_all_groups,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.2958936901489876,0.2710457607829681,0.024847929366019483
8,M34,ubiquitous_all_groups,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.2958936901489876,0.31160405107010497,-0.015710360921117383
8,M34,ubiquitous_all_groups,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.2710457607829681,0.31160405107010497,-0.04055829028713687
8,M34,partially_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.04411929799196306,0.0067930552052716964,0.03732624278669137
8,M34,shared_non_ffpe_only,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.04411929799196306,0.0067930552052716964,0.03732624278669137
8,M34,shared_non_ffpe_only,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.04411929799196306,0.31160405107010497,-0.2674847530781419
8,M34,shared_non_ffpe_only,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.0067930552052716964,0.31160405107010497,-0.3048109958648333
8,M34,gse39055_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.2958936901489876,0.2710457607829681,0.024847929366019483
8,M11,all_retained,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.02903035933170447,0.016276322225252854,0.012754037106451618
8,M11,all_retained,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.02903035933170447,0.028438778318905417,0.0005915810127990542
8,M11,all_retained,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.016276322225252854,0.028438778318905417,-0.012162456093652563
8,M11,shared_two_or_more,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.02903035933170447,0.016276322225252854,0.012754037106451618
8,M11,shared_two_or_more,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.02903035933170447,0.028438778318905417,0.0005915810127990542
8,M11,shared_two_or_more,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.016276322225252854,0.028438778318905417,-0.012162456093652563
8,M11,ubiquitous_all_groups,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.003977241460208267,0.015703381847018243,-0.011726140386809976
8,M11,ubiquitous_all_groups,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.003977241460208267,0.028438778318905417,-0.02446153685869715
8,M11,ubiquitous_all_groups,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.015703381847018243,0.028438778318905417,-0.012735396471887175
8,M11,partially_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.024351995896785928,0.000467197670561363,0.023884798226224566
8,M11,shared_non_ffpe_only,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.024351995896785928,0.000467197670561363,0.023884798226224566
8,M11,shared_non_ffpe_only,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.024351995896785928,0.028438778318905417,-0.004086782422119489
8,M11,shared_non_ffpe_only,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.000467197670561363,0.028438778318905417,-0.027971580648344055
8,M11,gse39055_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.003977241460208267,0.015703381847018243,-0.011726140386809976
8,M40,all_retained,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.3018025632184747,0.28434231183066805,0.017460251387806658
8,M40,all_retained,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.3018025632184747,0.31121751653813584,-0.009414953319661135
8,M40,all_retained,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.28434231183066805,0.31121751653813584,-0.026875204707467792
8,M40,shared_two_or_more,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.3018025632184747,0.28434231183066805,0.017460251387806658
8,M40,shared_two_or_more,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.3018025632184747,0.31121751653813584,-0.009414953319661135
8,M40,shared_two_or_more,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.28434231183066805,0.31121751653813584,-0.026875204707467792
8,M40,ubiquitous_all_groups,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.018795843137791562,0.2804550785411177,-0.26165923540332614
8,M40,ubiquitous_all_groups,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.018795843137791562,0.31121751653813584,-0.2924216734003443
8,M40,ubiquitous_all_groups,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.2804550785411177,0.31121751653813584,-0.030762437997018166
8,M40,partially_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.2849395928839058,0.008928959147090843,0.27601063373681495
