analysis_set,initial_factors,module_label,subspace_name,n_random_valid,random_mean_capture,random_q95_capture,observed_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_variable_only_1500,8,M34,all_retained,2000,0.05441626531426071,0.06380141912413849,0.3435988285513072,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M34,shared_two_or_more,2000,0.05441626531426071,0.06380141912413849,0.3435988285513072,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M34,ubiquitous_all_groups,2000,0.03744227817175459,0.047536126710619034,0.2958936901489876,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,8,M34,partially_shared,2000,0.017859445129550924,0.02672196894169227,0.04411929799196306,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M34,shared_non_ffpe_only,2000,0.017859445129550924,0.02672196894169227,0.04411929799196306,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M34,gse39055_shared,2000,0.03744227817175459,0.047536126710619034,0.2958936901489876,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,8,M11,all_retained,2000,0.007168986101972472,0.011975279996565233,0.02903035933170447,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M11,shared_two_or_more,2000,0.007168986101972472,0.011975279996565233,0.02903035933170447,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M11,ubiquitous_all_groups,2000,0.003970965690338462,0.0077739704945114525,0.003977241460208267,0.56,0.440279860069965,0.47438604641341303,0.4953148425787106
four_cohort_variable_only_1500,8,M11,partially_shared,2000,0.003223809854377902,0.0074336773150974695,0.024351995896785928,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M11,shared_non_ffpe_only,2000,0.003223809854377902,0.0074336773150974695,0.024351995896785928,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M11,gse39055_shared,2000,0.003970965690338462,0.0077739704945114525,0.003977241460208267,0.56,0.440279860069965,0.47438604641341303,0.4953148425787106
four_cohort_variable_only_1500,8,M40,all_retained,2000,0.020898685416008075,0.027663908955965707,0.3018025632184747,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M40,shared_two_or_more,2000,0.020898685416008075,0.027663908955965707,0.3018025632184747,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,8,M40,ubiquitous_all_groups,2000,0.01366964709957438,0.020017150706613914,0.018795843137791562,0.9045,0.095952023988006,0.11651317198543586,0.21589205397301348
four_cohort_variable_only_1500,8,M40,partially_shared,2000,0.00755090026051836,0.013815914742991726,0.2849395928839058,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M40,shared_non_ffpe_only,2000,0.00755090026051836,0.013815914742991726,0.2849395928839058,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,8,M40,gse39055_shared,2000,0.01366964709957438,0.020017150706613914,0.018795843137791562,0.9045,0.095952023988006,0.11651317198543586,0.21589205397301348
four_cohort_variable_only_1500,12,M34,all_retained,2000,0.056895019373759015,0.06634760623962632,0.34936906620993274,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M34,shared_two_or_more,2000,0.05628335568468974,0.06567091835617751,0.34845991604156484,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M34,ubiquitous_all_groups,2000,0.0389238428253006,0.04956497588398751,0.30891951079163515,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,12,M34,partially_shared,2000,0.021103818563418343,0.03137583671600268,0.03769390685746054,0.992,0.00849575212393803,0.011402193640022092,0.009557721139430285
four_cohort_variable_only_1500,12,M34,shared_non_ffpe_only,2000,0.021103818563418343,0.03137583671600268,0.03769390685746054,0.992,0.00849575212393803,0.011402193640022092,0.009557721139430285
four_cohort_variable_only_1500,12,M34,gse39055_shared,2000,0.0389238428253006,0.04956497588398751,0.30891951079163515,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,12,M11,all_retained,2000,0.00911524033180325,0.01422680895418358,0.03711882737343157,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M11,shared_two_or_more,2000,0.008520897507913223,0.013596874313414128,0.03507936508787097,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M11,ubiquitous_all_groups,2000,0.004741474040146117,0.008912143849613063,0.0057708261279841395,0.715,0.28535732133933034,0.32102698650674666,0.46905118869136864
four_cohort_variable_only_1500,12,M11,partially_shared,2000,0.003958651531774177,0.008530207361655506,0.028776494934637575,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,12,M11,shared_non_ffpe_only,2000,0.003958651531774177,0.008530207361655506,0.028776494934637575,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,12,M11,gse39055_shared,2000,0.004741474040146117,0.008912143849613063,0.0057708261279841395,0.715,0.28535732133933034,0.32102698650674666,0.46905118869136864
four_cohort_variable_only_1500,12,M40,all_retained,2000,0.023164834203817146,0.030634534955374094,0.3220956157240501,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M40,shared_two_or_more,2000,0.022464729595815722,0.029734794314512227,0.31661981380773846,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,12,M40,ubiquitous_all_groups,2000,0.014360885928768082,0.02109468710637613,0.015440369382833965,0.6355,0.36481759120439783,0.3986935103876634,0.46905118869136864
four_cohort_variable_only_1500,12,M40,partially_shared,2000,0.009321562791442715,0.016557260204100498,0.3136872143356677,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,12,M40,shared_non_ffpe_only,2000,0.009321562791442715,0.016557260204100498,0.3136872143356677,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,12,M40,gse39055_shared,2000,0.014360885928768082,0.02109468710637613,0.015440369382833965,0.6355,0.36481759120439783,0.3986935103876634,0.46905118869136864
four_cohort_variable_only_1500,16,M34,all_retained,2000,0.06351908108600665,0.07191387204448506,0.35554173812128037,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M34,shared_two_or_more,2000,0.05980209770255999,0.06787467634962982,0.3483185702794604,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M34,ubiquitous_all_groups,2000,0.04434639491250441,0.0540642966189294,0.30210363311743194,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,16,M34,partially_shared,2000,0.014657976734863102,0.02317926227641972,0.02701653605237017,0.9905,0.009995002498750625,0.013183063640593497,0.009995002498750625
four_cohort_variable_only_1500,16,M34,shared_non_ffpe_only,2000,0.014657976734863102,0.02317926227641972,0.02701653605237017,0.9905,0.009995002498750625,0.013183063640593497,0.009995002498750625
four_cohort_variable_only_1500,16,M34,gse39055_shared,2000,0.04434639491250441,0.0540642966189294,0.30210363311743194,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,16,M34,gse39055_specific,2000,0.00263319369013371,0.007373200937871752,0.004861044665321577,0.839,0.16141929035482258,0.19294649550224888,0.4842578710644677
four_cohort_variable_only_1500,16,M11,all_retained,2000,0.011658100123786187,0.017818917993228666,0.04782013211659907,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M11,shared_two_or_more,2000,0.00966116688818201,0.015237439172926224,0.04550776772568996,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M11,ubiquitous_all_groups,2000,0.004332191880577618,0.00785788200440029,0.0025580582430308344,0.1855,0.8145927036481759,0.8364609641487981,0.8145927036481759
four_cohort_variable_only_1500,16,M11,partially_shared,2000,0.00531659679902315,0.010809265423216015,0.04467576756150651,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,16,M11,shared_non_ffpe_only,2000,0.00531659679902315,0.010809265423216015,0.04467576756150651,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,16,M11,gse39055_shared,2000,0.004332191880577618,0.00785788200440029,0.0025580582430308344,0.1855,0.8145927036481759,0.8364609641487981,0.8145927036481759
four_cohort_variable_only_1500,16,M11,gse39055_specific,2000,0.0007220314795133565,0.0027130968179482685,4.6205970448188974e-05,0.2115,0.7886056971514243,0.8207936847902579,0.84007996001999
