analysis_set,initial_factors,cohort,mofa_summed_factor_r2_percent,pca_components,stacked_pca_r2_percent,mofa_minus_pca_r2_percent
four_cohort_detection_aware_variable_only_700,8,DOG2,40.70207476615906,8,45.03635752680047,-4.334282760641415
four_cohort_detection_aware_variable_only_700,8,GSE21257,26.09495520591736,8,34.651881450301246,-8.556926244383888
four_cohort_detection_aware_variable_only_700,8,GSE39055,13.20030689239502,8,16.467060336317108,-3.266753443922088
four_cohort_detection_aware_variable_only_700,8,TARGET_OS,30.994731187820435,8,36.71018705463002,-5.7154558668095845
four_cohort_detection_aware_variable_only_700,12,DOG2,45.664775371551514,12,50.96240728343058,-5.297631911879066
four_cohort_detection_aware_variable_only_700,12,GSE21257,32.18035697937012,12,43.23615140114173,-11.055794421771616
four_cohort_detection_aware_variable_only_700,12,GSE39055,15.860682725906372,12,22.284387768270907,-6.423705042364535
four_cohort_detection_aware_variable_only_700,12,TARGET_OS,35.35057306289673,12,43.24470377848812,-7.894130715591395
four_cohort_detection_aware_variable_only_700,16,DOG2,51.275211572647095,16,55.26082485595043,-3.985613283303337
four_cohort_detection_aware_variable_only_700,16,GSE21257,42.8797721862793,16,47.680451972105466,-4.800679785826169
four_cohort_detection_aware_variable_only_700,16,GSE39055,17.104613780975342,16,31.964067672384523,-14.859453891409181
four_cohort_detection_aware_variable_only_700,16,TARGET_OS,39.21465277671814,16,46.37633267548832,-7.161679898770181
four_cohort_variable_only_1500,8,DOG2,43.67825388908386,8,44.11121576495718,-0.4329618758733176
four_cohort_variable_only_1500,8,GSE21257,24.485015869140625,8,31.18886105249141,-6.703845183350786
four_cohort_variable_only_1500,8,GSE39055,5.821675062179565,8,7.208754119046567,-1.3870790568670017
four_cohort_variable_only_1500,8,TARGET_OS,30.495303869247437,8,34.452565746742735,-3.9572618774952986
four_cohort_variable_only_1500,12,DOG2,48.27616214752197,12,48.38333332875688,-0.10717118123491076
four_cohort_variable_only_1500,12,GSE21257,38.25041055679321,12,39.98947345485042,-1.739062898057206
four_cohort_variable_only_1500,12,GSE39055,7.806283235549927,12,22.128893221127242,-14.322609985577316
four_cohort_variable_only_1500,12,TARGET_OS,35.75047254562378,12,39.688743576277,-3.938271030653219
four_cohort_variable_only_1500,16,DOG2,52.48897075653076,16,53.32937791679001,-0.8404071602592467
four_cohort_variable_only_1500,16,GSE21257,41.51455760002136,16,44.62650428685693,-3.111946686835566
four_cohort_variable_only_1500,16,GSE39055,12.846028804779053,16,23.765617837047536,-10.919589032268483
four_cohort_variable_only_1500,16,TARGET_OS,39.428550004959106,16,44.198585982953645,-4.770035977994539
three_cohort_no_ffpe_variable_only_1500,8,DOG2,44.75628137588501,8,44.93495620740976,-0.17867483152475216
three_cohort_no_ffpe_variable_only_1500,8,GSE21257,25.984889268875122,8,31.537774289486254,-5.552885020611132
three_cohort_no_ffpe_variable_only_1500,8,TARGET_OS,31.310683488845825,8,34.674947204744086,-3.364263715898261
three_cohort_no_ffpe_variable_only_1500,12,DOG2,49.19809103012085,12,50.0380661795603,-0.8399751494394536
three_cohort_no_ffpe_variable_only_1500,12,GSE21257,37.54257559776306,12,41.469150849766145,-3.926575252003083
three_cohort_no_ffpe_variable_only_1500,12,TARGET_OS,36.28831505775452,12,41.91592614342652,-5.627611085672001
three_cohort_no_ffpe_variable_only_1500,16,DOG2,52.90647745132446,16,54.96363760025491,-2.05716014893045
three_cohort_no_ffpe_variable_only_1500,16,GSE21257,41.477614641189575,16,46.320648094463024,-4.843033453273449
three_cohort_no_ffpe_variable_only_1500,16,TARGET_OS,39.88214731216431,16,45.35069364726163,-5.468546335097322
