analysis_set,initial_factors,factor,view,group,r2
four_cohort_core_plus_frozen,8,Factor1,RNA,DOG2,14.835506677627563
four_cohort_core_plus_frozen,8,Factor2,RNA,DOG2,8.736735582351685
four_cohort_core_plus_frozen,8,Factor3,RNA,DOG2,7.556694746017456
four_cohort_core_plus_frozen,8,Factor4,RNA,DOG2,6.074291467666626
four_cohort_core_plus_frozen,8,Factor5,RNA,DOG2,5.719196796417236
four_cohort_core_plus_frozen,8,Factor6,RNA,DOG2,3.81089448928833
four_cohort_core_plus_frozen,8,Factor1,RNA,GSE21257,10.843431949615479
four_cohort_core_plus_frozen,8,Factor2,RNA,GSE21257,7.671153545379639
four_cohort_core_plus_frozen,8,Factor3,RNA,GSE21257,3.343367576599121
four_cohort_core_plus_frozen,8,Factor4,RNA,GSE21257,3.1541645526885986
four_cohort_core_plus_frozen,8,Factor5,RNA,GSE21257,1.821434497833252
four_cohort_core_plus_frozen,8,Factor6,RNA,GSE21257,2.6898860931396484
four_cohort_core_plus_frozen,8,Factor1,RNA,GSE39055,1.7082929611206055
four_cohort_core_plus_frozen,8,Factor2,RNA,GSE39055,2.7898848056793213
four_cohort_core_plus_frozen,8,Factor3,RNA,GSE39055,0.7977426052093506
four_cohort_core_plus_frozen,8,Factor4,RNA,GSE39055,2.7510344982147217
four_cohort_core_plus_frozen,8,Factor5,RNA,GSE39055,0.19521713256835938
four_cohort_core_plus_frozen,8,Factor6,RNA,GSE39055,0.3550589084625244
four_cohort_core_plus_frozen,8,Factor1,RNA,TARGET_OS,11.057806015014648
four_cohort_core_plus_frozen,8,Factor2,RNA,TARGET_OS,8.722537755966187
four_cohort_core_plus_frozen,8,Factor3,RNA,TARGET_OS,4.455065727233887
four_cohort_core_plus_frozen,8,Factor4,RNA,TARGET_OS,4.097205400466919
four_cohort_core_plus_frozen,8,Factor5,RNA,TARGET_OS,1.927870512008667
four_cohort_core_plus_frozen,8,Factor6,RNA,TARGET_OS,2.6087403297424316
four_cohort_core_plus_frozen,12,Factor1,RNA,DOG2,14.044606685638428
four_cohort_core_plus_frozen,12,Factor2,RNA,DOG2,8.16524624824524
four_cohort_core_plus_frozen,12,Factor3,RNA,DOG2,7.219523191452026
four_cohort_core_plus_frozen,12,Factor4,RNA,DOG2,5.805838108062744
four_cohort_core_plus_frozen,12,Factor5,RNA,DOG2,4.4660210609436035
four_cohort_core_plus_frozen,12,Factor6,RNA,DOG2,5.262666940689087
four_cohort_core_plus_frozen,12,Factor7,RNA,DOG2,1.886129379272461
four_cohort_core_plus_frozen,12,Factor8,RNA,DOG2,5.026066303253174
four_cohort_core_plus_frozen,12,Factor1,RNA,GSE21257,10.855931043624878
four_cohort_core_plus_frozen,12,Factor2,RNA,GSE21257,8.462297916412354
four_cohort_core_plus_frozen,12,Factor3,RNA,GSE21257,3.178989887237549
four_cohort_core_plus_frozen,12,Factor4,RNA,GSE21257,3.4262478351593018
four_cohort_core_plus_frozen,12,Factor5,RNA,GSE21257,2.575397491455078
four_cohort_core_plus_frozen,12,Factor6,RNA,GSE21257,0.679558515548706
four_cohort_core_plus_frozen,12,Factor7,RNA,GSE21257,2.489495277404785
four_cohort_core_plus_frozen,12,Factor8,RNA,GSE21257,1.2175798416137695
four_cohort_core_plus_frozen,12,Factor1,RNA,GSE39055,1.698625087738037
four_cohort_core_plus_frozen,12,Factor2,RNA,GSE39055,2.6195287704467773
four_cohort_core_plus_frozen,12,Factor3,RNA,GSE39055,0.68550705909729
four_cohort_core_plus_frozen,12,Factor4,RNA,GSE39055,2.393239736557007
four_cohort_core_plus_frozen,12,Factor5,RNA,GSE39055,0.5831122398376465
four_cohort_core_plus_frozen,12,Factor6,RNA,GSE39055,0.1952826976776123
