analysis_set,initial_factors,cohort,mofa_summed_factor_r2_percent,pca_components,stacked_pca_r2_percent,mofa_minus_pca_r2_percent
four_cohort_core_plus_frozen,8,DOG2,46.7333197593689,8,49.32300185193353,-2.5896820925646367
four_cohort_core_plus_frozen,8,GSE21257,29.523438215255737,8,35.461827493749134,-5.938389278493396
four_cohort_core_plus_frozen,8,GSE39055,8.597230911254883,8,12.305919608630301,-3.7086886973754183
four_cohort_core_plus_frozen,8,TARGET_OS,32.86922574043274,8,38.55307747880563,-5.683851738372894
four_cohort_core_plus_frozen,12,DOG2,51.87609791755676,12,53.37581113345515,-1.4997132158983888
four_cohort_core_plus_frozen,12,GSE21257,32.88549780845642,12,43.35061229761875,-10.465114489162332
four_cohort_core_plus_frozen,12,GSE39055,10.090529918670654,12,25.686300455752498,-15.595770537081844
four_cohort_core_plus_frozen,12,TARGET_OS,37.115478515625,12,43.913498216526236,-6.798019700901236
four_cohort_core_plus_frozen,16,DOG2,56.6628098487854,16,58.16878296565176,-1.5059731168663575
four_cohort_core_plus_frozen,16,GSE21257,38.45694661140442,16,47.96177752224058,-9.504830910836162
four_cohort_core_plus_frozen,16,GSE39055,11.404138803482056,16,27.705170216115317,-16.30103141263326
four_cohort_core_plus_frozen,16,TARGET_OS,43.33683252334595,16,48.26369258118917,-4.926860057843221
four_cohort_detection_aware,8,DOG2,43.863171339035034,8,47.99234863210452,-4.129177293069489
four_cohort_detection_aware,8,GSE21257,28.39888334274292,8,35.40766600085274,-7.008782658109823
four_cohort_detection_aware,8,GSE39055,15.16292691230774,8,19.393268189929856,-4.2303412776221165
four_cohort_detection_aware,8,TARGET_OS,32.02946186065674,8,38.417564080847356,-6.388102220190618
four_cohort_detection_aware,12,DOG2,50.61201453208923,12,53.696205078551415,-3.0841905464621817
four_cohort_detection_aware,12,GSE21257,31.353139877319336,12,44.111566021769136,-12.7584261444498
four_cohort_detection_aware,12,GSE39055,16.306889057159424,12,25.96576399840539,-9.658874941245966
four_cohort_detection_aware,12,TARGET_OS,35.5682909488678,12,44.839421573412594,-9.271130624544796
four_cohort_detection_aware,16,DOG2,52.88376212120056,16,58.041246223720364,-5.157484102519803
four_cohort_detection_aware,16,GSE21257,35.54490804672241,16,48.695761262727665,-13.150853216005252
four_cohort_detection_aware,16,GSE39055,16.89509153366089,16,33.932996922524914,-17.037905388864026
four_cohort_detection_aware,16,TARGET_OS,39.06221389770508,16,49.04835021403259,-9.98613631632751
three_cohort_no_ffpe,8,DOG2,47.54619002342224,8,49.98659650344872,-2.440406480026482
three_cohort_no_ffpe,8,GSE21257,31.37550950050354,8,36.671491961781776,-5.295982461278236
three_cohort_no_ffpe,8,TARGET_OS,33.03596377372742,8,39.69154424021514,-6.65558046648772
three_cohort_no_ffpe,12,DOG2,54.52126860618591,12,55.09105568370812,-0.5697870775222071
three_cohort_no_ffpe,12,GSE21257,37.194663286209106,12,45.19728578057355,-8.002622494364445
three_cohort_no_ffpe,12,TARGET_OS,39.874857664108276,12,45.91147367632987,-6.036616012221593
three_cohort_no_ffpe,16,DOG2,55.406904220581055,16,59.474398389209135,-4.06749416862808
three_cohort_no_ffpe,16,GSE21257,38.05699348449707,16,50.66767839579859,-12.610684911301519
three_cohort_no_ffpe,16,TARGET_OS,41.307806968688965,16,49.9371360357303,-8.629329067041333
