analysis_set,module_label,n_frozen_genes,n_selected_genes,coverage_fraction,selected_genes
four_cohort_core_plus_frozen,M34,162,130,0.8024691358024691,ABCC3;ADCY7;ALOX5;ANKRD22;ANXA3;ARHGAP30;ARHGDIB;ARRB1;ATF7IP2;ATP8A1;B2M;BATF2;BLNK;BTK;C3AR1;CAPG;CARD9;CASP8;CBX7;CCR2;CD244;CD74;CD80;CD86;CLEC12A;CSF1R;CSF2RB;CTSH;CYP4V2;CYSLTR2;DAPP1;DENND1C;DNASE1L3;DOCK2;DOK2;DTX3L;EGR1;EHD3;ENPP5;EPAS1;EPHB3;EVI2A;F5;FAM107A;FCER1G;FGR;GAB2;GBP1;GIMAP6;GLUL;GMFG;GPSM3;HCLS1;HNMT;IFI30;IFI35;IL18;IL1RN;INPP5D;IRF5;KCNQ1;KIAA0040;LAMA3;LAPTM5;LCP1;LY96;MCTP1;MOSPD2;MS4A7;MYO1G;NCF4;NFAM1;OAS1;OAS2;OSBPL3;PAG1;PAPPA;PARP12;PARP14;PARP15;PARP9;PARVG;PIK3AP1;PIK3CG;PRDM1;PRKAR2B;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PTPRO;PYCARD;RASSF5;RETSAT;RGS18;RNASEL;SAMD9L;SAMSN1;SCTR;SERPINB8;SERPINB9;SERPING1;SH3TC1;SLC43A2;SLC6A6;SLC8A1;SLCO2B1;SLCO3A1;SP100;SRM;SUSD1;SYK;SYTL1;TAGAP;TAPBPL;TBC1D9;TLR1;TLR3;TLR7;TLR8;TMEM123;TMEM86A;TNFAIP8;TNFAIP8L2;TNFSF8;TRIM14;TRIM22;VAV1;ZMAT1
four_cohort_core_plus_frozen,M11,7,7,1.0,ADAMTS1;ADAMTS4;ANGPT2;DRD1;IGFBP3;MCAM;STC1
four_cohort_core_plus_frozen,M24,7,7,1.0,CHST2;GABRA2;HHIP;NETO1;NR2F1;OSR2;RYR2
four_cohort_core_plus_frozen,M40,111,78,0.7027027027027027,ARL4D;ATAD2;BARX1;BUB1;C1S;CCNA2;CCNB3;CDC20;CDC6;CDCA2;CDCA8;CEP72;CLSPN;CLTCL1;CXCL14;DEPDC1;DNAJB1;E2F1;E2F7;E2F8;ECT2;ELOVL4;EPHA2;ESPL1;EXO1;FANCA;FANCD2;FANCM;FN1;GAS6;GPRC5C;GTSE1;HELLS;HSP90AA1;HSPH1;IFITM5;ITGBL1;KIF15;KIF22;KIF23;KIF4A;LGR4;LHX2;LIMS2;MAP1LC3C;MCM2;MCM5;MSI1;MXRA5;MYBL2;NDUFB9;PLK4;POLE;POLE2;POLQ;RAB30;RCOR2;RECQL4;RELN;RRM2;SCML2;SFRP4;SH3D19;SIM2;SLC13A5;SMO;SPAG5;ST6GALNAC3;ST8SIA5;TK1;TOP2A;TRIB3;TRIP13;TSPAN33;TYMS;UBE2S;UBE2T;UHRF1
four_cohort_detection_aware,M34,162,50,0.30864197530864196,ABCC3;ARHGAP30;ARHGDIB;B2M;CARD9;CD74;CD86;CSF1R;CTSH;CYP4V2;DAPP1;DENND1C;DTX3L;EGR1;ENPP5;EPAS1;EVI2A;FCER1G;FGR;GAB2;GBP1;GLUL;GMFG;HCLS1;HNMT;IFI35;IL18;IRF5;KCNQ1;LY96;OAS1;OAS2;OSBPL3;PARP14;PARVG;PRKAR2B;PTK2B;PTPRC;PTPRO;RASSF5;RNASEL;SERPINB9;SLC43A2;SLCO2B1;SP100;SRM;SUSD1;TAPBPL;TBC1D9;TMEM123
four_cohort_detection_aware,M11,7,5,0.7142857142857143,ADAMTS1;ADAMTS4;ANGPT2;IGFBP3;MCAM
four_cohort_detection_aware,M24,7,1,0.14285714285714285,NR2F1
four_cohort_detection_aware,M40,111,32,0.2882882882882883,C1S;CCNA2;CDC20;CXCL14;ECT2;ELOVL4;EPHA2;FANCA;FANCD2;FN1;GPRC5C;HELLS;HSP90AA1;HSPH1;ITGBL1;KIF15;KIF22;KIF23;MCM5;MXRA5;NDUFB9;POLE;RCOR2;RELN;SFRP4;SLC13A5;TOP2A;TRIP13;TSPAN33;TYMS;UBE2T;UHRF1
three_cohort_no_ffpe,M34,162,131,0.808641975308642,ABCC3;ADCY7;ALOX5;ANKRD22;ANXA3;ARHGAP30;ARHGDIB;ARRB1;ATF7IP2;ATP8A1;B2M;BATF2;BLNK;BTK;C3AR1;CAPG;CARD9;CASP8;CBX7;CCR2;CD244;CD74;CD80;CD86;CLEC12A;CSF1R;CSF2RB;CTSH;CYP4V2;CYSLTR2;DAPP1;DENND1C;DNASE1L3;DOCK2;DOK2;DTX3L;EGR1;EHD3;ENPP5;EPAS1;EPHB3;EVI2A;F5;FAM107A;FCER1G;FGR;GAB2;GBP1;GIMAP6;GLUL;GMFG;GPSM3;HCLS1;HNMT;IFI30;IFI35;IL18;IL1RN;INPP5D;IRF5;KCNQ1;KIAA0040;LAMA3;LAPTM5;LCP1;LY96;MCTP1;MOSPD2;MS4A7;MYO1G;NCF4;NFAM1;OAS1;OAS2;OSBPL3;PAG1;PAPPA;PARP12;PARP14;PARP15;PARP9;PARVG;PIK3AP1;PIK3CG;PRDM1;PRKAR2B;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PTPRO;PYCARD;RASSF5;RETSAT;RGS18;RNASEL;SAMD9L;SAMSN1;SCTR;SERPINB8;SERPINB9;SERPING1;SH3TC1;SIRPB2;SLC43A2;SLC6A6;SLC8A1;SLCO2B1;SLCO3A1;SP100;SRM;SUSD1;SYK;SYTL1;TAGAP;TAPBPL;TBC1D9;TLR1;TLR3;TLR7;TLR8;TMEM123;TMEM86A;TNFAIP8;TNFAIP8L2;TNFSF8;TRIM14;TRIM22;VAV1;ZMAT1
three_cohort_no_ffpe,M11,7,7,1.0,ADAMTS1;ADAMTS4;ANGPT2;DRD1;IGFBP3;MCAM;STC1
