analysis_set,cohort_a,cohort_b,edge_spearman,edge_pearson,correlation_matrix_rv,normalized_frobenius_distance
four_cohort_core_plus_frozen,DOG2,TARGET_OS,0.40865518622408065,0.4761311848774637,0.5096733283259978,0.23318077481257835
four_cohort_core_plus_frozen,DOG2,GSE21257,0.3982359690662394,0.44645042170313837,0.4662576543270051,0.2592122883290293
four_cohort_core_plus_frozen,DOG2,GSE39055,0.06775313257419004,0.06902263323075156,0.11145035381329713,0.32209584829394244
four_cohort_core_plus_frozen,TARGET_OS,GSE21257,0.5152818199461605,0.5684795034885838,0.5741572070746745,0.22147917130107078
four_cohort_core_plus_frozen,TARGET_OS,GSE39055,0.07711560434497193,0.08385148891049027,0.14947284503172098,0.2983661663986711
four_cohort_core_plus_frozen,GSE21257,GSE39055,0.08501859939320433,0.0886304275911545,0.12149390114326714,0.3251237544607125
four_cohort_detection_aware,DOG2,TARGET_OS,0.3924626990907237,0.44709823133443133,0.49192935482223743,0.22998190306324692
four_cohort_detection_aware,DOG2,GSE21257,0.37669824475435054,0.4147088784596708,0.4456383491176024,0.254722250404139
four_cohort_detection_aware,DOG2,GSE39055,0.08981898998055862,0.09164419890556548,0.1685760875201996,0.3154640043783774
four_cohort_detection_aware,TARGET_OS,GSE21257,0.505182876960292,0.5470245737416398,0.5641019799897201,0.22059373140244476
four_cohort_detection_aware,TARGET_OS,GSE39055,0.10581464880456792,0.11254645211077646,0.2406475103783326,0.29387068825549356
four_cohort_detection_aware,GSE21257,GSE39055,0.11941934187198758,0.12194623171069667,0.1772960612074738,0.32241461676202043
three_cohort_no_ffpe,DOG2,TARGET_OS,0.42397199111263445,0.4905221697650766,0.5254027766250836,0.23312241205991255
three_cohort_no_ffpe,DOG2,GSE21257,0.4224298654911881,0.46954298548508155,0.4913298604443031,0.2574396122125407
three_cohort_no_ffpe,TARGET_OS,GSE21257,0.5380509025572591,0.5909585857053061,0.6023454879676456,0.21869491205646246
