analysis_set,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,naturally_selected_genes
four_cohort_variable_only_1500,M34,162,100,0.6172839506172839,ABCC3;ADCY7;ALOX5;ANKRD22;ARHGAP30;ARHGDIB;ARRB1;ATF7IP2;B2M;BLNK;BTK;C3AR1;CAPG;CARD9;CBX7;CD74;CD86;CSF1R;CTSH;CYP4V2;DENND1C;DNASE1L3;DOCK2;DTX3L;EGR1;EHD3;ENPP5;EPAS1;EPHB3;EVI2A;F5;FAM107A;FCER1G;FGR;GAB2;GIMAP6;GMFG;GPSM3;HCLS1;HNMT;IFI35;IL18;IL1RN;INPP5D;IRF5;KIAA0040;LAMA3;LAPTM5;LCP1;LY96;MOSPD2;MS4A7;MYO1G;NCF4;NFAM1;OAS1;OAS2;OSBPL3;PAG1;PAPPA;PARP12;PARP14;PARP15;PARP9;PARVG;PIK3AP1;PIK3CG;PRDM1;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PYCARD;RGS18;RNASEL;SAMD9L;SAMSN1;SERPINB8;SERPING1;SLC43A2;SLC6A6;SLCO2B1;SLCO3A1;SP100;SRM;SUSD1;SYK;TAGAP;TAPBPL;TBC1D9;TLR1;TLR3;TLR7;TLR8;TMEM86A;TNFSF8;TRIM22;VAV1;ZMAT1
four_cohort_variable_only_1500,M11,7,6,0.8571428571428571,ADAMTS1;ADAMTS4;ANGPT2;IGFBP3;MCAM;STC1
four_cohort_variable_only_1500,M24,7,3,0.42857142857142855,CHST2;NR2F1;OSR2
four_cohort_variable_only_1500,M40,111,64,0.5765765765765766,ARL4D;BARX1;C1S;CCNA2;CDC20;CDC6;CDCA2;CDCA8;CLTCL1;CXCL14;DEPDC1;DNAJB1;E2F1;E2F7;E2F8;ECT2;ELOVL4;EPHA2;ESPL1;FANCA;FANCD2;FN1;GAS6;GPRC5C;GTSE1;HELLS;HSPH1;ITGBL1;KIF15;KIF22;KIF23;KIF4A;LGR4;LHX2;LIMS2;MAP1LC3C;MCM5;MSI1;MXRA5;MYBL2;PLK4;POLE;POLE2;POLQ;RAB30;RCOR2;RECQL4;RELN;RRM2;SCML2;SFRP4;SH3D19;SIM2;SLC13A5;SPAG5;ST6GALNAC3;TK1;TOP2A;TRIB3;TRIP13;TSPAN33;TYMS;UBE2T;UHRF1
four_cohort_detection_aware_variable_only_700,M34,162,40,0.24691358024691357,ABCC3;ARHGAP30;ARHGDIB;B2M;CARD9;CD74;CD86;CSF1R;CTSH;CYP4V2;DENND1C;DTX3L;EGR1;ENPP5;EPAS1;EVI2A;FCER1G;FGR;GAB2;GMFG;HCLS1;HNMT;IFI35;IL18;IRF5;LY96;OAS1;OAS2;OSBPL3;PARP14;PARVG;PTK2B;PTPRC;RNASEL;SLC43A2;SLCO2B1;SP100;SUSD1;TAPBPL;TBC1D9
four_cohort_detection_aware_variable_only_700,M11,7,5,0.7142857142857143,ADAMTS1;ADAMTS4;ANGPT2;IGFBP3;MCAM
four_cohort_detection_aware_variable_only_700,M24,7,0,0.0,
four_cohort_detection_aware_variable_only_700,M40,111,29,0.26126126126126126,C1S;CCNA2;CDC20;CXCL14;ECT2;ELOVL4;EPHA2;FANCA;FANCD2;FN1;GPRC5C;HELLS;HSPH1;ITGBL1;KIF15;KIF22;KIF23;MCM5;MXRA5;POLE;RCOR2;SFRP4;SLC13A5;TOP2A;TRIP13;TSPAN33;TYMS;UBE2T;UHRF1
three_cohort_no_ffpe_variable_only_1500,M34,162,92,0.5679012345679012,ABCC3;ADCY7;ALOX5;ARHGAP30;ARHGDIB;ARRB1;ATF7IP2;B2M;BATF2;BLNK;BTK;C3AR1;CAPG;CASP8;CD74;CD86;CSF1R;CTSH;CYP4V2;DENND1C;DNASE1L3;DOCK2;DTX3L;EGR1;EHD3;ENPP5;EPAS1;EPHB3;EVI2A;F5;FCER1G;FGR;GAB2;GBP1;GIMAP6;GMFG;GPSM3;HCLS1;HNMT;IFI35;IL18;IL1RN;INPP5D;IRF5;KIAA0040;LAMA3;LAPTM5;LCP1;LY96;MCTP1;MS4A7;NCF4;OAS1;OAS2;PAG1;PAPPA;PARP12;PARP9;PARVG;PIK3AP1;PIK3CG;PRDM1;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PYCARD;RGS18;RNASEL;SAMD9L;SAMSN1;SERPINB8;SERPING1;SIRPB2;SLC43A2;SLC6A6;SLCO2B1;SLCO3A1;SP100;SUSD1;SYK;TAGAP;TAPBPL;TBC1D9;TLR1;TLR3;TLR7;TLR8;TNFAIP8L2;TRIM22;VAV1
three_cohort_no_ffpe_variable_only_1500,M11,7,6,0.8571428571428571,ADAMTS1;ADAMTS4;ANGPT2;IGFBP3;MCAM;STC1
