analysis_set,cohort_a,cohort_b,edge_spearman,edge_pearson,correlation_matrix_rv,normalized_frobenius_distance
four_cohort_variable_only_1500,DOG2,TARGET_OS,0.32736503530207123,0.3793577102159652,0.42052388066969476,0.2263248804893181
four_cohort_variable_only_1500,DOG2,GSE21257,0.29401776683182285,0.33600381015227665,0.35230474842683623,0.2587069476880953
four_cohort_variable_only_1500,DOG2,GSE39055,0.0379156095408492,0.04199197727461511,0.07041982692881503,0.3043105252461274
four_cohort_variable_only_1500,TARGET_OS,GSE21257,0.42530862620968923,0.46726024385991693,0.4668024030623569,0.23096219677489876
four_cohort_variable_only_1500,TARGET_OS,GSE39055,0.050477989857882856,0.05581701468403635,0.101799806074167,0.2932341985370108
four_cohort_variable_only_1500,GSE21257,GSE39055,0.04895811484840955,0.053590608419528264,0.07224371441187316,0.3199763507636555
four_cohort_detection_aware_variable_only_700,DOG2,TARGET_OS,0.3495714877662466,0.39877310593074533,0.44300824476770934,0.2277489001408852
four_cohort_detection_aware_variable_only_700,DOG2,GSE21257,0.3167824890433255,0.3518692641468527,0.37688323982236693,0.2605667399308249
four_cohort_detection_aware_variable_only_700,DOG2,GSE39055,0.06617587049274956,0.06931345461896571,0.1381109472313497,0.3105935418933758
four_cohort_detection_aware_variable_only_700,TARGET_OS,GSE21257,0.4461247145623513,0.48138995673257345,0.4895731808423919,0.23361094329805449
four_cohort_detection_aware_variable_only_700,TARGET_OS,GSE39055,0.07939809517530995,0.08673663650669991,0.21879889037692885,0.29250499303180966
four_cohort_detection_aware_variable_only_700,GSE21257,GSE39055,0.09313320890340189,0.09593360831927165,0.13814445803378958,0.3275574907280625
three_cohort_no_ffpe_variable_only_1500,DOG2,TARGET_OS,0.3347363828533095,0.38617238436464363,0.4265109854960908,0.22733076015322407
three_cohort_no_ffpe_variable_only_1500,DOG2,GSE21257,0.30620469275440093,0.34991907880935547,0.36655706256182474,0.25726530122611924
three_cohort_no_ffpe_variable_only_1500,TARGET_OS,GSE21257,0.4489727246879197,0.49199046449522976,0.4925037149205913,0.22645556107432988
