cohort,module_label,conservative_structure_class,structure_class_simplified,outcome_direction_concordant,outcome_support_status,assay_stability_status,decoupling_typology_class
TARGET_OS,M34,strong_cross_cohort_representation_preservation,preserved,True,nominal_or_fdr_supported,not_applicable,representation_preserved_outcome_concordant
TARGET_OS,M11,limited_cross_cohort_representation_evidence,limited,True,direction_only,not_applicable,directional_concordance_without_structure
TARGET_OS,M24,limited_cross_cohort_representation_evidence,limited,False,direction_only,not_applicable,representation_and_outcome_not_transported
TARGET_OS,M40,strong_cross_cohort_representation_preservation,preserved,True,direction_only,not_applicable,representation_preserved_outcome_concordant
GSE21257,M34,strong_cross_cohort_representation_preservation,preserved,True,nominal_or_fdr_supported,not_applicable,representation_preserved_outcome_concordant
GSE21257,M11,partial_cross_cohort_representation_preservation,partial,True,nominal_or_fdr_supported,not_applicable,representation_preserved_outcome_concordant
GSE21257,M24,limited_cross_cohort_representation_evidence,limited,True,nominal_or_fdr_supported,not_applicable,directional_concordance_without_structure
GSE21257,M40,strong_cross_cohort_representation_preservation,preserved,True,direction_only,not_applicable,representation_preserved_outcome_concordant
GSE39055,M34,partial_cross_cohort_representation_preservation,partial,False,direction_only,stable_discordant_direction,representation_outcome_decoupling
GSE39055,M11,no_clear_cross_cohort_representation_preservation,not_preserved,True,direction_only,stable_concordant_direction,directional_concordance_without_structure
GSE39055,M24,limited_cross_cohort_representation_evidence,limited,False,direction_only,not_detection_filter_estimable,outcome_transport_not_stably_estimable
GSE39055,M40,strong_cross_cohort_representation_preservation,preserved,False,direction_only,assay_rule_sensitive_direction,outcome_transport_not_stably_estimable
