gene,gene_symbol_clean,univariate_candidate_rank,univariate_candidate_source,in_univariate_candidate_set,dfi_univ_rank,dfi_univ_coef,dfi_univ_hr_per_sd,dfi_univ_p,dfi_univ_q,dfi_univ_c_index,os_univ_rank,os_univ_coef,os_univ_hr_per_sd,os_univ_p,os_univ_q,os_univ_c_index,dfi_full_conditional_selected,dfi_full_conditional_rank,dfi_full_conditional_coef,dfi_full_conditional_hr_per_sd,dfi_full_conditional_p,dfi_full_conditional_c_index,os_full_conditional_selected,os_full_conditional_rank,os_full_conditional_coef,os_full_conditional_hr_per_sd,os_full_conditional_p,os_full_conditional_c_index,dfi_true_mb_n_configs,dfi_true_mb_algorithms,dfi_true_mb_alphas,dfi_true_mb_mean_rank,os_true_mb_n_configs,os_true_mb_algorithms,os_true_mb_alphas,os_true_mb_mean_rank,nested_dfi_conditional_selected_folds,nested_dfi_conditional_selection_frequency,nested_dfi_conditional_mean_rank,nested_dfi_conditional_plus_clinical_selected_folds,nested_dfi_conditional_plus_clinical_selection_frequency,nested_dfi_conditional_plus_clinical_mean_rank,nested_dfi_elasticnet_selected_folds,nested_dfi_elasticnet_selection_frequency,nested_dfi_elasticnet_mean_rank,nested_dfi_gsmb_selected_folds,nested_dfi_gsmb_selection_frequency,nested_dfi_gsmb_mean_rank,nested_dfi_iamb_selected_folds,nested_dfi_iamb_selection_frequency,nested_dfi_iamb_mean_rank,nested_dfi_univtop10_selected_folds,nested_dfi_univtop10_selection_frequency,nested_dfi_univtop10_mean_rank,nested_os_conditional_selected_folds,nested_os_conditional_selection_frequency,nested_os_conditional_mean_rank,nested_os_conditional_plus_clinical_selected_folds,nested_os_conditional_plus_clinical_selection_frequency,nested_os_conditional_plus_clinical_mean_rank,nested_os_elasticnet_selected_folds,nested_os_elasticnet_selection_frequency,nested_os_elasticnet_mean_rank,nested_os_gsmb_selected_folds,nested_os_gsmb_selection_frequency,nested_os_gsmb_mean_rank,nested_os_iamb_selected_folds,nested_os_iamb_selection_frequency,nested_os_iamb_mean_rank,nested_os_univtop10_selected_folds,nested_os_univtop10_selection_frequency,nested_os_univtop10_mean_rank,nested_any_max_selection_frequency,nested_any_total_selected_folds,dfi_os_both_univariate_available,dfi_os_same_direction,dfi_os_both_nominal_p05,dfi_os_both_fdr_q10,combined_univ_rank_score,rna_evidence_priority_score,rna_evidence_tier,gene_symbol_clean_upper,external_gene_name_upper,dog_ensembl_gene_id,dog_external_gene_name,dog_gene_biotype,human_ensembl_gene_id,human_gene_symbol,dog_human_orthology_type,dog_human_orthology_confidence,dog_human_orthology_confidence_numeric,dog_human_perc_id,human_dog_perc_id,has_human_homolog,is_one_to_one_ortholog,ortholog_mapping_status,dog_symbol_upper,human_symbol_upper,has_human_gene_symbol,human_symbol_same_as_dog_symbol,dog_symbol_problematic,human_symbol_problematic,ortholog_confidence_high,broad_transferable_ortholog,strict_transferable_ortholog,strict_symbol_concordant_transferable,needs_manual_ortholog_review,ortholog_qc_status,primary_human_validation_gene,sensitivity_human_validation_gene
ADAMTS4_3,ADAMTS4,43.0,dfi_top400,True,43.0,0.3290750945062982,1.3896822091687802,5.888746575388646e-05,0.006847379738824,0.5898826325954538,87.0,0.2954063344498804,1.3436722280916151,0.0011200843442927,0.0633337040934449,0.5817542176381226,True,2.0,0.3454120810117005,1.4125718938042766,0.0001248404321411,0.715346902391918,False,,,,,,4,GSMB;IAMB,0.05;0.1;0.2,3.75,5,GSMB;IAMB,0.05;0.1;0.2,3.8,2,0.4,3.0,2,0.4,3.0,4,0.8,14.75,2,0.4,3.0,1,0.2,6.0,1,0.2,8.0,1,0.2,6.0,1,0.2,6.0,1,0.2,1.0,2,0.4,5.0,2,0.4,6.0,1,0.2,10.0,0.8,20,True,True,True,True,130.0,17.0,high_rna_evidence,ADAMTS4,ADAMTS4,ENSCAFG00845029491,ADAMTS4,,ENSG00000158859,ADAMTS4,ortholog_one2one,1.0,1.0,,,True,True,one_to_one_human_ortholog,ADAMTS4,ADAMTS4,True,True,False,False,True,True,True,True,False,strict_symbol_concordant_one_to_one,ADAMTS4,ADAMTS4
CYP4V2_3,CYP4V2,1.0,dfi_top400,True,1.0,-0.427977365286096,0.6518261685305978,1.2490021567164765e-07,0.0006245010783582,0.6601545089882632,1.0,-0.433519950550807,0.6482233600735404,1.2777104290785673e-06,0.0063885521453928,0.6646677860398177,True,1.0,-0.2703616814501765,0.7631034440584482,0.0029558077728891,0.715346902391918,True,1.0,-0.3823111634573093,0.6822827187221173,2.312382261958371e-05,0.7008075477732469,0,,,,0,,,,2,0.4,1.0,2,0.4,1.0,2,0.4,2.5,0,0.0,,0,0.0,,5,1.0,2.6,2,0.4,1.0,2,0.4,1.0,3,0.6,1.6666666666666667,0,0.0,,0,0.0,,5,1.0,3.2,1.0,23,True,True,True,True,2.0,14.0,high_rna_evidence,CYP4V2,CYP4V2,ENSCAFG00845019580,CYP4V2,,ENSG00000145476,CYP4V2,ortholog_one2one,1.0,1.0,,,True,True,one_to_one_human_ortholog,CYP4V2,CYP4V2,True,True,False,False,True,True,True,True,False,strict_symbol_concordant_one_to_one,CYP4V2,CYP4V2
LAG3_3,LAG3,189.0,dfi_top400,True,189.0,-0.3048226970704869,0.7372540801122311,0.0006428349853068,0.0170062165425093,0.581042935670777,218.0,-0.2787309062700546,0.7567435107529833,0.0036406229747196,0.083500526943112,0.5814343967378268,True,5.0,-0.2678082375193673,0.7650544757812417,0.002884714041541,0.715346902391918,False,,,,,,0,,,,0,,,,3,0.6,4.666666666666667,3,0.6,4.666666666666667,1,0.2,1.0,0,0.0,,0,0.0,,0,0.0,,2,0.4,3.0,2,0.4,3.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.6,11,True,True,True,True,407.0,11.0,high_rna_evidence,LAG3,LAG3,ENSCAFG00845027788,LAG3,,ENSG00000089692,LAG3,ortholog_one2one,1.0,1.0,,,True,True,one_to_one_human_ortholog,LAG3,LAG3,True,True,False,False,True,True,True,True,False,strict_symbol_concordant_one_to_one,LAG3,LAG3
DDIT4_3,DDIT4,404.0,os_top200,True,555.0,0.2383735727553368,1.2691832365531934,0.0061641201272318,0.0555074501221974,0.5772544941316298,63.0,0.3113393142620931,1.365252392209484,0.0007689008996691,0.0600494722456207,0.5920684416726633,False,,,,,,True,3.0,0.3017810394535349,1.3522651015851972,0.0005404349440697,0.7008075477732469,5,GSMB;IAMB,0.05;0.1;0.2,9.2,6,GSMB;IAMB,0.05;0.1;0.2,8.833333333333334,0,0.0,,0,0.0,,1,0.2,23.0,1,0.2,9.0,1,0.2,7.0,0,0.0,,0,0.0,,0,0.0,,2,0.4,13.0,2,0.4,9.0,3,0.6,7.333333333333333,0,0.0,,0.6,10,True,True,True,True,618.0,11.0,high_rna_evidence,DDIT4,DDIT4,ENSCAFG00845005617,DDIT4,,ENSG00000168209,DDIT4,ortholog_one2one,0.0,0.0,,,True,True,one_to_one_human_ortholog,DDIT4,DDIT4,True,True,False,False,False,True,False,False,True,one_to_one_low_confidence_review,,DDIT4
GPRC5C_3,GPRC5C,193.0,dfi_top400,True,193.0,0.2921588396685874,1.339315737212526,0.0006607451370492,0.0170873551972836,0.5895854999257168,11.0,0.3864692237140926,1.4717751005980737,6.457839452768006e-05,0.0293538156944,0.6238906212520988,False,,,,,,False,,,,,,3,GSMB;IAMB,0.1;0.2,1.0,4,GSMB;IAMB,0.05;0.1;0.2,1.0,0,0.0,,0,0.0,,0,0.0,,4,0.8,6.5,4,0.8,7.0,0,0.0,,0,0.0,,0,0.0,,2,0.4,10.0,2,0.4,4.0,2,0.4,5.0,2,0.4,8.0,0.8,16,True,True,True,True,204.0,10.0,high_rna_evidence,GPRC5C,GPRC5C,ENSCAFG00845018501,GPRC5C,,ENSG00000170412,GPRC5C,ortholog_one2one,1.0,1.0,,,True,True,one_to_one_human_ortholog,GPRC5C,GPRC5C,True,True,False,False,True,True,True,True,False,strict_symbol_concordant_one_to_one,GPRC5C,GPRC5C
DSCC1_3,DSCC1,12.0,dfi_top400,True,12.0,0.3688088947908424,1.4460112369881353,1.133010603787192e-05,0.004622737668053,0.6195216164017233,40.0,0.3396449901775678,1.4044489088926244,0.0003802932837972,0.0475366604746541,0.60997841208923,False,,,,,,False,,,,,,3,GSMB;IAMB,0.1;0.2,6.666666666666667,6,GSMB;IAMB,0.05;0.1;0.2,4.5,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,3,0.6,4.666666666666667,2,0.4,3.5,0,0.0,,0.6,5,True,True,True,True,52.0,10.0,high_rna_evidence,DSCC1,DSCC1,ENSCAFG00845007041,DSCC1,,ENSG00000136982,DSCC1,ortholog_one2one,1.0,1.0,,,True,True,one_to_one_human_ortholog,DSCC1,DSCC1,True,True,False,False,True,True,True,True,False,strict_symbol_concordant_one_to_one,DSCC1,DSCC1
ACSS3_3,ACSS3,41.0,dfi_top400,True,41.0,-0.3420835611236534,0.710288849694927,5.799392589292583e-05,0.006847379738824,0.5981280641806567,47.0,-0.3173179703775553,0.7280992043356063,0.0005155936318855,0.0514285554615664,0.6050211881346446,False,,,,,,False,,,,,,2,GSMB;IAMB,0.2,6.0,4,GSMB;IAMB,0.05;0.1;0.2,3.75,0,0.0,,0,0.0,,0,0.0,,2,0.4,8.0,3,0.6,9.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2,0.4,8.5,2,0.4,9.5,0,0.0,,0.6,9,True,True,True,True,88.0,10.0,high_rna_evidence,ACSS3,ACSS3,ENSCAFG00845009887,ACSS3,,ENSG00000111058,ACSS3,ortholog_one2one,1.0,1.0,,,True,True,one_to_one_human_ortholog,ACSS3,ACSS3,True,True,False,False,True,True,True,True,False,strict_symbol_concordant_one_to_one,ACSS3,ACSS3
ELOVL4_3,ELOVL4,157.0,dfi_top400,True,157.0,0.3112947809237542,1.3651915943165602,0.0004457090148228,0.0141945546121933,0.5964938344971029,43.0,0.3521725708381061,1.4221539248381552,0.0004396525553773,0.0509743882947822,0.6214919644998801,False,,,,,,False,,,,,,2,GSMB,0.05;0.2,11.5,6,GSMB;IAMB,0.05;0.1;0.2,11.666666666666666,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2,0.4,7.0,2,0.4,7.0,0,0.0,,0.4,4,True,True,True,True,200.0,8.0,high_rna_evidence,ELOVL4,ELOVL4,ENSCAFG00845009234,ELOVL4,,ENSG00000118402,ELOVL4,ortholog_one2one,1.0,1.0,,,True,True,one_to_one_human_ortholog,ELOVL4,ELOVL4,True,True,False,False,True,True,True,True,False,strict_symbol_concordant_one_to_one,ELOVL4,ELOVL4
PAPSS2_3,PAPSS2,188.0,dfi_top400,True,188.0,-0.2870689336700879,0.7504599950922741,0.000638733994077,0.0169876062254531,0.5620264448076066,258.0,-0.2497334128858288,0.779008429001313,0.0043755701291274,0.0847978707195249,0.5609658591188934,True,3.0,-0.2871563866395312,0.7503943680069385,0.000638677010859,0.715346902391918,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,2,0.4,23.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.4,2,True,True,True,True,446.0,8.0,high_rna_evidence,PAPSS2,PAPSS2,ENSCAFG00845029238,PAPSS2,,ENSG00000198682,PAPSS2,ortholog_one2one,0.0,0.0,,,True,True,one_to_one_human_ortholog,PAPSS2,PAPSS2,True,True,False,False,False,True,False,False,True,one_to_one_low_confidence_review,,PAPSS2
ADORA2B_3,ADORA2B,104.0,dfi_top400,True,104.0,0.3212566424783331,1.3788594093841988,0.000239200599587,0.0112924120999221,0.59679096716684,629.0,0.2064980711215848,1.2293653629184624,0.0189424310765858,0.1503690475755542,0.5725593667546174,False,,,,,,False,,,,,,2,GSMB;IAMB,0.2,4.5,0,,,,0,0.0,,0,0.0,,2,0.4,12.5,1,0.2,2.0,3,0.6,4.666666666666667,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.6,6,True,True,True,False,733.0,7.0,medium_rna_evidence,ADORA2B,ADORA2B,ENSCAFG00845004737,ADORA2B,,ENSG00000011295,TTC19,ortholog_one2one,1.0,1.0,,,True,True,one_to_one_human_ortholog,ADORA2B,TTC19,True,False,False,False,True,True,True,False,True,strict_one_to_one_symbol_mismatch_review,,TTC19
